trial_no,param_hash,params,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
108,268464422b6259c1,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 2440, 'min_child_weight': 0.00019986060981923466, 'min_split_gain': 0.0, 'reg_alpha': 0.010790776854214732, 'reg_lambda': 44.145186676113084, 'subsample': 0.7430731511790989, 'colsample_bytree': 0.6015103321457798, 'learning_rate': 0.006271301720038132, 'max_bin': 127, 'path_smooth': 0.0026366710870633333, 'extra_trees': False}",-1.9433502694269724,1.9433502694269724,2.649053706431101,0.7057034370041286,0.2892616889445283,1.0,0.0096703327444237,0.015833757036265,0.0081331697053848,15.2,1482,16,4,2440,0.0001998606098192,0.0,0.0107907768542147,44.14518667611309,0.7430731511790989,0.6015103321457798,0.0062713017200381,127,0.0026366710870633,False
109,4a005321d063b8c0,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 7216, 'min_child_weight': 0.05544596602276346, 'min_split_gain': 0.0003890947683235417, 'reg_alpha': 0.4716818558594982, 'reg_lambda': 3.2980095399051055, 'subsample': 0.6056345533687377, 'colsample_bytree': 0.6627796501160998, 'learning_rate': 0.006311951265990537, 'max_bin': 63, 'path_smooth': 0.02849466926921349, 'extra_trees': False}",-1.9143058991054007,1.9143058991054007,2.4223049237457834,0.5079990246403823,0.2617493004956723,0.8888888888888888,0.0106547667365278,0.0160918404125526,0.0090213876334226,9.7,2187,32,5,7216,0.0554459660227634,0.0003890947683235,0.4716818558594982,3.298009539905105,0.6056345533687377,0.6627796501160998,0.0063119512659905,63,0.0284946692692134,False
110,718b13aaa27fb60c,"{'num_leaves': 59, 'max_depth': 6, 'min_child_samples': 328, 'min_child_weight': 0.00010548593327768517, 'min_split_gain': 0.005778425094173152, 'reg_alpha': 0.3469143625922868, 'reg_lambda': 25.74961334020571, 'subsample': 0.9355910164182909, 'colsample_bytree': 0.8318100545851063, 'learning_rate': 0.012965890522270887, 'max_bin': 127, 'path_smooth': 0.055261575966044356, 'extra_trees': False}",-1.964930974937731,1.964930974937731,2.853142164184,0.8882111892462687,0.2872587621320938,1.0,0.0092231266846952,0.0149358263296394,0.0078430406506443,11.9,677,59,6,328,0.0001054859332776,0.0057784250941731,0.3469143625922868,25.74961334020571,0.9355910164182908,0.8318100545851063,0.0129658905222708,127,0.0552615759660443,False
111,a665a2e32f4573b0,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 480, 'min_child_weight': 0.0011222182953909978, 'min_split_gain': 0.0, 'reg_alpha': 0.23889530036717657, 'reg_lambda': 14.358513323367225, 'subsample': 0.7794176503785539, 'colsample_bytree': 0.35761890074564073, 'learning_rate': 0.01049998830342491, 'max_bin': 63, 'path_smooth': 0.008935275697007672, 'extra_trees': True}",-1.9595234566656907,1.9595234566656907,2.692304197636063,0.7327807409703724,0.2937082958392556,1.0,0.009372289500475,0.015457728352315,0.007888694084035,10.8,1600,32,5,480,0.0011222182953909,0.0,0.2388953003671765,14.358513323367225,0.7794176503785539,0.3576189007456407,0.0104999883034249,63,0.0089352756970076,True
112,7372a0e4bd8aa341,"{'num_leaves': 10, 'max_depth': 4, 'min_child_samples': 1949, 'min_child_weight': 0.00032587130065200626, 'min_split_gain': 0.0, 'reg_alpha': 0.01315097957623707, 'reg_lambda': 14.956779957116028, 'subsample': 0.7207639310076244, 'colsample_bytree': 0.7272422291315668, 'learning_rate': 0.005580198591567675, 'max_bin': 127, 'path_smooth': 0.09058556781378614, 'extra_trees': True}",-1.9484337298095529,1.9484337298095529,2.6533046525531496,0.7048709227435968,0.2914044548449841,1.0,0.0096632819662439,0.0158711114021647,0.008099391958767,31.8,2946,10,4,1949,0.000325871300652,0.0,0.013150979576237,14.956779957116028,0.7207639310076244,0.7272422291315668,0.0055801985915676,127,0.0905855678137861,True
113,07b7fb71234ea17f,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 1574, 'min_child_weight': 0.000789084991607469, 'min_split_gain': 0.001788461557210901, 'reg_alpha': 0.07199557941811113, 'reg_lambda': 98.97045399996344, 'subsample': 0.9432579396780787, 'colsample_bytree': 0.590233276761079, 'learning_rate': 0.02529785039390156, 'max_bin': 63, 'path_smooth': 0.004211207378253335, 'extra_trees': False}",-1.981886280533276,1.981886280533276,2.6701734001629647,0.6882871196296889,0.2929070222433254,1.0,0.009438487410872,0.0157207592560548,0.0079232856837871,8.2,524,32,5,1574,0.0007890849916074,0.0017884615572109,0.0719955794181111,98.97045399996344,0.9432579396780788,0.590233276761079,0.0252978503939015,63,0.0042112073782533,False
114,9e3d3b5b8a76325d,"{'num_leaves': 21, 'max_depth': 5, 'min_child_samples': 2097, 'min_child_weight': 0.0003947295395295979, 'min_split_gain': 0.0013232638736079474, 'reg_alpha': 0.23349763034229512, 'reg_lambda': 65.32541473461683, 'subsample': 0.9387311042079873, 'colsample_bytree': 0.6504310512076744, 'learning_rate': 0.033087614255426945, 'max_bin': 63, 'path_smooth': 0.36990015893345923, 'extra_trees': False}",-1.9814689428974688,1.9814689428974688,2.6476096458803235,0.666140702982855,0.2932953886897321,1.0,0.0095820685522745,0.0158104553165829,0.0080638032752276,4.5,280,21,5,2097,0.0003947295395295,0.0013232638736079,0.2334976303422951,65.32541473461683,0.9387311042079872,0.6504310512076744,0.0330876142554269,63,0.3699001589334592,False
115,75d8ff14dbb1f3fe,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 1182, 'min_child_weight': 0.0010348799863259919, 'min_split_gain': 0.001162951747174962, 'reg_alpha': 1.51045729015106, 'reg_lambda': 26.421790831882216, 'subsample': 0.7924753604128086, 'colsample_bytree': 0.6961991952669688, 'learning_rate': 0.04086291971955647, 'max_bin': 63, 'path_smooth': 0.002190415889671753, 'extra_trees': False}",-1.9754765480954024,1.9754765480954024,2.670704797270264,0.6952282491748618,0.2928509510441243,1.0,0.0095238275408113,0.0157731976963711,0.0080225269827684,3.4,237,13,5,1182,0.0010348799863259,0.0011629517471749,1.51045729015106,26.421790831882216,0.7924753604128086,0.6961991952669688,0.0408629197195564,63,0.0021904158896717,False
116,8df1d88600f8d87f,"{'num_leaves': 17, 'max_depth': 5, 'min_child_samples': 3071, 'min_child_weight': 0.0005824600261666867, 'min_split_gain': 0.001266045189661206, 'reg_alpha': 0.6465580465440065, 'reg_lambda': 28.340218138080925, 'subsample': 0.9419554773994091, 'colsample_bytree': 0.7672222806368065, 'learning_rate': 0.04849328544564841, 'max_bin': 63, 'path_smooth': 2.3543262459297236, 'extra_trees': True}",-1.9376695066803125,1.9376695066803125,2.648330928643781,0.7106614219634686,0.2867260157490751,1.0,0.0096840433367331,0.0158956785270335,0.0080945961895313,5.3,530,17,5,3071,0.0005824600261666,0.0012660451896612,0.6465580465440065,28.340218138080925,0.9419554773994092,0.7672222806368065,0.0484932854456484,63,2.354326245929724,True
117,d617b06f0bd5c238,"{'num_leaves': 51, 'max_depth': -1, 'min_child_samples': 2005, 'min_child_weight': 0.0029066899919340697, 'min_split_gain': 0.001764721450833855, 'reg_alpha': 0.004881612063136673, 'reg_lambda': 96.90002833692533, 'subsample': 0.9276677188946933, 'colsample_bytree': 0.5152290916091714, 'learning_rate': 0.018254337528048586, 'max_bin': 63, 'path_smooth': 0.01312859870104847, 'extra_trees': False}",-1.95834196385923,1.95834196385923,2.6473492865248462,0.6890073226656162,0.2948616421171949,1.0,0.00959061590213,0.0157704430598865,0.0080951119387638,4.8,398,51,-1,2005,0.002906689991934,0.0017647214508338,0.0048816120631366,96.90002833692532,0.9276677188946932,0.5152290916091714,0.0182543375280485,63,0.0131285987010484,False
118,e0999f52efd78bb9,"{'num_leaves': 17, 'max_depth': 5, 'min_child_samples': 951, 'min_child_weight': 0.0016441039625042803, 'min_split_gain': 0.0013074247816214203, 'reg_alpha': 0.0029602287107708338, 'reg_lambda': 36.79756877120131, 'subsample': 0.8504639685757374, 'colsample_bytree': 0.6830062854480881, 'learning_rate': 0.041653766724588356, 'max_bin': 63, 'path_smooth': 0.10514975249879069, 'extra_trees': False}",-1.9699592602071936,1.9699592602071936,2.6987106879653173,0.7287514277581237,0.2922084290970684,1.0,0.0095289668513157,0.0157373425092123,0.0080699818849208,3.0,180,17,5,951,0.0016441039625042,0.0013074247816214,0.0029602287107708,36.79756877120131,0.8504639685757374,0.6830062854480881,0.0416537667245883,63,0.1051497524987906,False
119,f44e5a251cc85d4c,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 3671, 'min_child_weight': 0.0015502646531630549, 'min_split_gain': 0.003941909683210578, 'reg_alpha': 0.16587459060649812, 'reg_lambda': 53.69631004789029, 'subsample': 0.8465386995167488, 'colsample_bytree': 0.5316571344458165, 'learning_rate': 0.04884534673444014, 'max_bin': 63, 'path_smooth': 0.0013357780314489135, 'extra_trees': False}",-1.9074238610692,1.9074238610692,2.646028437281972,0.7386045762127722,0.2858096741068124,1.0,0.0097415466585182,0.0158368863733546,0.0081223855909216,4.4,512,16,4,3671,0.001550264653163,0.0039419096832105,0.1658745906064981,53.69631004789029,0.8465386995167488,0.5316571344458165,0.0488453467344401,63,0.0013357780314489,False
120,bd020ec291eceaf6,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 2836, 'min_child_weight': 0.007519774392038131, 'min_split_gain': 0.0006800926544015684, 'reg_alpha': 3.912861011242237, 'reg_lambda': 1.3503842643192443, 'subsample': 0.462247276261348, 'colsample_bytree': 0.6877269240691838, 'learning_rate': 0.009434572705223509, 'max_bin': 63, 'path_smooth': 0.0014475518198834886, 'extra_trees': False}",-1.8946474125693558,1.8946474125693558,2.6181254958603692,0.7234780832910135,0.28200243241779704,1.0,0.009943279591169828,0.015999823707235624,0.008304364641914502,8.9,1561,16,4,2836,0.007519774392038131,0.0006800926544015684,3.912861011242237,1.3503842643192443,0.462247276261348,0.6877269240691838,0.009434572705223509,63,0.0014475518198834886,False
