open_time,equity
2024-01-01 00:00:00,10000.0
2024-01-03 12:56:00,9659.344816490848
2024-01-05 01:49:00,9792.327295837467
2024-01-06 06:51:00,9565.68162493712
2024-01-07 23:32:00,9434.772806816634
2024-01-09 00:51:00,9564.663550315148
2024-01-09 12:57:00,9696.342530328953
2024-01-09 21:12:00,9829.83436593211
2024-01-10 12:58:00,9965.16401513529
2024-01-10 19:10:00,9957.699670033691
2024-01-11 14:03:00,10094.78967105005
2024-01-12 17:54:00,10176.327620419452
2024-01-12 23:08:00,10170.919726342034
2024-01-19 17:31:00,10221.901324284961
2024-01-22 20:17:00,10254.050381847106
2024-01-23 10:16:00,10214.292906677005
2024-01-23 16:05:00,10212.07809052518
2024-01-31 21:45:00,10323.518079726951
2024-02-13 14:34:00,10465.644389109546
2024-02-20 16:01:00,10609.72738493011
2024-02-28 18:24:00,10119.941807750953
2024-02-29 00:48:00,10259.265434560575
2024-02-29 08:31:00,10400.507162615851
2024-02-29 12:33:00,10543.693398869233
2024-02-29 16:55:00,10688.850913823915
2024-02-29 23:20:00,10731.555077639969
2024-03-01 01:43:00,10879.298928654885
2024-03-03 07:31:00,11029.076804128963
2024-03-04 01:28:00,11071.5434777347
2024-03-05 15:02:00,11223.96802927876
2024-03-06 13:20:00,11378.49104559064
2024-03-07 04:06:00,11159.439095167387
2024-03-07 12:23:00,11034.300474332127
2024-03-07 14:53:00,11186.212292660337
2024-03-08 16:30:00,10854.642933862899
2024-03-11 00:57:00,11004.081364438747
2024-03-12 17:53:00,11155.57714915043
2024-03-13 15:32:00,11309.158612077794
2024-03-14 14:05:00,11464.854467244979
2024-03-14 20:13:00,11622.693823988875
2024-03-15 01:35:00,11782.706192401476
2024-03-15 09:41:00,11944.921488847178
2024-03-15 11:34:00,12109.37004155602
2024-03-15 20:51:00,11601.717169950469
2024-03-16 06:37:00,11365.340498122661
2024-03-16 13:02:00,11521.80982257193
2024-03-16 19:09:00,11519.568215909403
2024-03-17 07:57:00,11393.5933388616
2024-03-17 23:45:00,11227.247813457707
2024-03-18 18:25:00,11303.972978939351
2024-03-19 02:28:00,11171.372554507374
2024-03-19 09:45:00,10894.790049476718
2024-03-19 23:12:00,10727.530583152244
2024-03-20 06:08:00,10739.953033634301
2024-03-20 17:14:00,10887.812501291011
2024-03-27 14:46:00,10781.766012401018
2024-04-01 06:36:00,10930.20112920277
2024-04-02 02:57:00,11080.679787282876
2024-04-10 13:29:00,11068.952157251339
2024-04-12 19:28:00,10580.818295177374
2024-04-13 18:06:00,10166.476539743804
2024-04-14 03:35:00,10306.440821189295
2024-04-14 14:36:00,10052.465667618131
2024-04-14 17:37:00,10190.860334484603
2024-04-14 22:28:00,10331.160313385988
2024-04-15 15:17:00,10473.39183520266
2024-04-16 04:49:00,10617.581491941704
2024-04-16 10:43:00,10763.756241708648
2024-04-17 15:07:00,10669.210336993076
2024-04-18 15:08:00,10816.09587325239
2024-04-19 02:39:00,10569.08167252104
2024-04-19 07:05:00,10714.588713829808
2024-04-30 16:41:00,10862.0989849107
2024-04-30 21:10:00,10829.173506052139
2024-05-01 08:09:00,10761.077625683114
2024-05-01 18:41:00,10909.227920583202
2024-05-15 13:15:00,11059.417835551323
2024-05-23 20:02:00,11211.675450518229
2024-05-23 21:41:00,11366.029231997705
2024-06-07 18:07:00,11522.50803840875
2024-06-11 16:05:00,11681.141125471026
2024-06-18 02:29:00,11430.836027050133
2024-06-24 18:28:00,11588.207043900737
2024-06-27 13:07:00,11747.744624674224
2024-07-04 02:30:00,11909.478596967352
2024-07-05 00:57:00,12073.439199020437
2024-07-05 03:41:00,11860.560760669534
2024-07-05 13:32:00,11917.902319844748
2024-07-08 14:42:00,12081.978893278385
2024-08-02 16:07:00,12153.749285826212
2024-08-02 20:44:00,12321.072820091918
2024-08-03 17:30:00,12130.86399804444
2024-08-04 16:03:00,11942.376024061241
2024-08-05 01:19:00,11364.684034016464
2024-08-06 00:25:00,11521.144320769483
2024-08-06 13:57:00,11679.758633209229
2024-08-07 15:21:00,11533.29475232981
2024-08-08 01:44:00,11692.076342627912
2024-08-08 13:35:00,11499.590036866635
2024-08-12 14:39:00,11657.907606393857
2024-08-27 22:49:00,11541.963535443992
2024-09-04 01:35:00,11700.86447092475
2024-10-01 15:21:00,11861.95303307918
2024-10-01 17:29:00,12025.259339479897
2024-10-25 23:31:00,12190.813922335246
2024-11-06 03:38:00,12358.647734197693
2024-11-12 10:10:00,12528.792153750797
2024-11-12 13:56:00,12701.27899167585
2024-11-13 14:45:00,12661.391150767997
2024-11-13 20:37:00,12701.944234097433
2024-11-14 15:44:00,12587.642384429982
2024-11-17 04:16:00,12760.939427367333
2024-11-21 15:57:00,12557.854654093395
2024-11-24 12:54:00,12730.741602318369
