direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
long,0.9,bucket_mean_mfe,none,351,0.28902651000218493,0.0008234373504335753,33.51271222822909,0.5698005698005698,50.76068376068376
long,0.92,bucket_mean_mfe,none,264,0.12234939381695369,0.000463444673549067,13.01488998441438,0.5643939393939394,49.98863636363637
long,0.94,bucket_mean_mfe,none,194,0.1395793753614477,0.0007194813162961222,14.979006709822684,0.5670103092783505,47.75773195876289
long,0.95,bucket_mean_mfe,none,170,0.14421424024976542,0.0008483190602927378,15.513155769061315,0.5823529411764706,46.694117647058825
long,0.96,bucket_mean_mfe,none,133,0.24620043460258165,0.001851131087237456,27.915593496049418,0.6240601503759399,45.774436090225564
long,0.97,bucket_mean_mfe,none,90,0.1548006845113512,0.0017200076056816801,16.742525198006962,0.6111111111111112,43.98888888888889
long,0.98,bucket_mean_mfe,none,61,0.2666114487512386,0.004370679487725223,30.553308125934887,0.6885245901639344,37.704918032786885
long,0.99,bucket_mean_mfe,none,26,0.23405824822587834,0.009002240316379936,26.371809940131328,0.8076923076923077,34.96153846153846
long,0.9,bucket_mean_mfe,0.5x_tp,653,0.10932484872797756,0.00016741937018067006,11.552466825851582,0.3874425727411945,23.966309341500764
long,0.92,bucket_mean_mfe,0.5x_tp,524,-0.02980749207970923,-5.68845268696741e-05,-2.9367630016903234,0.383587786259542,22.755725190839694
long,0.94,bucket_mean_mfe,0.5x_tp,405,0.021748757477668596,5.3700635747329866e-05,2.1986985624335986,0.37777777777777777,20.44938271604938
long,0.95,bucket_mean_mfe,0.5x_tp,351,-0.009310316342345413,-2.6525117784459867e-05,-0.9267109540781804,0.37037037037037035,18.871794871794872
long,0.96,bucket_mean_mfe,0.5x_tp,281,0.11370361563722807,0.00040463920155597177,12.042000070043258,0.3914590747330961,17.604982206405694
long,0.97,bucket_mean_mfe,0.5x_tp,211,0.0937824405823556,0.00044446654304433934,9.832076989528904,0.3791469194312796,14.454976303317535
long,0.98,bucket_mean_mfe,0.5x_tp,152,0.23640592767458085,0.0015553021557538215,26.668838969271413,0.42105263157894735,12.026315789473685
long,0.99,bucket_mean_mfe,0.5x_tp,85,0.10819104054930904,0.0012728357711683418,11.426059401041444,0.38823529411764707,6.635294117647059
long,0.9,bucket_mean_mfe,1.0x_tp,470,0.2628288506868393,0.0005592103206102964,30.060410240311274,0.5255319148936171,37.159574468085104
