entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.42,120,0.0,280,0.675,9.8817,2.833,-0.1594,109.5,0.041,9.8545
0.3,120,0.0,675,0.6074,9.3727,1.709,-0.1896,91.0,0.082,9.310120000000001
0.45,120,0.0,219,0.7123,9.0584,3.817,-0.085,111.4,0.033,9.07959
0.4,120,0.0,330,0.6515,8.8532,2.359,-0.1783,106.7,0.047,8.8095
0.5,120,0.0,144,0.7778,7.6901,8.18,-0.0625,113.9,0.022,7.74219
0.48,120,0.0,173,0.7457,6.9766,4.624,-0.0768,113.4,0.026,7.01191
0.35,90,0.0,481,0.6133,6.8395,1.875,-0.1432,80.6,0.052,6.80189
0.3,120,0.02,706,0.6218,6.6373,1.62,-0.149,74.3,0.07,6.59934
0.4,90,0.0,334,0.6707,6.4885,2.188,-0.1832,83.8,0.037,6.448110000000001
0.35,120,0.02,479,0.6701,6.3697,1.839,-0.1755,75.8,0.049,6.33298
0.45,90,0.0,224,0.6741,6.2556,3.339,-0.1036,86.7,0.026,6.25603
0.35,120,0.0,461,0.6161,5.9173,1.738,-0.1624,101.5,0.062,5.87093
0.4,120,0.02,337,0.7181,5.7685,2.216,-0.12,73.7,0.033,5.773930000000001
0.42,90,0.0,285,0.6737,5.7543,2.351,-0.1154,85.6,0.033,5.74871
0.35,90,0.02,495,0.6586,5.7553,1.865,-0.1355,65.3,0.043,5.73513
0.45,120,0.02,224,0.7723,5.4678,3.619,-0.0818,71.6,0.021,5.508590000000001
0.5,90,0.0,147,0.7279,5.3896,6.372,-0.0473,87.6,0.017,5.43432
0.42,120,0.02,284,0.7183,4.9804,2.41,-0.121,74.0,0.028,4.98539
0.38,90,0.0,390,0.6231,4.9919,1.871,-0.16,82.0,0.043,4.94883
0.38,120,0.0,381,0.6063,4.9815,1.809,-0.1326,103.7,0.053,4.947089999999999
0.5,120,0.02,149,0.8523,4.7409,7.548,-0.0437,64.4,0.013,4.82474
0.55,120,0.0,97,0.7938,4.7222,6.715,-0.0908,118.0,0.015,4.76494
0.48,90,0.0,177,0.7232,4.5306,3.749,-0.0876,87.7,0.021,4.55376
0.45,90,0.02,228,0.7237,4.3831,3.181,-0.0774,61.6,0.019,4.41151
0.4,90,0.02,342,0.7018,4.2931,2.024,-0.1227,63.7,0.029,4.2922899999999995
0.48,120,0.02,178,0.809,4.1082,4.068,-0.0682,69.0,0.016,4.1668
0.45,60,0.0,229,0.69,4.0158,3.111,-0.0495,59.4,0.018,4.04805
0.3,90,0.0,701,0.572,4.0762,1.483,-0.2555,74.1,0.069,3.97005
0.5,90,0.02,152,0.7961,3.7998,5.811,-0.0403,55.2,0.011,3.86848
0.38,120,0.02,393,0.6641,3.7477,1.747,-0.1176,75.9,0.04,3.73813
0.3,90,0.02,723,0.5906,3.7975,1.479,-0.2126,64.3,0.062,3.71838
0.45,120,0.015,230,0.8087,3.6106,3.221,-0.0778,56.5,0.017,3.66431
0.42,90,0.02,289,0.7059,3.5979,2.117,-0.0988,64.0,0.025,3.6102700000000003
0.38,90,0.02,401,0.6608,3.5873,1.765,-0.1155,64.9,0.035,3.57779
0.42,60,0.0,291,0.6495,3.5135,2.195,-0.1135,59.0,0.023,3.5016
0.4,60,0.0,347,0.6282,3.4607,1.996,-0.1075,58.6,0.027,3.4454100000000003
0.3,120,0.015,726,0.6446,3.4516,1.466,-0.1461,64.7,0.063,3.42193
0.48,90,0.02,181,0.7735,3.2325,3.291,-0.0841,59.1,0.014,3.2725
0.35,90,0.015,503,0.6839,3.2178,1.685,-0.1291,56.7,0.038,3.20842
0.45,90,0.015,232,0.7845,3.0153,2.91,-0.0768,50.2,0.016,3.0622499999999997
0.48,60,0.0,180,0.6944,3.0037,3.202,-0.0533,59.6,0.014,3.03537
0.45,60,0.02,232,0.7026,2.9438,2.838,-0.0495,47.7,0.015,2.9798299999999998
0.5,120,0.015,151,0.8742,2.8472,6.437,-0.0437,49.6,0.01,2.93761
0.35,120,0.015,491,0.6884,2.9445,1.6,-0.1677,65.0,0.043,2.91717
0.5,60,0.0,150,0.6867,2.7763,3.892,-0.0434,59.6,0.012,2.81061
0.4,120,0.015,341,0.7419,2.7447,1.854,-0.1289,63.0,0.029,2.75282
0.38,60,0.0,405,0.5926,2.7222,1.704,-0.1681,57.8,0.031,2.66593
0.4,60,0.02,351,0.6581,2.6646,1.877,-0.1425,49.3,0.023,2.64078
0.5,90,0.015,153,0.8366,2.5482,5.359,-0.0403,44.2,0.009,2.6290299999999998
0.45,45,0.0,232,0.681,2.5516,2.623,-0.0533,44.8,0.014,2.57925
0.35,60,0.0,497,0.5956,2.5891,1.55,-0.1483,57.0,0.038,2.5436300000000003
