entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,score
0.48,90,0.015,414,0.843,18.3453,4.702,-0.1182,44.1,18.371950000000002
0.5,90,0.015,377,0.8753,18.3073,5.465,-0.0903,41.9,18.355975
0.45,60,0.015,488,0.8115,18.2136,4.037,-0.1274,36.7,18.227774999999998
0.55,45,0.0,287,0.7909,17.7999,5.062,-0.1756,44.0,17.784824999999998
0.36,90,0.015,801,0.7491,17.3784,2.217,-0.1917,53.2,17.344825
0.45,45,0.02,491,0.7536,17.2123,3.714,-0.1952,35.9,17.1781
0.38,120,0.01,722,0.8518,16.2746,3.029,-0.116,41.7,16.30455
0.55,60,0.02,286,0.8531,16.0872,7.104,-0.0986,39.8,16.126175
0.42,60,0.015,570,0.7737,16.1318,3.117,-0.1484,39.6,16.126025
0.36,60,0.02,818,0.687,15.8608,2.141,-0.2375,46.2,15.788799999999998
0.33,120,0.015,938,0.7324,15.7998,1.935,-0.1911,61.4,15.76235
0.48,60,0.015,417,0.8321,14.9653,4.697,-0.1203,36.0,14.988174999999998
0.38,45,0.0,731,0.6717,14.9661,2.432,-0.1686,40.8,14.924725
0.48,45,0.02,418,0.7632,14.714,3.984,-0.1337,35.5,14.71295
0.42,120,0.01,567,0.8942,14.6287,4.178,-0.0784,36.1,14.68805
0.55,120,0.015,285,0.9263,14.244,8.793,-0.1001,42.3,14.300524999999999
0.38,60,0.015,734,0.7166,13.9196,2.35,-0.1763,41.7,13.8856
0.33,90,0.02,939,0.6901,13.8547,1.815,-0.1923,59.7,13.806075
0.5,45,0.02,378,0.7778,13.6239,4.222,-0.1535,34.4,13.6166
0.42,45,0.02,572,0.729,13.6133,2.915,-0.1905,36.9,13.5753
0.45,120,0.01,487,0.9158,13.4422,5.732,-0.065,32.6,13.513649999999998
0.4,45,0.0,647,0.6862,13.3069,2.499,-0.1917,41.2,13.2576
0.5,60,0.015,379,0.8443,13.203,4.718,-0.1163,34.3,13.230925
0.4,120,0.01,644,0.8587,13.0839,3.147,-0.1293,40.5,13.108925
0.36,120,0.01,810,0.821,13.0328,2.395,-0.1292,43.5,13.048449999999999
0.55,90,0.015,286,0.8986,12.6068,7.509,-0.116,38.5,12.64845
0.45,45,0.015,493,0.7688,12.5478,3.489,-0.1599,31.1,12.53505
0.38,45,0.02,737,0.6771,12.3165,2.331,-0.1667,37.4,12.277425000000001
0.3,120,0.02,1080,0.6796,12.3317,1.661,-0.2748,68.6,12.2392
0.4,60,0.015,650,0.7292,11.8905,2.418,-0.1875,40.9,11.854049999999999
0.38,90,0.01,729,0.8299,11.4031,2.544,-0.1688,37.8,11.401175
0.33,60,0.0,953,0.6464,11.0165,1.75,-0.2765,50.4,10.914850000000001
0.4,45,0.02,651,0.6928,10.7946,2.391,-0.1858,37.3,10.7499
0.42,90,0.01,571,0.8651,10.5191,3.29,-0.1376,33.0,10.541575
0.36,60,0.015,824,0.6978,10.5534,2.003,-0.236,42.2,10.48485
0.36,45,0.0,823,0.6537,10.5213,2.0,-0.2083,40.3,10.455575
0.48,120,0.01,422,0.9289,10.3008,6.058,-0.0688,30.5,10.373625
0.5,30,0.0,382,0.733,10.3246,3.733,-0.1219,29.3,10.3219
0.45,90,0.01,492,0.8882,10.2055,4.231,-0.1143,30.0,10.2454
0.42,45,0.015,574,0.7387,10.2058,2.758,-0.1635,33.2,10.183725
0.55,30,0.0,292,0.7705,10.0026,4.847,-0.145,29.7,9.997724999999999
0.48,45,0.015,422,0.7749,9.9688,3.764,-0.1313,30.3,9.971875
0.33,90,0.015,951,0.7108,9.9705,1.747,-0.1631,54.0,9.94165
0.3,120,0.015,1100,0.7036,9.9706,1.636,-0.2782,61.1,9.882399999999999
0.55,45,0.02,289,0.8097,9.8613,4.858,-0.1855,32.7,9.845975
0.3,90,0.02,1102,0.6624,9.7774,1.605,-0.2916,58.9,9.6722
0.45,30,0.0,493,0.6917,9.6354,2.936,-0.1659,28.9,9.600375
0.5,45,0.015,381,0.79,9.5499,4.093,-0.1375,28.9,9.55365
0.48,30,0.0,421,0.7126,9.5193,3.416,-0.1163,29.2,9.5143
0.55,60,0.015,287,0.8676,9.2351,6.488,-0.103,31.8,9.2755
0.4,90,0.01,648,0.841,9.2637,2.611,-0.1968,36.7,9.25055
0.38,45,0.015,742,0.6846,9.1366,2.197,-0.1708,34.6,9.09735
0.5,120,0.01,385,0.9429,8.763,6.283,-0.1039,28.5,8.821775
0.36,90,0.01,820,0.8024,8.5991,2.043,-0.1743,39.5,8.58755
0.42,60,0.01,577,0.8284,8.3799,3.023,-0.17,28.3,8.376999999999999
0.38,60,0.01,740,0.777,8.3688,2.359,-0.1327,31.7,8.3717
0.48,90,0.01,423,0.9007,8.2535,4.653,-0.0878,28.0,8.309775
0.36,45,0.02,830,0.659,8.3871,1.912,-0.2371,37.3,8.3083
0.45,60,0.01,496,0.8528,8.136,3.715,-0.1254,25.7,8.1615
0.33,120,0.01,961,0.7784,8.0922,1.844,-0.2398,46.6,8.0419
0.4,45,0.015,656,0.6982,7.9085,2.241,-0.1865,34.0,7.8648
0.5,30,0.02,384,0.7422,7.5695,3.486,-0.1291,25.2,7.5655
