entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.5,120,0.0,204,0.75,13.1879,4.741,-0.142,110.4,0.03,13.1919
0.48,120,0.0,234,0.7308,11.8753,4.098,-0.148,108.4,0.034,11.87054
0.38,120,0.0,430,0.6744,10.0796,2.301,-0.1943,101.2,0.058,10.03477
0.4,90,0.0,393,0.6845,9.9983,2.57,-0.125,80.8,0.042,9.991150000000001
0.4,120,0.0,379,0.6887,9.8439,2.551,-0.1869,102.1,0.051,9.807059999999998
0.55,120,0.0,149,0.7584,9.7025,6.761,-0.053,114.5,0.023,9.75352
0.45,120,0.0,275,0.7091,9.6719,3.101,-0.1513,107.0,0.039,9.658980000000001
0.42,120,0.0,337,0.6914,9.1316,2.671,-0.1877,104.6,0.047,9.095170000000001
0.42,90,0.0,348,0.6897,8.9748,2.877,-0.1379,82.0,0.038,8.962760000000001
0.38,90,0.0,446,0.6637,8.4717,2.208,-0.129,80.5,0.048,8.45631
0.5,90,0.0,207,0.7343,8.0879,4.035,-0.1265,85.6,0.023,8.09494
0.3,120,0.0,705,0.6113,8.1037,1.685,-0.2221,92.2,0.086,8.02604
0.6,120,0.0,103,0.8058,7.3189,10.67,-0.0459,117.6,0.016,7.38769
0.45,90,0.0,284,0.7077,7.3621,3.003,-0.1729,83.3,0.031,7.33796
0.48,90,0.0,238,0.7311,7.0597,3.268,-0.1244,84.6,0.027,7.06683
0.35,90,0.0,534,0.6236,6.712,1.86,-0.214,78.9,0.056,6.64208
0.35,120,0.0,519,0.6301,6.6495,1.807,-0.2251,98.5,0.068,6.57598
0.55,90,0.0,151,0.7285,6.3916,5.142,-0.0835,88.1,0.018,6.4184
0.3,90,0.0,738,0.584,6.019,1.6,-0.2631,75.2,0.073,5.91265
0.42,120,0.02,351,0.7379,5.8925,2.423,-0.1976,78.5,0.036,5.86507
0.55,60,0.0,152,0.7632,5.7326,5.877,-0.0526,59.5,0.012,5.78526
0.6,90,0.0,104,0.8077,5.6018,8.022,-0.0636,89.2,0.012,5.662310000000001
0.4,120,0.02,393,0.7252,5.635,2.225,-0.1871,79.2,0.041,5.6090100000000005
0.38,120,0.02,443,0.702,5.5604,2.015,-0.1436,79.9,0.047,5.5492
0.45,120,0.02,286,0.7692,5.4633,2.711,-0.1513,74.8,0.028,5.46841
0.5,120,0.02,211,0.7962,5.0883,3.664,-0.1132,70.3,0.02,5.12056
0.48,120,0.02,241,0.7676,5.0942,3.188,-0.1151,72.6,0.023,5.11693
0.45,60,0.0,292,0.6986,4.8977,2.612,-0.1334,57.7,0.022,4.890580000000001
0.55,120,0.02,151,0.8543,4.7899,7.802,-0.0401,60.0,0.012,4.8761399999999995
0.6,60,0.0,104,0.7692,4.6206,8.369,-0.0474,59.7,0.008,4.6776599999999995
0.4,120,0.015,399,0.7544,4.6532,2.239,-0.1845,65.9,0.035,4.63727
0.42,120,0.015,355,0.769,4.643,2.448,-0.185,64.0,0.03,4.6312
0.42,90,0.02,356,0.7079,4.6459,2.352,-0.1592,65.9,0.031,4.62867
0.5,60,0.0,211,0.6919,4.5076,3.163,-0.1267,58.6,0.016,4.50182
0.42,60,0.0,357,0.6527,4.4956,2.213,-0.1637,57.5,0.027,4.45956
0.45,120,0.015,293,0.802,4.3448,2.762,-0.1377,57.9,0.022,4.36655
0.42,90,0.015,358,0.7458,4.2638,2.482,-0.138,54.9,0.026,4.26854
0.45,90,0.02,291,0.7354,4.1932,2.524,-0.1694,62.6,0.024,4.17912
0.48,120,0.015,244,0.8074,3.9573,3.294,-0.1172,55.2,0.018,3.99092
0.6,45,0.0,104,0.7596,3.9292,7.412,-0.0459,44.9,0.006,3.98413
0.4,60,0.0,404,0.6287,3.9808,1.924,-0.1799,57.0,0.03,3.9294599999999997
0.4,90,0.02,400,0.695,3.9598,2.001,-0.1783,66.1,0.035,3.92915
0.48,60,0.0,243,0.6996,3.9172,2.698,-0.1169,58.2,0.019,3.91863
0.35,120,0.02,531,0.6535,3.9707,1.65,-0.2061,79.6,0.056,3.9137
0.38,120,0.015,452,0.7235,3.7762,1.873,-0.1638,67.8,0.041,3.7613499999999997
0.48,90,0.02,244,0.7623,3.7349,2.711,-0.1092,61.4,0.02,3.75899
0.3,120,0.02,735,0.6231,3.7956,1.478,-0.2306,77.7,0.076,3.71723
0.55,45,0.0,152,0.6842,3.5595,4.421,-0.0513,44.8,0.009,3.58911
0.5,90,0.02,213,0.7606,3.4757,3.05,-0.1069,59.2,0.017,3.50043
0.38,60,0.0,462,0.6104,3.537,1.769,-0.1458,56.8,0.035,3.4972199999999996
0.5,120,0.015,213,0.8263,3.4473,3.512,-0.1353,53.5,0.015,3.47754
0.55,120,0.015,152,0.8947,3.3418,8.426,-0.0401,43.0,0.009,3.44016
0.55,90,0.02,152,0.7895,3.3809,4.881,-0.0835,51.3,0.01,3.426
0.38,90,0.02,453,0.6711,3.4472,1.76,-0.162,66.8,0.04,3.41753
0.4,90,0.015,404,0.7178,3.4109,2.011,-0.1682,56.4,0.03,3.39214
0.45,90,0.015,295,0.7763,3.3784,2.442,-0.1522,50.2,0.02,3.38519
0.35,90,0.02,544,0.6342,3.4188,1.624,-0.2017,66.4,0.048,3.35821
0.6,120,0.02,104,0.8846,3.1031,14.062,-0.018,51.3,0.007,3.20948
0.45,60,0.02,297,0.7172,3.1644,2.319,-0.1334,47.2,0.019,3.1628600000000002
0.5,45,0.0,215,0.6465,3.1791,2.694,-0.1241,44.3,0.013,3.161
0.42,120,0.01,368,0.8342,2.941,2.534,-0.1535,43.5,0.021,2.9645099999999998
0.6,30,0.0,104,0.7885,2.8604,6.204,-0.0542,30.0,0.004,2.91985
0.55,60,0.02,153,0.8039,2.8182,4.809,-0.0526,39.4,0.008,2.88307
0.45,120,0.01,302,0.8709,2.8336,3.156,-0.1305,38.5,0.015,2.8796200000000005
0.35,120,0.015,542,0.6845,2.9269,1.589,-0.2299,69.5,0.05,2.8672999999999997
0.48,90,0.015,245,0.8041,2.7917,2.577,-0.121,48.4,0.016,2.82243
0.3,120,0.015,749,0.6475,2.8225,1.424,-0.2412,69.6,0.069,2.7461499999999996
0.55,30,0.0,152,0.6908,2.7094,3.918,-0.072,30.0,0.006,2.73064
0.48,60,0.02,247,0.7206,2.6782,2.445,-0.1112,46.4,0.015,2.68878
0.42,60,0.02,363,0.6612,2.7149,1.946,-0.1591,49.4,0.024,2.6837100000000005
0.5,90,0.015,214,0.7944,2.6087,2.923,-0.1204,46.6,0.013,2.6368199999999997
0.55,90,0.015,153,0.8497,2.5465,4.99,-0.0835,38.7,0.008,2.60966
0.42,90,0.01,370,0.8054,2.5017,2.359,-0.1318,38.3,0.019,2.5274199999999998
0.5,60,0.02,215,0.7163,2.5208,2.668,-0.121,44.6,0.013,2.5251900000000003
0.45,60,0.015,301,0.7475,2.4993,2.21,-0.1385,39.6,0.016,2.5043
0.48,45,0.0,247,0.6599,2.4964,2.24,-0.1203,44.2,0.014,2.4842199999999997
0.6,90,0.02,105,0.8667,2.3705,8.268,-0.0636,44.6,0.006,2.4487099999999997
0.35,90,0.015,552,0.663,2.4968,1.561,-0.2229,58.8,0.043,2.43425
0.45,45,0.0,298,0.6711,2.4518,2.043,-0.1401,44.0,0.017,2.43308
0.38,90,0.015,459,0.6885,2.4412,1.655,-0.1675,57.7,0.035,2.4139999999999997
0.42,60,0.015,365,0.6795,2.3905,1.957,-0.1368,42.9,0.021,2.37595
0.48,120,0.01,249,0.8835,2.2772,3.529,-0.1132,34.1,0.011,2.3356500000000002
0.45,90,0.01,303,0.8515,2.2699,2.682,-0.1522,34.1,0.014,2.29925
0.3,90,0.02,760,0.5868,2.3842,1.362,-0.2699,65.5,0.066,2.27529
0.55,45,0.02,153,0.7255,2.2245,4.169,-0.0515,32.2,0.007,2.2664
0.35,60,0.0,559,0.5796,2.3945,1.469,-0.3214,56.3,0.042,2.25768
0.5,120,0.01,219,0.9087,2.1159,4.125,-0.1132,33.7,0.01,2.18191
0.4,120,0.01,412,0.8083,2.1381,1.934,-0.1417,46.7,0.025,2.15974
0.6,60,0.02,105,0.8095,2.0737,7.828,-0.0481,34.5,0.005,2.1425
0.55,60,0.015,153,0.8366,2.0468,4.331,-0.0526,31.3,0.006,2.12148
0.48,60,0.015,248,0.7581,2.086,2.358,-0.1243,38.4,0.013,2.10128
0.6,120,0.015,105,0.9238,1.9593,9.594,-0.0763,35.6,0.005,2.04829
0.48,90,0.01,250,0.888,1.9705,3.014,-0.1069,30.7,0.01,2.0334499999999998
0.5,90,0.01,220,0.8955,1.9295,3.68,-0.1069,30.7,0.009,1.9947
0.6,45,0.02,105,0.781,1.9017,6.587,-0.0376,28.8,0.004,1.9672
0.4,60,0.02,411,0.6302,1.9996,1.638,-0.1747,49.4,0.027,1.95131
0.38,45,0.0,471,0.5711,1.9692,1.564,-0.1663,43.6,0.027,1.90738
0.6,90,0.015,105,0.9048,1.777,10.402,-0.0636,32.1,0.004,1.8666399999999999
0.38,60,0.02,467,0.6188,1.8626,1.532,-0.1575,50.2,0.031,1.81949
0.5,60,0.015,216,0.75,1.8105,2.451,-0.1329,36.8,0.011,1.81905
0.45,45,0.015,303,0.7195,1.8301,2.012,-0.1557,32.8,0.013,1.8181
0.42,45,0.0,366,0.6093,1.8404,1.708,-0.1702,44.0,0.021,1.78809
0.55,120,0.01,153,0.9412,1.6669,8.814,-0.0401,27.4,0.006,1.7792100000000002
0.55,45,0.015,153,0.7647,1.7083,3.966,-0.0561,26.5,0.005,1.75966
0.48,60,0.01,252,0.8373,1.69,2.733,-0.082,25.9,0.009,1.7501900000000001
0.5,45,0.02,217,0.6774,1.7199,2.282,-0.1583,35.9,0.01,1.69397
0.4,60,0.015,412,0.6529,1.6808,1.616,-0.1257,43.7,0.024,1.66382
0.45,45,0.02,301,0.6811,1.6503,1.839,-0.1679,38.1,0.015,1.6206800000000001
0.6,60,0.015,105,0.8476,1.4996,7.18,-0.0474,26.3,0.004,1.58018
0.55,90,0.01,154,0.9156,1.4735,5.943,-0.0399,25.0,0.005,1.57823
0.42,60,0.01,375,0.7573,1.5858,1.871,-0.1818,31.3,0.016,1.5720900000000002
