entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.42,90,0.015,447,0.7852,8.311,2.69,-0.1275,49.2,0.029,8.332809999999998
0.5,90,0.015,284,0.8662,8.0188,4.855,-0.087,43.1,0.016,8.08516
0.4,90,0.015,498,0.7711,8.0288,2.429,-0.1463,52.1,0.035,8.03698
0.48,45,0.0,309,0.7379,7.9499,3.484,-0.1274,42.8,0.018,7.9575700000000005
0.5,60,0.02,283,0.8057,7.8918,4.08,-0.1313,42.9,0.016,7.91786
0.3,90,0.02,882,0.6553,7.7237,1.694,-0.1784,58.2,0.069,7.68109
0.38,60,0.0,568,0.6743,7.6281,2.083,-0.2276,52.8,0.04,7.56659
0.6,60,0.02,185,0.8865,7.4926,9.145,-0.1052,36.6,0.009,7.55595
0.42,45,0.0,450,0.6978,7.4933,2.628,-0.1453,41.1,0.025,7.479989999999999
0.45,45,0.02,376,0.7553,7.482,3.291,-0.1616,35.5,0.018,7.477790000000001
0.4,60,0.02,506,0.7134,7.5139,2.322,-0.2274,46.7,0.032,7.46422
0.48,60,0.015,315,0.8286,6.9614,3.918,-0.1177,35.5,0.015,7.001130000000001
0.38,90,0.015,560,0.7464,6.9535,2.125,-0.18,52.6,0.039,6.93742
0.4,120,0.01,499,0.8597,6.8139,3.057,-0.0842,39.9,0.027,6.879710000000001
0.45,120,0.01,374,0.9198,6.7375,4.972,-0.0863,31.7,0.016,6.82029
0.5,45,0.0,281,0.7438,6.7939,3.43,-0.135,43.3,0.016,6.79954
0.35,120,0.015,656,0.7287,6.8356,1.911,-0.2537,62.2,0.055,6.77736
0.42,120,0.01,448,0.875,6.6208,3.564,-0.0714,37.3,0.022,6.6975999999999996
0.38,60,0.02,573,0.6894,6.7322,2.063,-0.2174,46.9,0.036,6.68032
0.55,45,0.0,224,0.7679,6.6489,3.835,-0.1886,44.0,0.013,6.634970000000001
0.55,60,0.02,225,0.8222,6.3369,4.816,-0.1235,40.9,0.012,6.37181
0.55,120,0.015,224,0.8929,6.2,6.014,-0.12,44.8,0.013,6.2578700000000005
0.48,45,0.02,314,0.7611,6.2489,3.544,-0.1476,35.5,0.015,6.25343
0.42,60,0.015,452,0.7478,6.1069,2.505,-0.1362,39.5,0.024,6.1131400000000005
0.6,45,0.02,185,0.8757,5.8318,7.685,-0.1487,30.6,0.008,5.87016
