entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.42,60,0.015,334,0.6826,2.112,1.905,-0.0972,42.8,0.019,2.11818
0.45,120,0.015,254,0.748,2.0525,2.019,-0.1025,61.5,0.021,2.07565
0.5,90,0.02,174,0.6954,2.0016,2.494,-0.0685,62.4,0.014,2.0259699999999996
0.38,120,0.01,442,0.7873,1.9522,1.72,-0.1248,49.2,0.029,1.97599
0.45,90,0.015,258,0.7287,1.8544,1.953,-0.0995,53.2,0.018,1.8732600000000001
0.45,60,0.0,256,0.6445,1.9028,1.932,-0.2155,59.1,0.02,1.8384
0.45,60,0.02,260,0.6654,1.8543,1.925,-0.1515,48.2,0.017,1.82817
0.35,45,0.015,549,0.6066,1.7889,1.523,-0.0829,36.5,0.026,1.77943
0.38,90,0.01,446,0.7646,1.7671,1.692,-0.1628,43.5,0.026,1.76508
0.3,90,0.01,754,0.6976,1.7734,1.387,-0.1469,46.2,0.046,1.75923
0.48,120,0.015,197,0.7563,1.7064,2.349,-0.0786,62.5,0.016,1.74399
0.55,90,0.0,113,0.6283,1.7015,2.745,-0.0938,87.8,0.013,1.69309
0.35,60,0.01,550,0.6891,1.6929,1.578,-0.1147,35.3,0.026,1.69228
0.5,120,0.015,173,0.7688,1.6127,2.556,-0.072,62.4,0.014,1.65734
0.3,60,0.02,737,0.5631,1.72,1.321,-0.2095,50.5,0.049,1.6341800000000002
0.55,120,0.02,114,0.7544,1.5666,3.29,-0.0631,67.9,0.01,1.61137
0.38,45,0.015,447,0.6197,1.5654,1.587,-0.1148,36.1,0.021,1.5439100000000001
0.55,60,0.0,114,0.6754,1.5281,2.889,-0.0801,59.5,0.009,1.54067
0.4,45,0.015,389,0.6375,1.565,1.644,-0.1774,35.2,0.018,1.51755
0.35,45,0.0,542,0.5775,1.5432,1.441,-0.1264,44.0,0.032,1.50325
0.6,60,0.0,73,0.6712,1.4443,4.107,-0.0776,59.4,0.006,1.45686
0.42,45,0.02,337,0.5994,1.4624,1.695,-0.1034,39.4,0.018,1.4405199999999998
0.48,60,0.0,197,0.6244,1.4581,1.957,-0.134,59.3,0.015,1.42842
0.55,120,0.015,114,0.8333,1.3442,3.947,-0.0631,50.2,0.008,1.4126400000000001
0.4,120,0.01,386,0.8005,1.3696,1.61,-0.1216,47.1,0.024,1.39895
0.4,45,0.02,388,0.5954,1.4181,1.56,-0.1668,39.8,0.02,1.36332
0.6,120,0.02,74,0.8108,1.2781,4.918,-0.0622,59.6,0.006,1.34024
0.55,90,0.02,114,0.7281,1.2973,2.783,-0.083,57.5,0.009,1.3242299999999998
0.48,60,0.02,198,0.6717,1.3099,1.938,-0.0805,47.5,0.012,1.3211600000000001
0.45,45,0.02,260,0.6231,1.3428,1.839,-0.1237,38.6,0.013,1.31788
0.42,45,0.0,336,0.5804,1.3585,1.65,-0.147,44.4,0.02,1.30912
0.5,60,0.0,173,0.6127,1.2925,2.019,-0.0696,59.6,0.014,1.2915100000000002
0.5,60,0.02,174,0.6667,1.2724,2.07,-0.068,47.6,0.011,1.2884099999999998
0.4,90,0.01,390,0.7846,1.281,1.584,-0.1644,41.5,0.021,1.2841799999999999
0.45,45,0.0,259,0.6139,1.331,1.821,-0.1642,44.6,0.015,1.28307
0.38,45,0.02,443,0.5801,1.3098,1.483,-0.1148,40.1,0.024,1.2764300000000002
0.38,60,0.01,452,0.7058,1.2621,1.564,-0.1263,34.9,0.021,1.2606899999999999
0.48,90,0.015,199,0.7236,1.2187,1.971,-0.0703,53.4,0.014,1.25063
0.42,120,0.01,333,0.7988,1.2109,1.664,-0.1008,45.7,0.02,1.25014
0.42,45,0.015,338,0.6361,1.26,1.663,-0.1118,35.0,0.016,1.2449299999999999
0.3,60,0.0,730,0.5452,1.2975,1.263,-0.2394,56.1,0.054,1.1913600000000002
0.6,90,0.02,74,0.7973,1.1281,4.631,-0.0592,52.7,0.005,1.1876900000000001
0.55,90,0.015,114,0.8158,1.1316,3.07,-0.0828,43.7,0.007,1.1849399999999999
0.35,45,0.01,556,0.6619,1.184,1.449,-0.098,29.5,0.022,1.18357
0.5,90,0.015,175,0.72,1.1531,2.086,-0.072,53.6,0.012,1.1831
0.42,90,0.01,337,0.7834,1.1299,1.63,-0.1113,40.3,0.018,1.15927
0.45,60,0.015,261,0.6858,1.1819,1.712,-0.1677,41.5,0.014,1.1537899999999999
0.42,60,0.01,338,0.7308,1.1118,1.718,-0.0909,32.4,0.014,1.1355899999999999
0.48,45,0.0,199,0.608,1.1437,1.898,-0.1226,44.7,0.012,1.1148
0.55,60,0.02,115,0.713,1.0755,2.549,-0.1003,45.3,0.007,1.08925
0.48,120,0.01,201,0.8408,0.9802,2.182,-0.0786,41.2,0.011,1.04314
0.4,45,0.0,386,0.5725,1.0985,1.459,-0.1905,44.6,0.023,1.025
0.4,60,0.01,392,0.7296,1.0277,1.542,-0.1532,33.5,0.017,1.01998
0.38,45,0.0,437,0.5606,1.052,1.405,-0.1418,44.5,0.026,0.9992800000000001
