fold,num_leaves,n_estimators,max_depth,min_child_samples,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,7,350,6,500,0.7918880029567779,0.4371196931998119,0.10503240867599169,0.34617713437659725,0.7029702110606466,0.23782848788905334,0.0758233129620912,0.27841425902912553
1,15,350,6,500,0.83276766718453,0.4947432774089013,0.09964977660428767,0.32759822370341224,0.7000794816991719,0.2325784996265011,0.07622088133503004,0.2794196361979659
1,31,350,6,500,0.83879546609758,0.5025389039113347,0.09895242428722958,0.32499373714169233,0.6970438151215602,0.23085016080528825,0.07636552444364333,0.28027377199180264
1,63,350,6,500,0.83879546609758,0.5025389039113347,0.09895242428722958,0.32499373714169233,0.6970438151215602,0.23085016080528825,0.07636552444364333,0.28027377199180264
2,7,350,6,500,0.7852582181455161,0.4122708824590222,0.09903639100941317,0.3313058057989811,0.6937715515171309,0.22845914469736156,0.08403992137711692,0.2990975734157864
2,15,350,6,500,0.8246229384218026,0.46559553883220284,0.09445381839406579,0.314568847887837,0.6857152462275841,0.22143123729631264,0.08474672494657447,0.30193010776376017
2,31,350,6,500,0.8347634075193546,0.4781262655158311,0.09338094006806137,0.31037726803531274,0.6848880041494174,0.22245591996603525,0.08471117313864258,0.3019663339322445
2,63,350,6,500,0.8347634075193546,0.4781262655158311,0.09338094006806137,0.31037726803531274,0.6848880041494174,0.22245591996603525,0.08471117313864258,0.3019663339322445
3,7,350,6,500,0.776915333674873,0.393703521505139,0.09641930548325202,0.3252144683680693,0.6845545277507303,0.09895683501541208,0.034405494836775435,0.14837876344397993
3,15,350,6,500,0.812379929085746,0.4396399049248308,0.09268679515627011,0.3111998048680906,0.6795688291139239,0.09416110468361222,0.03444804852883839,0.14871795204701888
3,31,350,6,500,0.826879602188938,0.45555651381644935,0.09143119279306938,0.30607586078496174,0.6760832521908471,0.09542818511337053,0.03446575827281458,0.14897128037874235
3,63,350,6,500,0.826879602188938,0.45555651381644935,0.09143119279306938,0.30607586078496174,0.6760832521908471,0.09542818511337053,0.03446575827281458,0.14897128037874235
4,7,350,6,500,0.7864325902387637,0.3805360276786964,0.0877800550614376,0.29984266611950194,0.7534224142849628,0.24479278065314666,0.06706438117237237,0.24771747983258563
4,15,350,6,500,0.8214760443769327,0.42589877631458656,0.08442695187546764,0.2864366777595557,0.7548236127505356,0.24226365483085305,0.06724302859967216,0.2490188620540574
4,31,350,6,500,0.8352645789236341,0.4446200129582813,0.08315091970965692,0.28123815457971996,0.754316780518673,0.24089958301826453,0.06720207989283,0.24961413621337897
4,63,350,6,500,0.8352645789236341,0.4446200129582813,0.08315091970965692,0.28123815457971996,0.754316780518673,0.24089958301826453,0.06720207989283,0.24961413621337897
5,7,350,6,500,0.7859895376300604,0.3702210990318349,0.0850207586041572,0.29217612122529535,0.754147169177766,0.281984756488715,0.09311228361499002,0.31634843087798276
5,15,350,6,500,0.8201031515378676,0.41545874290045104,0.08182006715701053,0.27924648313957506,0.749920922342846,0.28041007315814975,0.09339344316635195,0.3179150108418647
5,31,350,6,500,0.8375935360354241,0.4374664684760924,0.08034901679233533,0.2729599813191456,0.7479272706603207,0.2778323150797725,0.09352402667043686,0.31860913088061754
5,63,350,6,500,0.8381525062109833,0.4385103688700508,0.08028900742006077,0.27275100335343516,0.7474293840468919,0.27942498076783956,0.09353415102952038,0.3188213861329935
6,7,350,6,500,0.7846042069090643,0.36241351907464675,0.0857032957702052,0.2939020299512715,0.6938797067901876,0.165636746888508,0.06169085115967255,0.2349616679710297
6,15,350,6,500,0.8152159216619798,0.40622815933958445,0.0827261772527187,0.28200613570521443,0.6960505839326813,0.16859829429587833,0.06158098823509046,0.2346630496149376
6,31,350,6,500,0.833209989158204,0.4289129490178686,0.08112599820610218,0.2752557446226377,0.6976542050555653,0.16999965990550553,0.0615626027036985,0.2345846433853292
6,63,350,6,500,0.8321785718640573,0.4268180749006362,0.08126798950360388,0.27572002072391955,0.6963940982084857,0.16822040224832693,0.06161886531013702,0.23478044153539548
7,7,350,6,500,0.7817107603317531,0.3496224684744136,0.0833829055153,0.2879907032480208,0.7326954362803817,0.2598765028247274,0.09457056298625123,0.32474527577325274
7,15,350,6,500,0.8120528016538282,0.3923221141573606,0.08057517963334153,0.27656472858392833,0.7304616815760633,0.25947252272992016,0.09503074987890406,0.3271226665932407
7,31,350,6,500,0.8312286171408155,0.41728460337894896,0.07896993408386677,0.2696444321838415,0.7294820577516119,0.2576920820594202,0.0951439280399699,0.3279005160111003
7,63,350,6,500,0.8319579940614265,0.41717568093521856,0.07893093459169842,0.26942377939030954,0.7299965593699824,0.26235317417201626,0.09467182021202797,0.32602042045612095
