trial_no,param_hash,params,objective_score,mean_valid_ll,std_valid_ll,mean_train_ll,mean_gap,mean_valid_prauc,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,mean_valid_rmse,std_valid_rmse,mean_train_rmse,mean_valid_mae
11,7152e3223c7e1904,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 283, 'min_child_weight': 0.08450201302139065, 'min_split_gain': 0.006158459876169438, 'reg_alpha': 1.1080485964481517, 'reg_lambda': 37.33607072503034, 'subsample': 0.5140568163377729, 'colsample_bytree': 0.6202315627373403, 'learning_rate': 0.011742701698247473, 'max_bin': 63, 'path_smooth': 5.094011902587738, 'extra_trees': True}",0.273714917189072,0.2397743090583813,0.1357624325227623,0.2685059637803664,-0.028731654721985,0.1952896999637822,11.9,32,5,283,0.0845020130213906,0.0061584598761694,1.1080485964481517,37.33607072503034,0.5140568163377729,0.6202315627373403,0.0117427016982474,63,5.094011902587738,True,,,,
12,17797ba73371474f,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 1547, 'min_child_weight': 0.0001554002697432927, 'min_split_gain': 8.108768226750889e-05, 'reg_alpha': 2.044206137953301, 'reg_lambda': 18.337021671045928, 'subsample': 0.8290438700426869, 'colsample_bytree': 0.562715580877921, 'learning_rate': 0.04673777448553254, 'max_bin': 63, 'path_smooth': 1.2987752032221334, 'extra_trees': True}",0.2740110555288751,0.2401521644059638,0.1354355644916452,0.2757577912959481,-0.0356056268899842,0.1993316736627799,6.9,32,5,1547,0.0001554002697432,8.108768226750889e-05,2.044206137953301,18.337021671045928,0.8290438700426869,0.562715580877921,0.0467377744855325,63,1.2987752032221334,True,,,,
13,8eafb6b8c7b062ca,"{'num_leaves': 13, 'max_depth': -1, 'min_child_samples': 1003, 'min_child_weight': 0.03147999017725312, 'min_split_gain': 0.004778108184926552, 'reg_alpha': 0.6324998225557302, 'reg_lambda': 4.214376026129216, 'subsample': 0.8661299006976004, 'colsample_bytree': 0.8328586144980811, 'learning_rate': 0.012202487834934933, 'max_bin': 127, 'path_smooth': 0.5370095583865401, 'extra_trees': False}",0.2737357200199479,0.2393067966507614,0.1377156934767459,0.2551296953911811,-0.0158228987404196,0.1941757460660456,18.2,13,-1,1003,0.0314799901772531,0.0047781081849265,0.6324998225557302,4.214376026129216,0.8661299006976004,0.8328586144980811,0.0122024878349349,127,0.5370095583865401,False,,,,
14,b48efcbe5f14a2a6,"{'num_leaves': 5, 'max_depth': 6, 'min_child_samples': 3645, 'min_child_weight': 0.009875351660720863, 'min_split_gain': 0.0, 'reg_alpha': 0.6617005787654167, 'reg_lambda': 36.42990695707062, 'subsample': 0.6794578877691699, 'colsample_bytree': 0.6912447175717362, 'learning_rate': 0.00689869591812769, 'max_bin': 63, 'path_smooth': 0.0028715758625046375, 'extra_trees': False}",0.3203687394630284,0.2819297750613916,0.1537558576065473,0.3251490701862012,-0.0432192951248096,0.0803571428571428,2.4,5,6,3645,0.0098753516607208,0.0,0.6617005787654167,36.42990695707062,0.6794578877691699,0.6912447175717362,0.0068986959181276,63,0.0028715758625046,False,,,,
15,19a27af5094bba96,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 2079, 'min_child_weight': 0.0045786579640486645, 'min_split_gain': 0.011481415388655809, 'reg_alpha': 0.17251570726102333, 'reg_lambda': 4.054153574900173, 'subsample': 0.4654089172839697, 'colsample_bytree': 0.6120304335394173, 'learning_rate': 0.008195107921137312, 'max_bin': 63, 'path_smooth': 2.591864498494624, 'extra_trees': False}",0.3203687394630284,0.2819297750613916,0.1537558576065473,0.3251490701862012,-0.0432192951248096,0.0803571428571428,2.4,13,5,2079,0.0045786579640486,0.0114814153886558,0.1725157072610233,4.054153574900173,0.4654089172839697,0.6120304335394173,0.0081951079211373,63,2.591864498494624,False,,,,
16,4b1f57a5b62e89aa,"{'num_leaves': 6, 'max_depth': 6, 'min_child_samples': 2299, 'min_child_weight': 0.004689175173981012, 'min_split_gain': 0.00014940840554230074, 'reg_alpha': 1.366447141364937, 'reg_lambda': 21.312140994390624, 'subsample': 0.6531934307200352, 'colsample_bytree': 0.8384122307996207, 'learning_rate': 0.007344173433759004, 'max_bin': 63, 'path_smooth': 0.0012326741610799745, 'extra_trees': False}",0.3203687394630284,0.2819297750613916,0.1537558576065473,0.3251490701862012,-0.0432192951248096,0.0803571428571428,2.4,6,6,2299,0.004689175173981,0.0001494084055423,1.366447141364937,21.312140994390624,0.6531934307200352,0.8384122307996207,0.007344173433759,63,0.0012326741610799,False,,,,
17,142b87a8b35c7f46,"{'num_leaves': 27, 'max_depth': -1, 'min_child_samples': 1270, 'min_child_weight': 0.0002863757952026767, 'min_split_gain': 4.416590318748443e-05, 'reg_alpha': 0.6099321139745849, 'reg_lambda': 7.803915372354436, 'subsample': 0.6405106130482412, 'colsample_bytree': 0.5309072534887259, 'learning_rate': 0.021342859108104982, 'max_bin': 127, 'path_smooth': 0.0022418145176583866, 'extra_trees': False}",0.2750755108177125,0.2410181123416311,0.1362295939043256,0.2721885634514187,-0.0311704511097875,0.1944856565186738,6.8,27,-1,1270,0.0002863757952026,4.416590318748443e-05,0.6099321139745849,7.803915372354436,0.6405106130482412,0.5309072534887259,0.0213428591081049,127,0.0022418145176583,False,,,,
18,ef3e32d89d7a9dd9,"{'num_leaves': 6, 'max_depth': 4, 'min_child_samples': 384, 'min_child_weight': 0.03714008148792371, 'min_split_gain': 0.0020743320413499976, 'reg_alpha': 1.0816284932722808, 'reg_lambda': 27.474254184170306, 'subsample': 0.6660465198875518, 'colsample_bytree': 0.7263853044214659, 'learning_rate': 0.019189690630545233, 'max_bin': 63, 'path_smooth': 0.0021765932828029678, 'extra_trees': True}",0.2729517958299629,0.2389469251546542,0.1360194827012345,0.2636361447953391,-0.0246892196406848,0.1933920657364397,10.2,6,4,384,0.0371400814879237,0.0020743320413499,1.0816284932722808,27.474254184170302,0.6660465198875518,0.7263853044214659,0.0191896906305452,63,0.0021765932828029,True,,,,
19,5914295178ec0745,"{'num_leaves': 11, 'max_depth': 6, 'min_child_samples': 341, 'min_child_weight': 0.00020427202922274044, 'min_split_gain': 0.00020866271281712076, 'reg_alpha': 0.22417041133332874, 'reg_lambda': 2.19374395493986, 'subsample': 0.9125600591883986, 'colsample_bytree': 0.6986366838202369, 'learning_rate': 0.011113217365318616, 'max_bin': 63, 'path_smooth': 0.23102658895922132, 'extra_trees': False}",0.2743965958183819,0.239414879392735,0.1399268657025875,0.2366509839095683,0.0027638954831667,0.1894638987074941,15.0,11,6,341,0.0002042720292227,0.0002086627128171,0.2241704113333287,2.19374395493986,0.9125600591883986,0.6986366838202369,0.0111132173653186,63,0.2310265889592213,False,,,,
20,9646d8931bf102ec,"{'num_leaves': 56, 'max_depth': -1, 'min_child_samples': 271, 'min_child_weight': 0.0028838654399998, 'min_split_gain': 0.013518886099402097, 'reg_alpha': 0.09179689200646007, 'reg_lambda': 75.10224336900762, 'subsample': 0.7358640261880376, 'colsample_bytree': 0.6340936406341722, 'learning_rate': 0.009245824964666104, 'max_bin': 127, 'path_smooth': 0.12097332285996083, 'extra_trees': False}",0.2748486571858997,0.2404025995665141,0.1377842304775423,0.253434106218457,-0.0130315066519428,0.1923109752919593,24.2,56,-1,271,0.0028838654399998,0.013518886099402,0.09179689200646,75.10224336900762,0.7358640261880376,0.6340936406341722,0.0092458249646661,127,0.1209733228599608,False,,,,
21,4443bace5c23371d,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 268, 'min_child_weight': 0.03322784585832472, 'min_split_gain': 0.0384275846002364, 'reg_alpha': 0.7312817304763543, 'reg_lambda': 21.7837036536859, 'subsample': 0.683369266108857, 'colsample_bytree': 0.7622181344479604, 'learning_rate': 0.015311963732388264, 'max_bin': 63, 'path_smooth': 1.1873806512263125, 'extra_trees': False}",0.2741445170767574,0.2398803261065182,0.1370567638809569,0.2617962815298331,-0.0219159554233148,0.1897093061116574,11.0,4,2,268,0.0332278458583247,0.0384275846002364,0.7312817304763543,21.7837036536859,0.683369266108857,0.7622181344479604,0.0153119637323882,63,1.1873806512263123,False,,,,
22,9ea1a3555d9571a3,"{'num_leaves': 18, 'max_depth': -1, 'min_child_samples': 383, 'min_child_weight': 0.028436041595836056, 'min_split_gain': 1.4114003627068444e-05, 'reg_alpha': 1.260585095960748, 'reg_lambda': 27.30302039679547, 'subsample': 0.6469507257182147, 'colsample_bytree': 0.9246839426797306, 'learning_rate': 0.011161630358549429, 'max_bin': 127, 'path_smooth': 0.01056477767674024, 'extra_trees': True}",0.273476780508553,0.2393026416927313,0.1366965552632865,0.2638640447906395,-0.0245614030979081,0.1976852269864505,15.7,18,-1,383,0.028436041595836,1.4114003627068444e-05,1.260585095960748,27.30302039679547,0.6469507257182147,0.9246839426797306,0.0111616303585494,127,0.0105647776767402,True,,,,
23,c647da7c6035bd7c,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 359, 'min_child_weight': 0.0529374321677927, 'min_split_gain': 0.0, 'reg_alpha': 1.619770011629084, 'reg_lambda': 31.470463875091244, 'subsample': 0.8728662264435667, 'colsample_bytree': 0.8961161489067558, 'learning_rate': 0.014019126250338774, 'max_bin': 63, 'path_smooth': 0.018353386369238407, 'extra_trees': False}",0.2748686379054941,0.240403874571255,0.1378590533369562,0.2637746928606542,-0.0233708182893991,0.1846187756428522,14.2,4,2,359,0.0529374321677927,0.0,1.619770011629084,31.470463875091244,0.8728662264435667,0.8961161489067558,0.0140191262503387,63,0.0183533863692384,False,,,,
24,9f30ab123601e43b,"{'num_leaves': 18, 'max_depth': 6, 'min_child_samples': 491, 'min_child_weight': 0.025513191775165266, 'min_split_gain': 2.3870783409459368e-05, 'reg_alpha': 1.6945548065226939, 'reg_lambda': 18.942574480630284, 'subsample': 0.5082741594438726, 'colsample_bytree': 0.8645939686842992, 'learning_rate': 0.009726445482999021, 'max_bin': 127, 'path_smooth': 0.24976476203076983, 'extra_trees': False}",0.2739601820898014,0.2398124112695304,0.136591083281084,0.2602560938614858,-0.0204436825919553,0.1924159553725587,15.6,18,6,491,0.0255131917751652,2.3870783409459368e-05,1.694554806522694,18.942574480630284,0.5082741594438726,0.8645939686842992,0.009726445482999,127,0.2497647620307698,False,,,,
25,2279056282a54bb1,"{'num_leaves': 26, 'max_depth': -1, 'min_child_samples': 701, 'min_child_weight': 0.029980228585425317, 'min_split_gain': 0.012871209314627622, 'reg_alpha': 0.8294964988173256, 'reg_lambda': 14.221505925147849, 'subsample': 0.5548376614128551, 'colsample_bytree': 0.5416282359618643, 'learning_rate': 0.014300277492842234, 'max_bin': 63, 'path_smooth': 0.003071355011352014, 'extra_trees': False}",0.2751285567177559,0.240875549068011,0.1370120305989796,0.2656236772153037,-0.0247481281472927,0.1912853526041415,9.3,26,-1,701,0.0299802285854253,0.0128712093146276,0.8294964988173256,14.221505925147849,0.5548376614128551,0.5416282359618643,0.0143002774928422,63,0.003071355011352,False,,,,
26,5550f016fe7ec592,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 520, 'min_child_weight': 0.03904673418388134, 'min_split_gain': 6.296549278860482e-05, 'reg_alpha': 1.4071754255040125, 'reg_lambda': 15.062676107761838, 'subsample': 0.5076750295140905, 'colsample_bytree': 0.9146663259941236, 'learning_rate': 0.011014560129352561, 'max_bin': 127, 'path_smooth': 0.09001941398429979, 'extra_trees': False}",0.2734760564255631,0.2393425926587312,0.1365338550673274,0.2596293330362595,-0.0202867403775282,0.1971460992623524,14.6,16,4,520,0.0390467341838813,6.296549278860482e-05,1.4071754255040123,15.062676107761838,0.5076750295140905,0.9146663259941236,0.0110145601293525,127,0.0900194139842997,False,,,,
27,e0dad1ac41f38e83,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 305, 'min_child_weight': 0.03326647568977917, 'min_split_gain': 0.05003037029082277, 'reg_alpha': 1.4413080750911529, 'reg_lambda': 12.772691439190401, 'subsample': 0.5127248847547176, 'colsample_bytree': 0.7076885423413777, 'learning_rate': 0.018717591951145626, 'max_bin': 127, 'path_smooth': 0.2421978106069844, 'extra_trees': False}",0.2738352590291034,0.2394486386948725,0.1375464813369232,0.2572239823118221,-0.0177753436169495,0.1924553261917675,9.8,8,3,305,0.0332664756897791,0.0500303702908227,1.4413080750911529,12.7726914391904,0.5127248847547176,0.7076885423413777,0.0187175919511456,127,0.2421978106069844,False,,,,
28,842ea89ca6bc2be9,"{'num_leaves': 22, 'max_depth': 8, 'min_child_samples': 237, 'min_child_weight': 0.02250402429134398, 'min_split_gain': 0.013773800774140987, 'reg_alpha': 1.752432091959154, 'reg_lambda': 25.48854396829387, 'subsample': 0.5230624107724355, 'colsample_bytree': 0.7542645769028565, 'learning_rate': 0.013055999190814564, 'max_bin': 127, 'path_smooth': 0.25848100247744216, 'extra_trees': True}",0.2735467897865314,0.2397906851067074,0.135024418719296,0.2669943880464617,-0.0272037029397543,0.1984516656016337,12.0,22,8,237,0.0225040242913439,0.0137738007741409,1.752432091959154,25.48854396829387,0.5230624107724355,0.7542645769028565,0.0130559991908145,127,0.2584810024774421,True,,,,
29,c1b8842807b6f6c8,"{'num_leaves': 15, 'max_depth': -1, 'min_child_samples': 553, 'min_child_weight': 0.03176760423964315, 'min_split_gain': 0.004052510066533089, 'reg_alpha': 0.9796259518186632, 'reg_lambda': 19.587497069489025, 'subsample': 0.6910091718461111, 'colsample_bytree': 0.85906663832672, 'learning_rate': 0.008222858777041198, 'max_bin': 63, 'path_smooth': 0.0018460158595086213, 'extra_trees': False}",0.2740055694779303,0.2395961903208533,0.137637516628308,0.2560520529725187,-0.0164558626516653,0.1913749613382946,20.2,15,-1,553,0.0317676042396431,0.004052510066533,0.9796259518186632,19.587497069489025,0.6910091718461111,0.85906663832672,0.0082228587770411,63,0.0018460158595086,False,,,,
30,32a215a9f41e7ebc,"{'num_leaves': 12, 'max_depth': 5, 'min_child_samples': 269, 'min_child_weight': 0.04931865513676782, 'min_split_gain': 0.00017431657960054151, 'reg_alpha': 0.9546828447749234, 'reg_lambda': 17.912754333095744, 'subsample': 0.49893502380926974, 'colsample_bytree': 0.5462756960723347, 'learning_rate': 0.007416952695567751, 'max_bin': 127, 'path_smooth': 0.004995349553745401, 'extra_trees': False}",0.2744411647303862,0.2400313768443119,0.137639151544297,0.255295596964856,-0.015264220120544,0.1916616441075156,17.2,12,5,269,0.0493186551367678,0.0001743165796005,0.9546828447749234,17.912754333095744,0.4989350238092697,0.5462756960723347,0.0074169526955677,127,0.0049953495537454,False,,,,
31,a6ac5b582eb065c7,"{'num_leaves': 11, 'max_depth': 4, 'min_child_samples': 320, 'min_child_weight': 0.03252009397215798, 'min_split_gain': 0.0003754238225290726, 'reg_alpha': 1.940793919329475, 'reg_lambda': 31.56107432692359, 'subsample': 0.46384939895407923, 'colsample_bytree': 0.576404440159609, 'learning_rate': 0.009201487351809671, 'max_bin': 127, 'path_smooth': 0.009943752434754663, 'extra_trees': True}",0.274092076958537,0.2400652148932598,0.1361074482611086,0.2697356897222417,-0.0296704748289819,0.1989510078248629,14.9,11,4,320,0.0325200939721579,0.000375423822529,1.940793919329475,31.56107432692359,0.4638493989540792,0.576404440159609,0.0092014873518096,127,0.0099437524347546,True,,,,
