entry_time,exit_time,direction,entry_price,exit_price,profit_pct,expected_log_return,fact_log_return,fact_1h_max_range_log_return,tp_price,sl_price,hold_minutes,exit_reason,score_pct_at_entry,bucket_mean_mfe
2025-12-01 00:00:00,2025-12-01 00:04:00,long,133.62,132.8069164222874,-0.0060850439882697005,0.006103633318063704,-0.006103633318063623,-0.0013480118868946383,134.43806151803497,132.8069164222874,4,stop_loss,0.9536553724053725,0.006103633318063704
2025-12-01 00:05:00,2025-12-01 00:06:00,long,132.76,131.95214956011728,-0.0060850439882699225,0.006103633318063704,-0.006103633318063847,-0.005438079866781619,133.57279634137345,131.95214956011728,1,stop_loss,0.9467757936507937,0.006103633318063704
2025-12-01 00:07:00,2025-12-01 00:18:00,long,131.21,130.41158137829913,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0025118947555804855,132.01330677878587,130.41158137829913,11,stop_loss,0.9849244505494505,0.006103633318063704
2025-12-01 00:19:00,2025-12-01 00:21:00,long,130.38,129.58663196480938,-0.0060850439882697005,0.006103633318063704,-0.006103633318063623,0.0014562179235538906,131.17822527107768,129.58663196480938,2,stop_loss,0.9966460622710622,0.006103633318063704
2025-12-01 00:22:00,2025-12-01 00:32:00,long,130.08,129.28845747800588,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0028403657832367867,130.8763885815446,129.28845747800588,10,stop_loss,0.9967605311355311,0.006103633318063704
2025-12-01 00:33:00,2025-12-01 00:47:00,long,129.11,128.3243599706745,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.003324959568143651,129.9004499520543,128.3243599706745,14,stop_loss,0.9973443223443224,0.006103633318063704
2025-12-01 00:48:00,2025-12-01 00:53:00,long,128.48,127.69819354838708,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.005046398660108634,129.2665929040348,127.69819354838708,5,stop_loss,0.9874923687423688,0.006103633318063704
2025-12-01 00:54:00,2025-12-01 01:03:00,long,127.76,128.54218484915543,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.010666144951803196,128.54218484915543,126.98257478005866,9,take_profit,0.9757135225885226,0.006103633318063704
2025-12-01 01:04:00,2025-12-01 01:09:00,long,128.37,129.15591945120602,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.00590292976172497,129.15591945120602,127.5888629032258,5,take_profit,0.9721535409035409,0.006103633318063704
2025-12-01 01:10:00,2025-12-01 02:10:00,long,128.38,128.16,-0.0017136625642623082,0.006103633318063704,-0.001715132563582967,0.0030332514020604837,129.16598067419045,127.59880205278591,60,timeout_1h,0.9901594932844933,0.006103633318063704
2025-12-01 12:52:00,2025-12-01 13:03:00,long,126.65,127.42538909788301,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.007551361298200754,127.42538909788301,125.87932917888564,11,take_profit,0.9197191697191697,0.006103633318063704
2025-12-01 13:04:00,2025-12-01 13:32:00,long,127.27,126.4955564516129,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0026679237419291566,128.04918492291804,126.4955564516129,28,stop_loss,0.9318261599511599,0.006103633318063704
2025-12-01 13:34:00,2025-12-01 14:32:00,long,126.24,125.47182404692082,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.005608451053123347,127.01287895552113,125.47182404692082,58,stop_loss,0.9100656288156288,0.006103633318063704
2025-12-01 14:33:00,2025-12-01 14:37:00,long,126.17,126.94245039463009,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.00584796988242312,126.94245039463009,125.40225,4,take_profit,0.9134500915750916,0.006103633318063704
2025-12-01 14:38:00,2025-12-01 14:45:00,long,126.66,125.88926832844574,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,-0.0009478673695459731,127.43545032086745,125.88926832844574,7,stop_loss,0.9444291819291819,0.006103633318063704
2025-12-01 14:46:00,2025-12-01 15:14:00,long,126.25,125.48176319648094,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0022943955632690237,127.02294017850556,125.48176319648094,28,stop_loss,0.9312232905982906,0.006103633318063704
2025-12-01 15:15:00,2025-12-01 15:30:00,long,125.0,124.23936950146627,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0053456863247521025,125.76528730545105,124.23936950146627,15,stop_loss,0.940357905982906,0.006103633318063704
2025-12-01 15:34:00,2025-12-01 15:36:00,long,123.26,124.01463450615918,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.01888592316506462,124.01463450615918,122.50995747800587,2,take_profit,0.9210126678876679,0.006103633318063704
2025-12-01 15:37:00,2025-12-01 15:50:00,long,123.67,124.42714464852106,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.015565140945195996,124.42714464852106,122.91746260997067,13,take_profit,0.978865231990232,0.006103633318063704
2025-12-01 15:51:00,2025-12-01 16:06:00,long,125.21,124.44809164222873,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.003189541018305337,125.9765729881242,124.44809164222873,15,stop_loss,0.976541514041514,0.006103633318063704
2025-12-01 16:07:00,2025-12-01 16:36:00,long,124.32,123.56350733137829,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.002329973335438922,125.0811241425094,123.56350733137829,29,stop_loss,0.9700434981684982,0.006103633318063704
2025-12-01 16:37:00,2025-12-01 16:50:00,long,124.46,123.70265542521993,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0012847279750042653,125.2219812642915,123.70265542521993,13,stop_loss,0.9055326617826618,0.006103633318063704
2025-12-01 16:51:00,2025-12-01 17:27:00,long,123.8,124.55794054731872,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.00852574938310227,124.55794054731872,123.0466715542522,36,take_profit,0.9328334859584859,0.006103633318063704
2025-12-01 17:35:00,2025-12-01 18:14:00,long,124.38,125.14149148041602,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.006331417664188981,125.14149148041602,123.623142228739,39,take_profit,0.9004044566544567,0.006103633318063704
2025-12-01 18:15:00,2025-12-01 18:31:00,long,125.1,124.33876099706744,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,0.0005593958670668349,125.86589953529541,124.33876099706744,16,stop_loss,0.9058913308913309,0.006103633318063704
2025-12-01 20:07:00,2025-12-01 21:07:00,long,124.79,124.67,-0.0009616155140637073,0.006103633318063704,-0.00096207816287945,0.00391890772272999,125.5540016227779,124.03064736070381,60,timeout_1h,0.9060859279609279,0.006103633318063704
2025-12-01 21:22:00,2025-12-01 21:40:00,long,125.26,126.0268791030464,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.010798898018713731,126.0268791030464,124.49778739002933,18,take_profit,0.9054029304029304,0.006103633318063704
2025-12-01 22:05:00,2025-12-01 22:53:00,long,126.47,127.24428708416316,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.006384258137646403,127.24428708416316,125.70042448680351,48,take_profit,0.9260264041514041,0.006103633318063704
2025-12-02 01:07:00,2025-12-02 01:15:00,long,128.06,127.28074926686217,-0.0060850439882698115,0.006103633318063704,-0.006103633318063735,-0.0010156647617125339,128.8440215386885,127.28074926686217,8,stop_loss,0.9237599206349206,0.006103633318063704
2025-12-02 01:16:00,2025-12-02 02:16:00,long,127.19,127.67,0.0037738815944650117,0.006103633318063704,0.0037667783688663725,0.0037667783688663725,127.96869513904255,126.41604325513197,60,timeout_1h,0.9556929181929182,0.006103633318063704
2025-12-02 10:53:00,2025-12-02 11:53:00,long,128.35,128.35,0.0,0.006103633318063704,0.0,0.0,129.13579700523715,127.56898460410557,60,timeout_1h,0.9151175213675213,0.006103633318063704
2025-12-02 13:17:00,2025-12-02 13:27:00,long,130.12,130.91663347348234,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.008265774904837868,130.91663347348234,129.32821407624633,10,take_profit,0.9324137667887668,0.006103633318063704
2025-12-02 13:28:00,2025-12-02 14:26:00,long,130.75,131.5504905215018,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.008756956778236732,131.5504905215018,129.9543804985337,58,take_profit,0.9282318376068376,0.006103633318063704
2025-12-02 14:32:00,2025-12-02 14:36:00,long,131.4,132.20447001549016,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.038737631964290156,132.20447001549016,130.60042521994134,4,take_profit,0.9015796703296703,0.006103633318063704
2025-12-02 14:39:00,2025-12-02 14:45:00,long,131.67,132.4761230360699,0.006122298443608454,0.006103633318063704,0.006103633318063704,0.03668494564654816,132.4761230360699,130.8687822580645,6,take_profit,0.9168498168498168,0.006103633318063704
