direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
long,0.9,bucket_mean_mfe,none,867,0.16485605046660182,0.00019014538692802978,17.922335784105115,0.5397923875432526,50.20415224913495
long,0.92,bucket_mean_mfe,none,714,-0.20401759759751423,-0.0002857389322094037,-18.455197886503992,0.5070028011204482,49.483193277310924
long,0.94,bucket_mean_mfe,none,506,0.01754579981953722,3.467549371450044e-05,1.7700631588671412,0.5217391304347826,47.88932806324111
long,0.95,bucket_mean_mfe,none,424,-0.12068268811929088,-0.00028462898141342187,-11.368484669434032,0.5306603773584906,47.431603773584904
long,0.96,bucket_mean_mfe,none,352,0.3347716353701234,0.0009510557823014868,39.762118153260964,0.5767045454545454,45.46306818181818
long,0.97,bucket_mean_mfe,none,283,0.24130968653486465,0.0008526844047168363,27.291517896553774,0.5936395759717314,44.6643109540636
long,0.98,bucket_mean_mfe,none,189,0.2928980913650464,0.0015497253511378116,34.03061946969359,0.6243386243386243,42.592592592592595
long,0.99,bucket_mean_mfe,none,97,0.30178366616768665,0.003111171816161718,35.226865360374134,0.6701030927835051,35.81443298969072
long,0.9,bucket_mean_mfe,0.5x_tp,1646,-0.28088814498143144,-0.00017064893376757682,-24.488720608784543,0.3718104495747266,24.121506682867558
long,0.92,bucket_mean_mfe,0.5x_tp,1386,-0.4670108622883643,-0.0003369486740897289,-37.31267189029525,0.35425685425685427,22.236652236652237
long,0.94,bucket_mean_mfe,0.5x_tp,1076,-0.2287124422067106,-0.00021255803179062325,-20.44427306910659,0.354089219330855,19.29646840148699
long,0.95,bucket_mean_mfe,0.5x_tp,909,-0.3190412440520189,-0.00035098046650387115,-27.315442936840327,0.3465346534653465,18.3014301430143
long,0.96,bucket_mean_mfe,0.5x_tp,744,0.06253795339608786,8.405638897323637e-05,6.453486086438276,0.35618279569892475,17.34005376344086
long,0.97,bucket_mean_mfe,0.5x_tp,597,0.14069086803093053,0.00023566309552919688,15.106876082696052,0.36348408710217756,16.067001675041876
long,0.98,bucket_mean_mfe,0.5x_tp,424,-0.00381439099092529,-8.996205167276628e-06,-0.3807125442426007,0.3466981132075472,13.070754716981131
long,0.99,bucket_mean_mfe,0.5x_tp,223,0.11515751484637055,0.0005164014118671325,12.205016321219532,0.35874439461883406,9.596412556053812
long,0.9,bucket_mean_mfe,1.0x_tp,1144,0.015094598837868208,1.3194579403730951e-05,1.5209097674172778,0.5096153846153846,37.76136363636363
long,0.92,bucket_mean_mfe,1.0x_tp,966,-0.26359250476578777,-0.0002728700877492627,-23.171345101530928,0.4824016563146998,36.033126293995856
