trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
0,0.004450959756458035,0.8086166344657351,0.9757071488588757,0.21959818254342153,156,31,7,0.42032926425886985
1,0.0006507912425071034,0.9511910822747311,0.8743233534055306,0.21242177333881365,34,117,26,0.4743186887373967
2,-0.000815603118479572,0.7527292404900592,0.7531873078574958,0.09127267288786131,140,60,11,0.6141485131528328
3,0.00019218320370955897,0.740453219589092,0.7847219480752132,0.1099085529881075,126,98,8,0.5799820534447641
4,-0.00233739425643276,0.8718002249699923,0.7134706196887993,0.1822634555704315,65,21,29,0.7379712115760958
5,-0.001103953109946448,0.9344352309537737,0.7883379930602774,0.029301634201915158,174,61,6,0.5733119185389446
6,0.003398352299590542,0.7099726711234133,0.9637029166028468,0.07763399448000508,169,48,17,0.5913485977701479
7,0.003258098178197628,0.7536077921024028,0.981179542051722,0.23253984700833435,228,109,19,0.7226559822580909
8,-0.0005532521920825619,0.7256628255950566,0.7568350301015521,0.01356818667316142,98,56,10,0.6900581282031752
9,-0.0008178739628343369,0.8034584647411409,0.7814710078093404,0.16280882494747453,59,100,5,0.7454104278101811
10,0.003017862188933792,0.8489623735480405,0.894592077585257,0.29086113323635965,226,17,20,0.4054581798804597
11,0.0041795563622915935,0.8138113387097634,0.9846847004303143,0.2946199056220996,181,41,15,0.49952784251351556
12,0.002829870928428971,0.8196790557069306,0.9279616835502484,0.29849042681325766,191,37,14,0.47363964791117363
13,0.005432339713286325,0.8999656143249861,0.9891487658660496,0.2467588057642455,143,35,3,0.41045594333821017
14,0.003560252522155621,0.8887945829197624,0.9351602381972559,0.2429898383089628,125,77,3,0.4106647058244758
15,-0.0014322712164732256,0.9889930773983237,0.8583545600768989,0.16331032799340192,93,30,3,0.4355555682140676
16,0.0027750224705174954,0.9115370066905802,0.9382277438605134,0.24614167595600756,148,76,9,0.5120252518402824
17,0.0028470550720650465,0.78338660395642,0.9079048265679944,0.20623903200348342,204,29,12,0.44654589519567667
18,0.0004729005694323001,0.8494799135540472,0.8341623250969942,0.14334772201167206,153,15,7,0.5329605285506339
19,0.0009837697345993917,0.9808111751322832,0.9556138090924483,0.2606751496884804,116,46,3,0.45045121876694466
20,0.0060277494354347575,0.9050621926414284,0.989532322704541,0.2009021867389636,204,73,6,0.40231337414145435
21,0.006050742870617092,0.897724586410225,0.9885708816471775,0.20561664003265623,212,78,6,0.40386872557313197
22,0.005308576616558369,0.9097373514474189,0.9874279795431566,0.1932850703749879,206,82,6,0.4054602051393688
23,0.002317805584884441,0.9502327781726464,0.9550461472832465,0.2565316805533636,240,88,5,0.4690593781323129
24,0.003345820191246311,0.8804659031143891,0.9496917722177621,0.13460398829770667,207,70,9,0.44110255395276526
25,0.0028560207046815344,0.9115878919195743,0.9230020786888233,0.27209424499600365,194,67,12,0.43211895383456955
26,0.004175256532382893,0.8549906447374359,0.9882547848107389,0.17489929440055083,226,87,4,0.47136657093262563
27,0.0026100976303027614,0.939170988240304,0.9640017265401678,0.2218731154741514,167,96,8,0.5093370003560262
28,0.003581527479743025,0.8941122967298876,0.9062731893897393,0.19125151765750303,217,52,5,0.40361256678193846
29,0.002179091039669903,0.9683142119402611,0.9666849600182048,0.22395993287501575,190,70,7,0.4270943776982056
30,0.0026612827414751643,0.8623689837917536,0.9436659908556586,0.2711570123770286,238,106,14,0.5356310192105189
31,0.005840195372958002,0.9069677254313679,0.986627793015847,0.20001970515947845,202,84,6,0.4019035588426965
32,0.004977058976908642,0.924180057081057,0.9698535189423971,0.20681374331093375,214,88,6,0.40040370067985753
33,0.0043580553950293465,0.8985300606222929,0.9730566174448477,0.1455935873191304,183,79,10,0.453537575688834
34,0.004629437261333945,0.8388878740269885,0.987683622557089,0.2078933421312386,165,118,8,0.42618717199733336
35,0.0029876697996166737,0.8756455521084392,0.9197980953853797,0.2376245323913144,136,60,4,0.4221677457166226
36,0.002823220528720005,0.9218462067941022,0.9487760209066517,0.11299988979423661,199,92,11,0.4913655252631174
37,0.002240425854986257,0.9629452005736313,0.9677540248310553,0.19156590485032465,216,67,26,0.45976722910003565
38,0.002437278454889275,0.9315439148208353,0.9762859815298134,0.17185017263476426,98,24,7,0.6549518744652688
39,-0.0003275311045903739,0.9004419233055516,0.7046966497947825,0.22535722117194687,32,108,4,0.4213634703163573
