direction,bucket_id,score_raw_lower,score_raw_upper,score_pct_upper,bucket_mean_mfe,bucket_hit_rate
long,1,0.002165521658819725,0.003259278126490884,0.1,0.0023123288322996465,0.9225808913308914
long,2,0.003259281893428088,0.0035642173066209428,0.2,0.002563977146281967,0.9302503052503053
long,3,0.0035642187713021394,0.0037992051691831436,0.3,0.0028050443825112736,0.9222756410256411
long,4,0.0037992087766470332,0.004028779878042032,0.4,0.0030603752450354756,0.9256715506715507
long,5,0.004028780281216838,0.00429211786237929,0.5,0.0033936228020625217,0.9279227716727717
long,6,0.0042921182689730705,0.004683651687871896,0.6,0.0039509730881177665,0.9216651404151404
long,7,0.004683652204694083,0.005245107827973868,0.7,0.004485748338522058,0.9224664224664225
long,8,0.005245108091541342,0.006059108263693301,0.8,0.00518820635136079,0.9211309523809523
long,9,0.0060591088996882125,0.00745512988339865,0.9,0.006184961507188287,0.9238400488400489
long,10,0.007455133607977491,0.02691780836287147,1.0,0.008212336230571462,0.9139957264957265
short,1,-0.027100618214544788,-0.007391215934643534,0.1,-0.009163954338557923,0.07520604395604395
short,2,-0.00739121396279936,-0.006033071028499901,0.2,-0.00605054831674256,0.07432844932844933
short,3,-0.006033070041649454,-0.005242888010646424,0.3,-0.005144933104895174,0.06684981684981685
short,4,-0.005242886671118876,-0.004673924062368942,0.4,-0.004756504803970142,0.062003968253968256
short,5,-0.004673921941240153,-0.004230369876666287,0.5,-0.004207477876597132,0.06234737484737485
short,6,-0.004230366933978948,-0.003872876357322201,0.6,-0.0037383694878907487,0.06021062271062271
short,7,-0.0038728740910444525,-0.003564318495220113,0.7,-0.003260627062950255,0.06066849816849817
short,8,-0.0035643101029388512,-0.003275832714328507,0.8,-0.0029579717186136814,0.05761599511599511
short,9,-0.003275830474082335,-0.0029595648245360202,0.9,-0.0027217041235521387,0.055097680097680096
short,10,-0.0029595645623033354,-0.001431518496851231,1.0,-0.0023138290162965105,0.057539682539682536
