trade_index,entry_time,bucket_mean_mfe,cumulative_mfe,fact_log_return,cumulative_fact_log_return
0,2025-12-01 00:00:00,0.006103633318063704,-0.006103633318063623,-0.006103633318063623,-0.006103633318063623
1,2025-12-01 00:05:00,0.006103633318063704,-0.01220726663612747,-0.006103633318063847,-0.01220726663612747
2,2025-12-01 00:07:00,0.006103633318063704,-0.018310899954191204,-0.006103633318063735,-0.018310899954191204
3,2025-12-01 00:19:00,0.006103633318063704,-0.024414533272254825,-0.006103633318063623,-0.024414533272254825
4,2025-12-01 00:22:00,0.006103633318063704,-0.03051816659031856,-0.006103633318063735,-0.03051816659031856
5,2025-12-01 00:33:00,0.006103633318063704,-0.036621799908382296,-0.006103633318063735,-0.036621799908382296
6,2025-12-01 00:48:00,0.006103633318063704,-0.04272543322644603,-0.006103633318063735,-0.04272543322644603
7,2025-12-01 00:54:00,0.006103633318063704,-0.036621799908382324,0.006103633318063704,-0.036621799908382324
8,2025-12-01 01:04:00,0.006103633318063704,-0.03051816659031862,0.006103633318063704,-0.03051816659031862
9,2025-12-01 01:10:00,0.006103633318063704,-0.032233299153901586,-0.001715132563582967,-0.032233299153901586
10,2025-12-01 12:52:00,0.006103633318063704,-0.02612966583583788,0.006103633318063704,-0.02612966583583788
11,2025-12-01 13:04:00,0.006103633318063704,-0.032233299153901614,-0.006103633318063735,-0.032233299153901614
12,2025-12-01 13:34:00,0.006103633318063704,-0.038336932471965346,-0.006103633318063735,-0.038336932471965346
13,2025-12-01 14:33:00,0.006103633318063704,-0.03223329915390164,0.006103633318063704,-0.03223329915390164
14,2025-12-01 14:38:00,0.006103633318063704,-0.038336932471965374,-0.006103633318063735,-0.038336932471965374
15,2025-12-01 14:46:00,0.006103633318063704,-0.044440565790029106,-0.006103633318063735,-0.044440565790029106
16,2025-12-01 15:15:00,0.006103633318063704,-0.05054419910809284,-0.006103633318063735,-0.05054419910809284
17,2025-12-01 15:34:00,0.006103633318063704,-0.044440565790029134,0.006103633318063704,-0.044440565790029134
18,2025-12-01 15:37:00,0.006103633318063704,-0.03833693247196543,0.006103633318063704,-0.03833693247196543
19,2025-12-01 15:51:00,0.006103633318063704,-0.04444056579002916,-0.006103633318063735,-0.04444056579002916
20,2025-12-01 16:07:00,0.006103633318063704,-0.050544199108092894,-0.006103633318063735,-0.050544199108092894
21,2025-12-01 16:37:00,0.006103633318063704,-0.056647832426156626,-0.006103633318063735,-0.056647832426156626
22,2025-12-01 16:51:00,0.006103633318063704,-0.05054419910809292,0.006103633318063704,-0.05054419910809292
23,2025-12-01 17:35:00,0.006103633318063704,-0.04444056579002922,0.006103633318063704,-0.04444056579002922
24,2025-12-01 18:15:00,0.006103633318063704,-0.05054419910809295,-0.006103633318063735,-0.05054419910809295
25,2025-12-01 20:07:00,0.006103633318063704,-0.0515062772709724,-0.00096207816287945,-0.0515062772709724
26,2025-12-01 21:22:00,0.006103633318063704,-0.045402643952908696,0.006103633318063704,-0.045402643952908696
27,2025-12-01 22:05:00,0.006103633318063704,-0.03929901063484499,0.006103633318063704,-0.03929901063484499
28,2025-12-02 01:07:00,0.006103633318063704,-0.045402643952908724,-0.006103633318063735,-0.045402643952908724
29,2025-12-02 01:16:00,0.006103633318063704,-0.04163586558404235,0.0037667783688663725,-0.04163586558404235
30,2025-12-02 10:53:00,0.006103633318063704,-0.04163586558404235,0.0,-0.04163586558404235
31,2025-12-02 13:17:00,0.006103633318063704,-0.035532232265978646,0.006103633318063704,-0.035532232265978646
32,2025-12-02 13:28:00,0.006103633318063704,-0.02942859894791494,0.006103633318063704,-0.02942859894791494
33,2025-12-02 14:32:00,0.006103633318063704,-0.023324965629851237,0.006103633318063704,-0.023324965629851237
34,2025-12-02 14:39:00,0.006103633318063704,-0.017221332311787532,0.006103633318063704,-0.017221332311787532
35,2025-12-02 14:46:00,0.006103633318063704,-0.011117698993723828,0.006103633318063704,-0.011117698993723828
36,2025-12-02 14:50:00,0.006103633318063704,-0.017221332311787563,-0.006103633318063735,-0.017221332311787563
37,2025-12-02 14:55:00,0.006103633318063704,-0.011117698993723859,0.006103633318063704,-0.011117698993723859
38,2025-12-02 15:04:00,0.006103633318063704,-0.005014065675660155,0.006103633318063704,-0.005014065675660155
39,2025-12-02 15:09:00,0.006103633318063704,0.0010895676424035484,0.006103633318063704,0.0010895676424035484
