trial_no,param_hash,params,feature_k,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,p_feature_k
91,1365c040e1988cf7,"{'num_leaves': 14, 'max_depth': -1, 'min_child_samples': 350, 'min_child_weight': 0.002648580230302876, 'min_split_gain': 0.00031837193392885127, 'reg_alpha': 0.065595138374229, 'reg_lambda': 2.4961284141133304, 'subsample': 0.7897466086200647, 'colsample_bytree': 0.5627668362737573, 'learning_rate': 0.00776164426995226, 'max_bin': 127, 'path_smooth': 0.8590100363808839, 'extra_trees': True, 'feature_k': 135}",135,-1.218880709222982,0.0,0.0,0.1604923650278835,0.0291894175364366,0.6666666666666666,0.0085430379507987,0.0135954392063561,0.0049879633259282,2.5,276,14,-1,350,0.0026485802303028,0.0003183719339288,0.065595138374229,2.4961284141133304,0.7897466086200647,0.5627668362737573,0.0077616442699522,127,0.8590100363808839,True,135
92,9dc6917bfde563fa,"{'num_leaves': 14, 'max_depth': -1, 'min_child_samples': 336, 'min_child_weight': 0.0020796428543956753, 'min_split_gain': 0.0003494803353383171, 'reg_alpha': 0.06190715840774956, 'reg_lambda': 3.4196025649206097, 'subsample': 0.8363172709178847, 'colsample_bytree': 0.6010646185547555, 'learning_rate': 0.006371567245835423, 'max_bin': 127, 'path_smooth': 0.24696921345807538, 'extra_trees': True, 'feature_k': 135}",135,-1.2287672346002567,0.0,0.0,0.1495451397865586,0.0252935891464317,0.5555555555555556,0.0085410886153393,0.0135938995314614,0.0049851206317444,3.5,366,14,-1,336,0.0020796428543956,0.0003494803353383,0.0619071584077495,3.4196025649206097,0.8363172709178847,0.6010646185547555,0.0063715672458354,127,0.2469692134580753,True,135
93,360d7b6d4501c045,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 283, 'min_child_weight': 0.002029833589341097, 'min_split_gain': 0.0003835921596993217, 'reg_alpha': 0.08391286748232551, 'reg_lambda': 3.091336127651076, 'subsample': 0.8709463498849219, 'colsample_bytree': 0.4385714864776525, 'learning_rate': 0.005984770659332814, 'max_bin': 127, 'path_smooth': 0.3751304173208656, 'extra_trees': True, 'feature_k': 136}",136,-1.150761092882715,0.0,0.0,0.1329523650099655,0.0071625439681667,0.4444444444444444,0.0085525995900182,0.0136068601369386,0.0050009289816692,2.1,539,4,2,283,0.002029833589341,0.0003835921596993,0.0839128674823255,3.091336127651076,0.8709463498849219,0.4385714864776525,0.0059847706593328,127,0.3751304173208656,True,136
94,ea2cdc58b7f2cb99,"{'num_leaves': 40, 'max_depth': -1, 'min_child_samples': 453, 'min_child_weight': 0.001996801265606468, 'min_split_gain': 0.0003371474014662521, 'reg_alpha': 0.003429539136608758, 'reg_lambda': 4.744398648338642, 'subsample': 0.663886082833633, 'colsample_bytree': 0.366499068226565, 'learning_rate': 0.011862896530751604, 'max_bin': 127, 'path_smooth': 0.9579815722116021, 'extra_trees': True, 'feature_k': 93}",93,-1.1801326285955769,0.0,0.0,0.1315981322059889,0.0239395301100806,0.5555555555555556,0.008534018623928,0.0135864036511323,0.0049754654277374,1.3,176,40,-1,453,0.0019968012656064,0.0003371474014662,0.0034295391366087,4.744398648338642,0.663886082833633,0.366499068226565,0.0118628965307516,127,0.957981572211602,True,93
95,628fdc1c707b960a,"{'num_leaves': 24, 'max_depth': -1, 'min_child_samples': 301, 'min_child_weight': 0.007405433480975552, 'min_split_gain': 0.0, 'reg_alpha': 0.18089530804052717, 'reg_lambda': 11.486824089209643, 'subsample': 0.8601728880689972, 'colsample_bytree': 0.6078514719599653, 'learning_rate': 0.00605840110731004, 'max_bin': 127, 'path_smooth': 0.7594294310408967, 'extra_trees': True, 'feature_k': 95}",95,-1.2142397738870505,0.0,0.0,0.1666025463423113,0.0197645027147949,0.4444444444444444,0.0085435612921112,0.0135920837356922,0.0049903394502604,2.0,234,24,-1,301,0.0074054334809755,0.0,0.1808953080405271,11.486824089209644,0.8601728880689972,0.6078514719599653,0.00605840110731,127,0.7594294310408967,True,95
96,2ad525071cda2a98,"{'num_leaves': 10, 'max_depth': -1, 'min_child_samples': 1410, 'min_child_weight': 0.0056140645361543035, 'min_split_gain': 0.0, 'reg_alpha': 0.0945130020096224, 'reg_lambda': 8.096600953831386, 'subsample': 0.8584034805115698, 'colsample_bytree': 0.6727182014072571, 'learning_rate': 0.006101099501477972, 'max_bin': 127, 'path_smooth': 0.7148786660815334, 'extra_trees': True, 'feature_k': 89}",89,-1.164092453368906,0.0,0.0,0.1000118285851918,0.0079050612109708,0.4444444444444444,0.0085465048471668,0.01359773509093,0.0049925038828156,2.2,319,10,-1,1410,0.0056140645361543,0.0,0.0945130020096224,8.096600953831386,0.8584034805115698,0.6727182014072571,0.0061010995014779,127,0.7148786660815334,True,89
97,a1038e9c33ef780c,"{'num_leaves': 17, 'max_depth': -1, 'min_child_samples': 353, 'min_child_weight': 0.015932032334986, 'min_split_gain': 0.00029697467257720127, 'reg_alpha': 0.30325929775315225, 'reg_lambda': 1.407857290091596, 'subsample': 0.710262904491479, 'colsample_bytree': 0.47575401771417936, 'learning_rate': 0.006691872997909723, 'max_bin': 63, 'path_smooth': 1.1047183067877577, 'extra_trees': True, 'feature_k': 86}",86,-1.2126069181773589,0.0,0.0,0.0885556933083571,0.0064624705072674,0.4444444444444444,0.0085472638233829,0.0135949325120835,0.0049957330931047,1.3,210,17,-1,353,0.015932032334986,0.0002969746725772,0.3032592977531522,1.407857290091596,0.710262904491479,0.4757540177141793,0.0066918729979097,63,1.1047183067877575,True,86
98,906e43a857634b3d,"{'num_leaves': 32, 'max_depth': -1, 'min_child_samples': 212, 'min_child_weight': 0.024442441674514693, 'min_split_gain': 0.0004427835747267892, 'reg_alpha': 0.02594711151587349, 'reg_lambda': 1.5819406271464704, 'subsample': 0.5703883985076962, 'colsample_bytree': 0.47582653092463856, 'learning_rate': 0.006395678982541513, 'max_bin': 63, 'path_smooth': 0.7095222656529336, 'extra_trees': True, 'feature_k': 87}",87,-1.2533662463213011,0.0,0.0,0.1231078549661321,0.0229105517109301,0.5555555555555556,0.0085406343113174,0.0135853398812387,0.0049880810190659,1.5,178,32,-1,212,0.0244424416745146,0.0004427835747267,0.0259471115158734,1.5819406271464704,0.5703883985076962,0.4758265309246385,0.0063956789825415,63,0.7095222656529336,True,87
99,41260fd17fd7771f,"{'num_leaves': 19, 'max_depth': -1, 'min_child_samples': 341, 'min_child_weight': 0.01533569088919334, 'min_split_gain': 0.0005610368448079277, 'reg_alpha': 0.02220494350703049, 'reg_lambda': 6.1610656459541255, 'subsample': 0.50389560085075, 'colsample_bytree': 0.5112243500146697, 'learning_rate': 0.0055301995206061, 'max_bin': 63, 'path_smooth': 0.22786996556374142, 'extra_trees': True, 'feature_k': 81}",81,-1.20208878056349,0.0,0.0,0.1138672746862303,0.0159848636746138,0.5555555555555556,0.0085367593488155,0.0135872887383082,0.0049789767062071,2.2,383,19,-1,341,0.0153356908891933,0.0005610368448079,0.0222049435070304,6.1610656459541255,0.50389560085075,0.5112243500146697,0.0055301995206061,63,0.2278699655637414,True,81
100,2cba60e7dd521173,"{'num_leaves': 12, 'max_depth': -1, 'min_child_samples': 433, 'min_child_weight': 0.07795240037044339, 'min_split_gain': 0.00043624718646646137, 'reg_alpha': 0.026226940521803216, 'reg_lambda': 1.0521777820537355, 'subsample': 0.603281142132903, 'colsample_bytree': 0.36709422374702305, 'learning_rate': 0.007918708650052994, 'max_bin': 63, 'path_smooth': 1.317481922018328, 'extra_trees': False, 'feature_k': 81}",81,-1.17134350574755,0.0,0.0,0.2139486489062538,0.0192319346701254,0.5555555555555556,0.0085452143059111,0.0135918309858398,0.0049931957350473,1.1,174,12,-1,433,0.0779524003704433,0.0004362471864664,0.0262269405218032,1.0521777820537357,0.603281142132903,0.367094223747023,0.0079187086500529,63,1.317481922018328,False,81
