fold,num_leaves,n_estimators,max_depth,min_child_samples,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,7,350,6,500,0.8021325521797873,0.44293921965108424,0.09996264247891908,0.33188193198902793,0.6888658728288204,0.24378967919338326,0.09357368825788194,0.32610536309058746
1,15,350,6,500,0.8369761750881882,0.5020538012306328,0.09510303587433654,0.31464724700061353,0.684526216325498,0.23644197238113102,0.09383502527732446,0.3272730141675049
1,31,350,6,500,0.8405207889053861,0.5049246994707985,0.09481283875352611,0.3131703589547197,0.6833158910999202,0.23417281282982577,0.09398153581440166,0.32804438812705145
1,63,350,6,500,0.8405207889053861,0.5049246994707985,0.09481283875352611,0.3131703589547197,0.6833158910999202,0.23417281282982577,0.09398153581440166,0.32804438812705145
2,7,350,6,500,0.7922317964076064,0.4176008186914523,0.0981601945373653,0.3281211840272628,0.6946469279078777,0.2520729229595937,0.09750092098834041,0.3396371354068496
2,15,350,6,500,0.8269231597802142,0.4688720578678082,0.09390750167177732,0.3125318700028311,0.6845998141739779,0.25235450250445096,0.09825780961025556,0.3431941193713641
2,31,350,6,500,0.837348596854811,0.48190535428901177,0.09275555839944041,0.3080716273544206,0.6867368664305238,0.25317409127746215,0.09790871561735524,0.3411417298924228
2,63,350,6,500,0.837348596854811,0.48190535428901177,0.09275555839944041,0.3080716273544206,0.6867368664305238,0.25317409127746215,0.09790871561735524,0.3411417298924228
3,7,350,6,500,0.7832513362204389,0.3967593416041439,0.09739537322939562,0.3270063423147234,0.6261400411885849,0.08153952364911166,0.04411828043684022,0.18431344881832867
3,15,350,6,500,0.8191325600685904,0.44995962776103743,0.09327627745847897,0.31184668467991833,0.6219464058056291,0.08278116947550412,0.043968630401805875,0.1843151420516539
3,31,350,6,500,0.8328451546730892,0.46699825043063375,0.09188348664100844,0.3062932734599172,0.6236883397077571,0.08123845515328965,0.04396493988271041,0.1844149554624153
3,63,350,6,500,0.8328451546730892,0.46699825043063375,0.09188348664100844,0.3062932734599172,0.6236883397077571,0.08123845515328965,0.04396493988271041,0.1844149554624153
4,7,350,6,500,0.7860366405116652,0.38151843009069036,0.08980816584331273,0.3062098468757847,0.7827810163724618,0.2244541220879352,0.05005297238956895,0.19218131536551605
4,15,350,6,500,0.820127764446297,0.43181945491609813,0.0862517678006986,0.29240530787075686,0.7752386024878651,0.21319464178628478,0.050358580031363655,0.1934194961310955
4,31,350,6,500,0.8348082567609072,0.4511605287138597,0.08490440848406777,0.2868032677314537,0.7710879336985531,0.20680756187873328,0.05051500741505098,0.1944219960208884
4,63,350,6,500,0.834992865312147,0.45126148558186613,0.08485760549725654,0.2865976271663634,0.7681146696633422,0.20522674216979117,0.050576883483913725,0.19486891197652798
5,7,350,6,500,0.7913955654443006,0.37149818696250086,0.08483485807337318,0.2913853975251607,0.7619710129482603,0.2685984848022968,0.09304496773882816,0.315672338607903
5,15,350,6,500,0.8230044889679335,0.42135427167468187,0.08162375378346333,0.27870880213459387,0.7582080247242501,0.26405363216433747,0.09325557028609681,0.31679029714692775
5,31,350,6,500,0.8408051325187663,0.4462358583093819,0.08004920592854155,0.27192723649077793,0.7559519369105344,0.26016952007428495,0.0932490294242146,0.31651245075877127
5,63,350,6,500,0.8406390348027281,0.4441542207969943,0.0801310997821049,0.2720994180453436,0.7552810784888366,0.257423955851189,0.09351303674793413,0.31737072958126417
6,7,350,6,500,0.7891941909471023,0.3646301707335513,0.0854659607196097,0.2929225872791654,0.6902890084399245,0.1850918465314421,0.06301818131460646,0.23981999032194298
6,15,350,6,500,0.8178612277647987,0.40988539482609154,0.0824719580323956,0.2811706730083532,0.6899654670790523,0.17410290888396016,0.06302947147475112,0.2397703997357656
6,31,350,6,500,0.8372302440265532,0.43565981657249686,0.08069664892623951,0.27360685230579185,0.6889358683686307,0.17198692514118638,0.06312359153412712,0.2400718152282483
6,63,350,6,500,0.8360829093538455,0.4338355676986451,0.08082188410979663,0.27406769826032884,0.6905306405955126,0.17654580049591537,0.06302127311670146,0.2397075895666059
7,7,350,6,500,0.7863261295431176,0.352860584596623,0.0832101654384351,0.2870981109335835,0.711632250495122,0.26589491246192215,0.10251010853923262,0.3506818428256632
7,15,350,6,500,0.8152654803462821,0.39560062018315684,0.08049228261520285,0.27594898228509096,0.7057709163070726,0.2705245933657654,0.1023658382462217,0.3510192389705247
7,31,350,6,500,0.8354589522836657,0.4220858976070971,0.07875069682874394,0.26841646297075494,0.7045719395921501,0.26071940429256335,0.10250132710838276,0.35083793844799716
7,63,350,6,500,0.8355124132737004,0.42187567875984755,0.07873836139337484,0.26841175185129196,0.7051847828882677,0.2612411277585467,0.10225425908673055,0.3501671573211697
