trial_no,param_hash,params,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
25,9a4af2e184527e06,"{'num_leaves': 9, 'max_depth': -1, 'min_child_samples': 5157, 'min_child_weight': 0.041348902421300814, 'min_split_gain': 0.0002669983365822348, 'reg_alpha': 0.0030273205743443833, 'reg_lambda': 1.5199616407617664, 'subsample': 0.4669200361737641, 'colsample_bytree': 0.499994708457546, 'learning_rate': 0.02465464364558294, 'max_bin': 63, 'path_smooth': 0.29053074907067306, 'extra_trees': False}",-1.953193667012801,1.953193667012801,2.21341093108475,0.2602172640719489,0.2635065192238541,0.8571428571428571,0.0106632690905916,0.0161458358133415,0.00908353795966,1.0,336,9,-1,5157,0.0413489024213008,0.0002669983365822,0.0030273205743443,1.5199616407617664,0.4669200361737641,0.499994708457546,0.0246546436455829,63,0.290530749070673,False
26,b228690830164f8f,"{'num_leaves': 6, 'max_depth': 5, 'min_child_samples': 4554, 'min_child_weight': 0.012391313517982231, 'min_split_gain': 0.00023302425045460044, 'reg_alpha': 0.00675651688817667, 'reg_lambda': 1.3955373303715732, 'subsample': 0.5376850774487673, 'colsample_bytree': 0.5896604966695648, 'learning_rate': 0.027784167228092453, 'max_bin': 63, 'path_smooth': 0.1891939070042979, 'extra_trees': False}",-1.938692198401226,1.938692198401226,2.4694148260141486,0.5307226276129227,0.2764130825885084,1.0,0.0105158385645316,0.0162859530636108,0.0088651015317159,0.8,283,6,5,4554,0.0123913135179822,0.0002330242504546,0.0067565168881766,1.3955373303715732,0.5376850774487673,0.5896604966695648,0.0277841672280924,63,0.1891939070042979,False
27,d498d4a0779e887d,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 2520, 'min_child_weight': 0.0011105029662943054, 'min_split_gain': 0.0018176056942329059, 'reg_alpha': 0.4586711483988312, 'reg_lambda': 3.250320223484198, 'subsample': 0.6878651758753954, 'colsample_bytree': 0.8679623893786503, 'learning_rate': 0.032403940652644465, 'max_bin': 63, 'path_smooth': 0.029910285639248434, 'extra_trees': True}",-1.9372809642716635,1.9372809642716635,2.604093686687248,0.666812722415584,0.2912691529793811,1.0,0.0101137473582476,0.0161044353833842,0.0085269256886879,1.4,585,3,4,2520,0.0011105029662943,0.0018176056942329,0.4586711483988312,3.250320223484198,0.6878651758753954,0.8679623893786503,0.0324039406526444,63,0.0299102856392484,True
28,6590801b8fa8894d,"{'num_leaves': 31, 'max_depth': 8, 'min_child_samples': 7537, 'min_child_weight': 0.03946066149258377, 'min_split_gain': 0.0001314521842572682, 'reg_alpha': 0.009150740566997136, 'reg_lambda': 1.2953544882054226, 'subsample': 0.5841897322593446, 'colsample_bytree': 0.42291541209779066, 'learning_rate': 0.023429707335330188, 'max_bin': 63, 'path_smooth': 0.9049470798641607, 'extra_trees': True}",-1.9244131530483908,1.9244131530483908,2.0297063565089424,0.1052932034605516,0.2620551374297992,1.0,0.0112283715941017,0.0161801701153215,0.0096371151312786,1.1,610,31,8,7537,0.0394606614925837,0.0001314521842572,0.0091507405669971,1.2953544882054226,0.5841897322593446,0.4229154120977906,0.0234297073353301,63,0.9049470798641608,True
29,f641f104f4377987,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 3610, 'min_child_weight': 0.06291430885078583, 'min_split_gain': 0.0, 'reg_alpha': 0.005835376893153599, 'reg_lambda': 5.771953200566753, 'subsample': 0.5478913886375346, 'colsample_bytree': 0.38760962527068143, 'learning_rate': 0.03811842245641828, 'max_bin': 127, 'path_smooth': 2.0853357242428503, 'extra_trees': False}",-1.909923774456978,1.909923774456978,2.547922232126304,0.6379984576693261,0.2822352772419567,1.0,0.0104051114239996,0.0161845914819631,0.0087653708087768,0.8,202,8,-1,3610,0.0629143088507858,0.0,0.0058353768931535,5.771953200566753,0.5478913886375346,0.3876096252706814,0.0381184224564182,127,2.0853357242428503,False
30,06aee5ab372ec68a,"{'num_leaves': 14, 'max_depth': -1, 'min_child_samples': 3936, 'min_child_weight': 0.024474892435734363, 'min_split_gain': 0.0019327136204506886, 'reg_alpha': 0.01279641358711191, 'reg_lambda': 20.68660593848064, 'subsample': 0.575676927739941, 'colsample_bytree': 0.641866720773935, 'learning_rate': 0.01844796634296827, 'max_bin': 63, 'path_smooth': 0.0396920387648384, 'extra_trees': True}",-1.8999638208172749,1.8999638208172749,2.532709529205406,0.6327457083881312,0.2858233774854414,0.8888888888888888,0.0104909003519669,0.0161849944651032,0.0088630511498017,1.5,733,14,-1,3936,0.0244748924357343,0.0019327136204506,0.0127964135871119,20.68660593848064,0.575676927739941,0.641866720773935,0.0184479663429682,63,0.0396920387648384,True
31,768c921172125f40,"{'num_leaves': 5, 'max_depth': -1, 'min_child_samples': 3680, 'min_child_weight': 0.026341935562218248, 'min_split_gain': 8.715134193862677e-05, 'reg_alpha': 0.0420408967536553, 'reg_lambda': 2.3280492461778914, 'subsample': 0.46195681050899623, 'colsample_bytree': 0.7149103660826711, 'learning_rate': 0.018046789225514528, 'max_bin': 127, 'path_smooth': 1.3478399348291195, 'extra_trees': True}",-1.910127029178393,1.910127029178393,2.5375469795151826,0.6274199503367897,0.2833415357880721,1.0,0.0105494611844618,0.0161197979433898,0.0089386451500528,1.3,610,5,-1,3680,0.0263419355622182,8.715134193862677e-05,0.0420408967536553,2.3280492461778914,0.4619568105089962,0.7149103660826711,0.0180467892255145,127,1.3478399348291197,True
32,d554a45aba251045,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 1330, 'min_child_weight': 0.0013299916419584306, 'min_split_gain': 0.0, 'reg_alpha': 2.0724531113221483, 'reg_lambda': 4.427021691561639, 'subsample': 0.6457589134257852, 'colsample_bytree': 0.7570288848932327, 'learning_rate': 0.027234554974761686, 'max_bin': 127, 'path_smooth': 0.27598747593843914, 'extra_trees': True}",-1.912690505980177,1.912690505980177,2.604141433846173,0.6914509278659959,0.2937497254732939,1.0,0.0100472196037204,0.0161633751327687,0.0084858903666221,1.0,397,4,2,1330,0.0013299916419584,0.0,2.0724531113221483,4.427021691561639,0.6457589134257852,0.7570288848932327,0.0272345549747616,127,0.2759874759384391,True
33,7cdb520261e07dce,"{'num_leaves': 12, 'max_depth': -1, 'min_child_samples': 5759, 'min_child_weight': 0.07878152834156674, 'min_split_gain': 1.1442984385034705e-05, 'reg_alpha': 0.008414461050849227, 'reg_lambda': 1.13598406248452, 'subsample': 0.5110885171898965, 'colsample_bytree': 0.562086385946657, 'learning_rate': 0.012526170530383306, 'max_bin': 63, 'path_smooth': 0.5022572918889912, 'extra_trees': True}",-1.9224046359818665,1.9224046359818665,2.153204673824564,0.2308000378426973,0.265637634983764,0.8571428571428571,0.0109439105815787,0.0161540937948561,0.0093890334297204,1.6,984,12,-1,5759,0.0787815283415667,1.1442984385034705e-05,0.0084144610508492,1.13598406248452,0.5110885171898965,0.562086385946657,0.0125261705303833,63,0.5022572918889912,True
34,978bbd688a8b94e0,"{'num_leaves': 10, 'max_depth': 8, 'min_child_samples': 7005, 'min_child_weight': 0.031207530169033656, 'min_split_gain': 0.0004790189679360129, 'reg_alpha': 0.006584024601106599, 'reg_lambda': 1.9375950542532931, 'subsample': 0.45999993541796813, 'colsample_bytree': 0.36472117185508424, 'learning_rate': 0.02489204750211726, 'max_bin': 127, 'path_smooth': 0.06092842317008738, 'extra_trees': False}",-1.9225859539316568,1.9225859539316568,1.888784438241764,-0.0338015156898936,0.2298465281532801,1.0,0.0111482321132071,0.0162061803271976,0.0095723179368202,1.6,985,10,8,7005,0.0312075301690336,0.000479018967936,0.0065840246011065,1.9375950542532927,0.4599999354179681,0.3647211718550842,0.0248920475021172,127,0.0609284231700873,False
35,c58392c289569163,"{'num_leaves': 17, 'max_depth': 5, 'min_child_samples': 4915, 'min_child_weight': 0.00014535488048976618, 'min_split_gain': 0.0063458496555558845, 'reg_alpha': 0.005456275318520869, 'reg_lambda': 3.780268226343971, 'subsample': 0.5754934905417859, 'colsample_bytree': 0.4658097205438026, 'learning_rate': 0.006488802728060619, 'max_bin': 63, 'path_smooth': 0.02014392807534944, 'extra_trees': False}",-1.932526450811288,1.932526450811288,2.470263878072405,0.5377374272611177,0.2748277747076368,0.875,0.0105254112307072,0.0162682579160872,0.0088943500725173,1.9,988,17,5,4915,0.0001453548804897,0.0063458496555558,0.0054562753185208,3.780268226343971,0.5754934905417859,0.4658097205438026,0.0064888027280606,63,0.0201439280753494,False
36,2d00fdfb7174213d,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 6980, 'min_child_weight': 0.030563294640726768, 'min_split_gain': 6.530683855029875e-05, 'reg_alpha': 0.0013862436323506715, 'reg_lambda': 2.2578280461954177, 'subsample': 0.5976600435734223, 'colsample_bytree': 0.4003962325455628, 'learning_rate': 0.03168099998994979, 'max_bin': 63, 'path_smooth': 0.18724759578447406, 'extra_trees': False}",-1.9168952659130785,1.9168952659130785,2.145663128319581,0.2287678624065026,0.2625392906503319,0.8571428571428571,0.0107544222308698,0.0161590820538098,0.0091553390649814,1.0,377,8,-1,6980,0.0305632946407267,6.530683855029875e-05,0.0013862436323506,2.2578280461954177,0.5976600435734223,0.4003962325455628,0.0316809999899497,63,0.187247595784474,False
37,022e7299f5f3b602,"{'num_leaves': 3, 'max_depth': 2, 'min_child_samples': 1544, 'min_child_weight': 0.00023087242877548606, 'min_split_gain': 0.0005485071109576289, 'reg_alpha': 0.04306205891960989, 'reg_lambda': 4.920867221986216, 'subsample': 0.5887751813190414, 'colsample_bytree': 0.8913073475913235, 'learning_rate': 0.022289150309018735, 'max_bin': 63, 'path_smooth': 0.19397068760975572, 'extra_trees': False}",-1.918911229558402,1.918911229558402,2.602727502714046,0.6838162731556445,0.2931320677785351,1.0,0.0100597528001523,0.0161358249851456,0.008506679515223,1.0,347,3,2,1544,0.0002308724287754,0.0005485071109576,0.0430620589196098,4.920867221986216,0.5887751813190414,0.8913073475913235,0.0222891503090187,63,0.1939706876097557,False
