entry_time,entry_signal_time,exit_time,exit_reason,hold_minutes,entry_price,exit_price,entry_prediction,entry_target,gross_return,net_return,equity_after
2024-01-03 12:02:00,2024-01-03 12:01:00,2024-01-03 12:02:00,take_profit,0,98.0196,99.56799601728,0.5850217053133606,1.0,0.016203199999999862,0.013767235964035951,10137.672359640359
2024-01-05 01:50:00,2024-01-05 01:49:00,2024-01-05 02:20:00,max_hold,30,100.98019199999999,101.359724,0.5217600104042027,0.0,0.004160063391442259,0.0017529682349097797,10155.44337726273
2024-01-09 12:57:00,2024-01-09 12:56:00,2024-01-09 12:57:00,take_profit,0,96.92938199999999,98.46055606157759,0.5426589102170587,1.0,0.016203199999999862,0.013767235964036173,10295.255762556915
2024-01-09 21:13:00,2024-01-09 21:12:00,2024-01-09 21:14:00,take_profit,1,101.200236,102.79887588804482,0.5071808542422065,1.0,0.016203200000000084,0.013767235964036395,10436.992977950142
2024-01-10 12:56:00,2024-01-10 12:55:00,2024-01-10 12:58:00,take_profit,2,92.0184,93.47199626112,0.5572054119225641,1.0,0.016203199999999862,0.013767235964036173,10580.68152303257
2024-01-10 21:15:00,2024-01-10 21:14:00,2024-01-10 21:45:00,max_hold,30,97.839564,97.590478,0.5044739114392099,1.0,-0.0021468002453485235,-0.004538777074169609,10532.65816830674
2024-01-11 15:43:00,2024-01-11 15:42:00,2024-01-11 16:13:00,max_hold,30,100.880172,99.120172,0.510345352426377,0.0,-0.017053341265119926,-0.01940958528201453,10328.223641342684
2024-01-12 16:54:00,2024-01-12 16:53:00,2024-01-12 17:24:00,max_hold,30,94.308858,93.671262,0.513928979233769,0.0,-0.006363347120585505,-0.008745216368025166,10237.901090901789
2024-01-12 22:22:00,2024-01-12 22:21:00,2024-01-12 22:32:00,take_profit,10,87.927582,89.3165564273376,0.5376387881827879,1.0,0.016203200000000084,0.013767235964036173,10378.848690996698
2024-01-19 16:41:00,2024-01-19 16:40:00,2024-01-19 17:11:00,max_hold,30,88.097616,88.572282,0.5102720768986863,1.0,0.005790190735694978,0.003379187963456598,10413.920771567851
2024-01-22 19:18:00,2024-01-22 19:17:00,2024-01-22 19:48:00,max_hold,30,84.08681399999999,83.393318,0.5364087190699658,0.0,-0.007850600689901288,-0.010228904807643269,10307.397767321145
2024-01-23 09:30:00,2024-01-23 09:29:00,2024-01-23 09:37:00,take_profit,7,79.405878,80.66023677359041,0.5839790866572852,1.0,0.016203200000000084,0.013767235964036173,10449.302144559035
2024-02-28 17:26:00,2024-02-28 17:25:00,2024-02-28 17:56:00,max_hold,30,112.902576,113.82723,0.5187446156224835,0.0,0.00859319631467037,0.006175474393365299,10513.831542381296
2024-02-29 01:00:00,2024-02-29 00:59:00,2024-02-29 01:30:00,max_hold,30,122.96458799999999,122.085578,0.5007503927589884,0.0,-0.00675126077761512,-0.00913220014831595,10417.817128410594
2024-03-01 01:50:00,2024-03-01 01:49:00,2024-03-01 02:20:00,max_hold,30,137.087412,132.763442,0.5279339608068128,0.0,-0.031154239019407615,-0.033476681450355206,10069.063182994738
2024-03-03 07:33:00,2024-03-03 07:32:00,2024-03-03 07:53:00,take_profit,20,125.415078,127.3962349041504,0.5063954843224471,0.0,0.016203200000000084,0.013767235964036173,10207.686351771816
2024-03-05 15:06:00,2024-03-05 15:05:00,2024-03-05 15:08:00,take_profit,2,135.797154,137.9423144823072,0.565299849026512,1.0,0.016203200000000084,0.013767235964036173,10348.21797842353
2024-03-07 11:30:00,2024-03-07 11:29:00,2024-03-07 12:00:00,max_hold,30,143.76874800000002,139.942006,0.506545424591885,0.0,-0.026227911506887525,-0.028562162950688252,10052.650490274556
2024-03-07 15:01:00,2024-03-07 15:00:00,2024-03-07 15:31:00,max_hold,30,146.67933,146.87062,0.5706501056753285,0.0,0.0017047391749063223,-0.0006964702675404943,10045.649118098105
2024-03-08 15:32:00,2024-03-08 15:31:00,2024-03-08 16:02:00,max_hold,30,148.37967,143.911212,0.579117455867345,0.0,-0.029726996966632946,-0.032052860672293515,9723.657326552959
2024-03-12 17:18:00,2024-03-12 17:17:00,2024-03-12 17:33:00,take_profit,15,143.588712,145.8569541657216,0.5019059789546824,1.0,0.016203199999999862,0.013767235964036173,9857.525211401042
2024-03-14 16:30:00,2024-03-14 16:29:00,2024-03-14 16:35:00,take_profit,5,164.43288,167.030393318784,0.519747000019741,1.0,0.016203200000000084,0.013767235964035951,9993.236087007834
2024-03-14 19:29:00,2024-03-14 19:28:00,2024-03-14 19:59:00,max_hold,30,162.212436,162.387516,0.5194620224739562,1.0,0.0014798372179058994,-0.0009208331068928377,9984.03398437392
2024-03-15 02:42:00,2024-03-15 02:41:00,2024-03-15 03:02:00,take_profit,20,178.105614,180.9191127632352,0.5118800731762307,1.0,0.016203200000000084,0.013767235964036173,10121.486536109753
2024-03-15 08:52:00,2024-03-15 08:51:00,2024-03-15 09:22:00,max_hold,30,168.553704,169.006192,0.5814178296283445,1.0,0.0030856871587940926,0.0006811674142106483,10128.380962921523
2024-03-15 13:43:00,2024-03-15 13:42:00,2024-03-15 14:13:00,max_hold,30,181.75634399999998,182.57347800000002,0.5658077686059318,0.0,0.004897644728153239,0.002488781498454218,10153.588290071339
2024-03-16 18:12:00,2024-03-16 18:11:00,2024-03-16 18:15:00,take_profit,3,184.116816,187.0252725189888,0.5980418465886232,0.0,0.016203199999999862,0.013767235964036173,10293.375135942426
2024-03-17 07:10:00,2024-03-17 07:09:00,2024-03-17 07:40:00,max_hold,30,181.026198,179.084176,0.5192655634028406,0.0,-0.010332062544892051,-0.012704418293414732,10162.603792564378
2024-03-19 01:34:00,2024-03-19 01:33:00,2024-03-19 01:40:00,take_profit,6,186.477288,189.4230324230784,0.5148325521423288,1.0,0.016203200000000084,0.013767235964036173,10302.51475698562
2024-03-19 08:56:00,2024-03-19 08:55:00,2024-03-19 09:17:00,take_profit,21,175.705134,178.48071286077118,0.5361473574029364,1.0,0.016203199999999862,0.013767235964036173,10444.351908668006
2024-03-20 16:29:00,2024-03-20 16:28:00,2024-03-20 16:47:00,take_profit,18,166.873368,169.50943321962242,0.5327421834130521,1.0,0.016203200000000084,0.013767235964036173,10588.14176588607
2024-04-10 12:40:00,2024-04-10 12:39:00,2024-04-10 12:48:00,take_profit,8,162.74254200000001,165.3133533874656,0.5744429698703664,1.0,0.016203200000000084,0.013767235964035951,10733.911211997687
2024-04-12 18:33:00,2024-04-12 18:32:00,2024-04-12 18:33:00,take_profit,0,151.0302,153.41599386336003,0.6868920982713873,1.0,0.016203200000000084,0.013767235964036395,10881.687500470276
2024-04-13 17:30:00,2024-04-13 17:29:00,2024-04-13 18:00:00,max_hold,30,140.72814,139.87202000000002,0.506450648956682,0.0,-0.005685856432124936,-0.00806934970805806,10793.879358615177
2024-04-14 17:16:00,2024-04-14 17:15:00,2024-04-14 17:37:00,take_profit,21,136.15722599999998,138.3080744676768,0.5452859543977985,1.0,0.016203199999999862,0.013767235964035951,10942.481242712569
2024-04-15 15:01:00,2024-04-15 15:00:00,2024-04-15 15:17:00,take_profit,16,143.5287,145.79599416816,0.52666505679864,1.0,0.016203200000000084,0.013767235964036173,11093.128964013033
2024-04-16 10:31:00,2024-04-16 10:30:00,2024-04-16 10:43:00,take_profit,12,130.616118,132.6794346928224,0.5024756972545724,1.0,0.016203200000000084,0.013767235964036173,11245.850688040084
2024-04-17 15:29:00,2024-04-17 15:28:00,2024-04-17 15:59:00,max_hold,30,128.82576,128.684258,0.5092183954359698,1.0,-0.0006987577639752107,-0.0030942057286942326,11211.05371241711
2024-04-19 02:20:00,2024-04-19 02:19:00,2024-04-19 02:50:00,max_hold,30,130.686132,129.46410200000003,0.5348073648190501,1.0,-0.008954538496862008,-0.011330196339926157,11084.030272677966
2024-05-23 20:04:00,2024-05-23 20:03:00,2024-05-23 20:06:00,take_profit,2,168.33366,170.99279316028802,0.5616508963269697,1.0,0.016203200000000084,0.013767235964036173,11236.626732874443
2024-06-07 18:05:00,2024-06-07 18:04:00,2024-06-07 18:07:00,take_profit,2,158.291652,160.7921535683136,0.5536640483218037,1.0,0.016203200000000084,0.013767235964036173,11391.324024545722
2024-06-18 01:43:00,2024-06-18 01:42:00,2024-06-18 02:13:00,max_hold,30,134.146824,132.843426,0.5288692321503601,0.0,-0.00932001192961529,-0.011694793687917926,11258.104840246437
2024-06-27 13:05:00,2024-06-27 13:04:00,2024-06-27 13:07:00,take_profit,2,146.799354,149.11831403526722,0.5149263222417412,1.0,0.016203199999999862,0.013767235964036173,11413.097826089966
2024-07-04 02:01:00,2024-07-04 02:00:00,2024-07-04 02:01:00,take_profit,0,132.62652,134.721594611136,0.5322450982294286,1.0,0.016203200000000084,0.013767235964036173,11570.224636942376
2024-07-05 00:37:00,2024-07-05 00:36:00,2024-07-05 00:50:00,take_profit,13,125.72514,127.711194891552,0.5256397075487209,1.0,0.016203199999999862,0.013767235964036173,11729.514649676066
2024-07-05 03:00:00,2024-07-05 02:59:00,2024-07-05 03:30:00,max_hold,30,122.92458,123.54528599999999,0.5325928278570443,0.0,0.005451586655817575,0.0030413955591979125,11765.188743443137
2024-07-08 14:32:00,2024-07-08 14:31:00,2024-07-08 14:41:00,take_profit,9,135.517098,137.6578344936864,0.5866941144958233,1.0,0.016203199999999862,0.013767235964036173,11927.16287303554
2024-08-02 15:23:00,2024-08-02 15:22:00,2024-08-02 15:25:00,take_profit,2,153.190632,155.61055377557759,0.5312659740556288,1.0,0.016203199999999862,0.013767235964035951,12091.36693869011
2024-08-05 00:39:00,2024-08-05 00:38:00,2024-08-05 01:09:00,max_hold,30,134.866968,126.504694,0.5843175123830865,0.0,-0.06162859685553246,-0.06387798850322368,11318.994740392203
2024-08-06 00:23:00,2024-08-06 00:22:00,2024-08-06 00:29:00,take_profit,6,136.047204,138.1963144721472,0.5085375220814522,1.0,0.016203199999999862,0.013767235964036173,11474.826011858868
2024-08-27 22:16:00,2024-08-27 22:15:00,2024-08-27 22:46:00,max_hold,30,145.369068,146.34072600000002,0.5318796023536653,0.0,0.007086830879317496,0.004672719901203326,11528.444659727325
2024-09-04 01:05:00,2024-09-04 01:04:00,2024-09-04 01:06:00,take_profit,1,122.754546,124.69367501225281,0.5313828539973677,1.0,0.016203200000000084,0.013767235964036173,11687.159477656125
2024-11-12 10:40:00,2024-11-12 10:39:00,2024-11-12 11:10:00,max_hold,30,212.06240400000002,213.277336,0.5269038594715686,0.0,0.006131497028582178,0.003719676103188352,11730.631925479314
2024-11-21 14:58:00,2024-11-21 14:57:00,2024-11-21 15:28:00,max_hold,30,250.710132,243.891212,0.5016751464727769,0.0,-0.026809223649565173,-0.029142081616673865,11388.776892491836
2024-12-03 13:56:00,2024-12-03 13:55:00,2024-12-03 14:02:00,take_profit,6,216.073206,219.4864712205408,0.5300709128893885,1.0,0.016203200000000084,0.013767235964036173,11545.568871312535
2024-12-09 21:04:00,2024-12-09 21:03:00,2024-12-09 21:10:00,take_profit,6,212.95258199999998,216.31655134733757,0.6588242750233185,1.0,0.016203199999999862,0.013767235964035951,11704.519442302922
2024-12-18 20:18:00,2024-12-18 20:17:00,2024-12-18 20:28:00,take_profit,10,207.78154800000002,211.0638315574464,0.5317781077898293,0.0,0.016203200000000084,0.013767235964035951,11865.658323310754
2024-12-19 17:55:00,2024-12-19 17:54:00,2024-12-19 18:25:00,max_hold,30,196.66932599999998,193.031386,0.5025244285062312,0.0,-0.01810507043686116,-0.02045879332959666,11622.901271954532
2024-12-20 09:08:00,2024-12-20 09:07:00,2024-12-20 09:17:00,take_profit,9,178.89577200000002,181.72175273112964,0.5375398137110465,1.0,0.016203200000000084,0.013767235964036173,11782.916496352225
2025-01-13 14:37:00,2025-01-13 14:36:00,2025-01-13 14:43:00,take_profit,6,171.994392,174.7113530115456,0.5432551163012611,1.0,0.016203200000000084,0.013767235964035951,11945.134688102038
2025-01-18 15:52:00,2025-01-18 15:51:00,2025-01-18 16:04:00,take_profit,12,258.421674,262.5039094998432,0.5142967865712836,1.0,0.016203200000000084,0.013767235964035951,12109.58617597533
2025-01-19 04:17:00,2025-01-19 04:16:00,2025-01-19 04:23:00,take_profit,6,261.90237,266.03958935841604,0.5399053532987139,1.0,0.016203200000000084,0.013767235964036173,12276.301706286813
2025-01-19 09:17:00,2025-01-19 09:16:00,2025-01-19 09:22:00,take_profit,5,274.734936,279.07486883700483,0.5341215930685574,0.0,0.016203200000000084,0.013767235964036173,12445.312448642964
2025-01-19 21:27:00,2025-01-19 21:26:00,2025-01-19 21:57:00,max_hold,30,268.513692,257.72844399999997,0.5597339207070743,0.0,-0.03978246293675036,-0.04208422245392951,11921.561151045615
2025-01-20 12:19:00,2025-01-20 12:18:00,2025-01-20 12:49:00,max_hold,30,253.730736,254.39911,0.5021849651858998,0.0,0.0030353200883002085,0.0006309210797783571,11929.082715279676
2025-01-20 16:10:00,2025-01-20 16:09:00,2025-01-20 16:40:00,max_hold,30,250.880166,253.589272,0.5445218200092913,1.0,0.011202806681816169,0.008778829203549554,12033.806094992131
2025-01-21 00:26:00,2025-01-21 00:25:00,2025-01-21 00:56:00,max_hold,30,238.49768999999998,236.692652,0.5564287083019462,0.0,-0.007171314741035717,-0.009551247190730972,11918.868238333536
2025-01-23 15:12:00,2025-01-23 15:11:00,2025-01-23 15:39:00,take_profit,27,245.789148,249.67183001312642,0.5527829191855049,1.0,0.016203200000000084,0.013767235964036173,12082.95810979493
