fold,pvalue_rounds,actual_rounds,selected_features,max_pvalue,is_stable,removed_features,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,0,0,47,1.0,False,0,0.6312643710958771,0.30844662393889327,0.15479694018347667,0.5893596586855981,0.6513995011366507,0.23858692964187928,0.06597739675492804,0.30420769032757766
1,1,1,19,0.08964673322983216,False,28,0.6283488844343941,0.3064752866730711,0.15565175368179107,0.5965369113585784,0.6358344910330893,0.23396772012357445,0.06788787583155867,0.3135814849427593
1,2,2,18,0.0006901539299909288,True,29,0.6282942653531455,0.3065903837183682,0.15553705916372812,0.5954440998200222,0.6354374526395554,0.23399882628650703,0.06785543153226264,0.3133266240819216
1,3,2,18,0.0006901539299909288,True,29,0.6282942653531455,0.3065903837183682,0.15553705916372812,0.5954440998200222,0.6354374526395554,0.23399882628650703,0.06785543153226264,0.3133266240819216
1,4,2,18,0.0006901539299909288,True,29,0.6282942653531455,0.3065903837183682,0.15553705916372812,0.5954440998200222,0.6354374526395554,0.23399882628650703,0.06785543153226264,0.3133266240819216
2,0,0,47,1.0,False,0,0.6733670209241185,0.31198405762507264,0.1347278533816881,0.5100674114611764,0.5979540693366419,0.09985832417791442,0.04515439374863555,0.19788714689407835
2,1,1,22,0.04361014397180448,False,25,0.6698976252660437,0.30923775830709266,0.1354775108581444,0.5167989006404828,0.5903215244903637,0.10601537543700017,0.045221033037531846,0.2001134920187768
2,2,2,20,0.02302930297558051,False,27,0.668548132549517,0.3088531905767849,0.13545888497146086,0.5163498979164406,0.5753789193567049,0.10115205005057698,0.04531411182185246,0.20154817500081293
2,3,3,19,0.004907307351471112,True,28,0.6683191485135525,0.3084165975684458,0.1355359382462714,0.5169047783763281,0.578218506674938,0.10149509618384772,0.04530402843966425,0.20128177756398707
2,4,3,19,0.004907307351471112,True,28,0.6683191485135525,0.3084165975684458,0.1355359382462714,0.5169047783763281,0.578218506674938,0.10149509618384772,0.04530402843966425,0.20128177756398707
3,0,0,47,0.9999999853533128,False,0,0.7146204442359061,0.3153061573410567,0.11701973414326958,0.4305881966290834,0.6686253614983062,0.17115675121097104,0.07073982674095658,0.28533360704100896
3,1,1,22,0.000991712809950819,True,25,0.7132702441181957,0.31265830075246576,0.11752614710217778,0.4333464124531108,0.6721279842965612,0.17940136436794799,0.07073708470507407,0.2850930583045497
3,2,1,22,0.000991712809950819,True,25,0.7132702441181957,0.31265830075246576,0.11752614710217778,0.4333464124531108,0.6721279842965612,0.17940136436794799,0.07073708470507407,0.2850930583045497
3,3,1,22,0.000991712809950819,True,25,0.7132702441181957,0.31265830075246576,0.11752614710217778,0.4333464124531108,0.6721279842965612,0.17940136436794799,0.07073708470507407,0.2850930583045497
3,4,1,22,0.000991712809950819,True,25,0.7132702441181957,0.31265830075246576,0.11752614710217778,0.4333464124531108,0.6721279842965612,0.17940136436794799,0.07073708470507407,0.2850930583045497
4,0,0,47,1.0,False,0,0.7307855406520944,0.3161092507106583,0.10822713375521999,0.38966529884946516,0.7031321348871601,0.2077804554651736,0.061275745948346415,0.23464207207790688
4,1,1,22,0.010666459766414263,False,25,0.7299041724530426,0.3144546000199135,0.10845151562083173,0.39036774992759393,0.7075495787583413,0.2104420619418129,0.06125507966653515,0.23447436149197698
4,2,2,21,0.004073378432271966,True,26,0.7296823211088052,0.3142595220966458,0.10847783738176212,0.39053529790186076,0.70802866888634,0.21047367874374706,0.06126005992384887,0.23459629554280162
4,3,2,21,0.004073378432271966,True,26,0.7296823211088052,0.3142595220966458,0.10847783738176212,0.39053529790186076,0.70802866888634,0.21047367874374706,0.06126005992384887,0.23459629554280162
4,4,2,21,0.004073378432271966,True,26,0.7296823211088052,0.3142595220966458,0.10847783738176212,0.39053529790186076,0.70802866888634,0.21047367874374706,0.06126005992384887,0.23459629554280162
5,0,0,47,1.0,False,0,0.7466002664918209,0.3175492093919962,0.1011531301254097,0.3611498660735968,0.7483156584769303,0.20908496489325684,0.05138327409239819,0.20149500160624328
5,1,1,22,0.008554803064478233,True,25,0.7458912458319861,0.316066609951438,0.10130764975118645,0.36157775201093345,0.7503375536928227,0.20832189161112227,0.05132015441885883,0.20145275717314817
5,2,1,22,0.008554803064478233,True,25,0.7458912458319861,0.316066609951438,0.10130764975118645,0.36157775201093345,0.7503375536928227,0.20832189161112227,0.05132015441885883,0.20145275717314817
5,3,1,22,0.008554803064478233,True,25,0.7458912458319861,0.316066609951438,0.10130764975118645,0.36157775201093345,0.7503375536928227,0.20832189161112227,0.05132015441885883,0.20145275717314817
5,4,1,22,0.008554803064478233,True,25,0.7458912458319861,0.316066609951438,0.10130764975118645,0.36157775201093345,0.7503375536928227,0.20832189161112227,0.05132015441885883,0.20145275717314817
