id,run_id,bar_open_time,pred_long,pred_short,state_before,decision,reason,processed_at
1353,run_20260609_174750_0d627e,2026-06-09 17:47:00,0.026292281101204337,0.027515858675629324,FLAT,HOLD,below_threshold long=0.026 short=0.028,2026-06-09 17:47:50
1354,run_20260609_174750_0d627e,2026-06-09 17:47:00,0.026292281101204337,0.027515858675629324,FLAT,HOLD,below_threshold long=0.026 short=0.028,2026-06-09 17:48:06
1355,run_20260609_174750_0d627e,2026-06-09 17:48:00,0.03032118779136764,0.02903557484640953,FLAT,HOLD,below_threshold long=0.030 short=0.029,2026-06-09 17:49:11
1356,run_20260609_174750_0d627e,2026-06-09 17:49:00,0.02785276524915282,0.028139207041036354,FLAT,HOLD,below_threshold long=0.028 short=0.028,2026-06-09 17:50:10
1357,run_20260609_174750_0d627e,2026-06-09 17:50:00,0.028650537446088302,0.042743089359950116,FLAT,HOLD,below_threshold long=0.029 short=0.043,2026-06-09 17:51:09
1358,run_20260609_174750_0d627e,2026-06-09 17:51:00,0.030333828566179465,0.036490201943248736,FLAT,HOLD,below_threshold long=0.030 short=0.036,2026-06-09 17:52:09
1359,run_20260609_174750_0d627e,2026-06-09 17:52:00,0.030680583065215598,0.028826101778333342,FLAT,HOLD,below_threshold long=0.031 short=0.029,2026-06-09 17:53:09
1360,run_20260609_174750_0d627e,2026-06-09 17:53:00,0.03271250524861938,0.026809703552441038,FLAT,HOLD,below_threshold long=0.033 short=0.027,2026-06-09 17:54:09
1361,run_20260609_174750_0d627e,2026-06-09 17:54:00,0.03400187173845019,0.028050039229695053,FLAT,HOLD,below_threshold long=0.034 short=0.028,2026-06-09 17:55:09
1362,run_20260609_174750_0d627e,2026-06-09 17:55:00,0.03779797246532367,0.02902307594156329,FLAT,HOLD,below_threshold long=0.038 short=0.029,2026-06-09 17:56:09
1363,run_20260609_174750_0d627e,2026-06-09 17:56:00,0.04141922190810074,0.030698137248314487,FLAT,HOLD,below_threshold long=0.041 short=0.031,2026-06-09 17:57:09
1364,run_20260609_174750_0d627e,2026-06-09 17:57:00,0.036131437515791946,0.027080717615388206,FLAT,HOLD,below_threshold long=0.036 short=0.027,2026-06-09 17:58:09
1365,run_20260609_174750_0d627e,2026-06-09 17:58:00,0.03576971364082692,0.03149035910432242,FLAT,HOLD,below_threshold long=0.036 short=0.031,2026-06-09 17:59:09
1366,run_20260609_174750_0d627e,2026-06-09 17:59:00,0.032935241125211304,0.032318309550923345,FLAT,HOLD,below_threshold long=0.033 short=0.032,2026-06-09 18:00:09
1367,run_20260609_174750_0d627e,2026-06-09 18:00:00,0.04137990299133799,0.04178877662136441,FLAT,HOLD,below_threshold long=0.041 short=0.042,2026-06-09 18:01:09
1368,run_20260609_174750_0d627e,2026-06-09 18:01:00,0.03684049918033763,0.04454304810189379,FLAT,HOLD,below_threshold long=0.037 short=0.045,2026-06-09 18:02:09
1369,run_20260609_174750_0d627e,2026-06-09 18:02:00,0.037310851736345636,0.04915325288373578,FLAT,HOLD,below_threshold long=0.037 short=0.049,2026-06-09 18:03:10
1370,run_20260609_174750_0d627e,2026-06-09 18:03:00,0.03319126871819182,0.050610881265208796,FLAT,HOLD,below_threshold long=0.033 short=0.051,2026-06-09 18:04:13
1371,run_20260609_174750_0d627e,2026-06-09 18:04:00,0.04144643523637227,0.04748021315327915,FLAT,HOLD,below_threshold long=0.041 short=0.047,2026-06-09 18:05:10
1372,run_20260609_174750_0d627e,2026-06-09 18:05:00,0.04527258278384997,0.05779789287978923,FLAT,HOLD,below_threshold long=0.045 short=0.058,2026-06-09 18:06:10
1373,run_20260609_174750_0d627e,2026-06-09 18:06:00,0.041350631940435645,0.05375899946385799,FLAT,HOLD,below_threshold long=0.041 short=0.054,2026-06-09 18:07:10
1374,run_20260609_174750_0d627e,2026-06-09 18:07:00,0.05572106924358382,0.05591304879454597,FLAT,HOLD,below_threshold long=0.056 short=0.056,2026-06-09 18:08:09
1375,run_20260609_174750_0d627e,2026-06-09 18:08:00,0.06337008816237162,0.04519935706350148,FLAT,HOLD,below_threshold long=0.063 short=0.045,2026-06-09 18:09:09
1376,run_20260609_174750_0d627e,2026-06-09 18:09:00,0.06672157051804098,0.04683741725048563,FLAT,HOLD,below_threshold long=0.067 short=0.047,2026-06-09 18:10:09
1377,run_20260609_174750_0d627e,2026-06-09 18:10:00,0.06432542344820891,0.05435264167891198,FLAT,HOLD,below_threshold long=0.064 short=0.054,2026-06-09 18:11:09
1378,run_20260609_174750_0d627e,2026-06-09 18:11:00,0.07058662357864066,0.0572569108894706,FLAT,HOLD,below_threshold long=0.071 short=0.057,2026-06-09 18:12:09
1379,run_20260609_174750_0d627e,2026-06-09 18:12:00,0.06143913008755521,0.046505156441660915,FLAT,HOLD,below_threshold long=0.061 short=0.047,2026-06-09 18:13:09
1380,run_20260609_174750_0d627e,2026-06-09 18:13:00,0.056545503652037726,0.049878161156484746,FLAT,HOLD,below_threshold long=0.057 short=0.050,2026-06-09 18:14:10
1381,run_20260609_174750_0d627e,2026-06-09 18:14:00,0.0533009335243836,0.042333705803563014,FLAT,HOLD,below_threshold long=0.053 short=0.042,2026-06-09 18:15:09
1382,run_20260609_174750_0d627e,2026-06-09 18:15:00,0.05551403449212118,0.05242498784665092,FLAT,HOLD,below_threshold long=0.056 short=0.052,2026-06-09 18:16:09
1383,run_20260609_174750_0d627e,2026-06-09 18:16:00,0.05385595576394422,0.04432767791341363,FLAT,HOLD,below_threshold long=0.054 short=0.044,2026-06-09 18:17:09
1384,run_20260609_174750_0d627e,2026-06-09 18:17:00,0.06938504920094417,0.06893367095224774,FLAT,HOLD,below_threshold long=0.069 short=0.069,2026-06-09 18:18:09
