trial_no,param_hash,params,feature_k,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,p_feature_k
50,95ceea9301dc0951,"{'num_leaves': 63, 'max_depth': 8, 'min_child_samples': 2965, 'min_child_weight': 0.0014930122981943327, 'min_split_gain': 0.0, 'reg_alpha': 0.00731340188587435, 'reg_lambda': 3.2210272303281493, 'subsample': 0.7315778966887614, 'colsample_bytree': 0.54984164083966, 'learning_rate': 0.026447386393093932, 'max_bin': 127, 'path_smooth': 0.002482690305375849, 'extra_trees': False, 'feature_k': 4}",4,-1.7716376586878546,1.9034849206064688,2.5627212301995423,0.6592363095930731,0.2915720022917672,1.0,0.0101106571200518,0.0162284710591193,0.008521315480462,1.5,327,63,8,2965,0.0014930122981943,0.0,0.0073134018858743,3.2210272303281493,0.7315778966887614,0.54984164083966,0.0264473863930939,127,0.0024826903053758,False,4
51,cc436fc0e8db5d82,"{'num_leaves': 59, 'max_depth': -1, 'min_child_samples': 1671, 'min_child_weight': 0.00475945873536727, 'min_split_gain': 0.0, 'reg_alpha': 0.0031264904770884577, 'reg_lambda': 3.8853981405903784, 'subsample': 0.5108443559507483, 'colsample_bytree': 0.8783053181323909, 'learning_rate': 0.0471321698401679, 'max_bin': 127, 'path_smooth': 0.01055429437488431, 'extra_trees': False, 'feature_k': 4}",4,-1.7713915728099154,1.911056652202599,2.609382049166016,0.6983253969634167,0.2925562467127122,1.0,0.0100442659694738,0.0162444227693975,0.0084684395959396,0.8,147,59,-1,1671,0.0047594587353672,0.0,0.0031264904770884,3.8853981405903775,0.5108443559507483,0.8783053181323909,0.0471321698401679,127,0.0105542943748843,False,4
52,3d9e1d7e22515f86,"{'num_leaves': 59, 'max_depth': 8, 'min_child_samples': 4482, 'min_child_weight': 0.0009986511372362188, 'min_split_gain': 0.0, 'reg_alpha': 0.0026585498044265146, 'reg_lambda': 1.3112592321592607, 'subsample': 0.4514394574285249, 'colsample_bytree': 0.7092862790103698, 'learning_rate': 0.01923067294139108, 'max_bin': 127, 'path_smooth': 0.0023870786848325973, 'extra_trees': True, 'feature_k': 5}",5,-1.8741029392148592,1.891025560175508,1.9756386649787536,0.0846131048032454,0.2721322450767411,1.0,0.0106720074828326,0.0161974582410688,0.0091186709412478,2.6,1554,59,8,4482,0.0009986511372362,0.0,0.0026585498044265,1.3112592321592609,0.4514394574285249,0.7092862790103698,0.019230672941391,127,0.0023870786848325,True,5
53,5912c7a1afc397fd,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 4815, 'min_child_weight': 0.03566671221530494, 'min_split_gain': 0.0, 'reg_alpha': 0.017990466391558647, 'reg_lambda': 4.223365227182862, 'subsample': 0.5142461498833175, 'colsample_bytree': 0.7323196610909851, 'learning_rate': 0.01941444659154061, 'max_bin': 63, 'path_smooth': 0.01277310582210967, 'extra_trees': True, 'feature_k': 7}",7,-1.8669885041219831,1.8802558024324352,1.9465922939846951,0.0663364915522599,0.2478794442953521,0.6666666666666666,0.0105946894183023,0.0162558812732311,0.0090164987888224,1.8,985,16,4,4815,0.0356667122153049,0.0,0.0179904663915586,4.223365227182862,0.5142461498833175,0.7323196610909851,0.0194144465915406,63,0.0127731058221096,True,7
54,124dda4e29972c9c,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 4114, 'min_child_weight': 0.007363958309762462, 'min_split_gain': 0.00038485612937826243, 'reg_alpha': 0.0013230431593486847, 'reg_lambda': 3.8134144689087734, 'subsample': 0.45563489955040953, 'colsample_bytree': 0.7493071560106735, 'learning_rate': 0.017486855305188058, 'max_bin': 63, 'path_smooth': 0.02038522692557679, 'extra_trees': False, 'feature_k': 6}",6,-1.855546851211786,1.893454830106713,2.0829947245813485,0.1895398944746353,0.2750252806280312,1.0,0.0105418015396712,0.016238555602535,0.0089426003281354,1.0,348,32,5,4114,0.0073639583097624,0.0003848561293782,0.0013230431593486,3.813414468908773,0.4556348995504095,0.7493071560106735,0.017486855305188,63,0.0203852269255767,False,6
55,f5f37376725e0c0a,"{'num_leaves': 52, 'max_depth': 8, 'min_child_samples': 3691, 'min_child_weight': 0.006879475303399394, 'min_split_gain': 0.08270900252741022, 'reg_alpha': 0.0011204413518372564, 'reg_lambda': 2.04458405649495, 'subsample': 0.5600193845709946, 'colsample_bytree': 0.902462853447637, 'learning_rate': 0.031931387013728454, 'max_bin': 127, 'path_smooth': 0.004193531568320076, 'extra_trees': False, 'feature_k': 9}",9,-1.8005246259625731,1.9194121609992392,2.51384983618257,0.5944376751833307,0.2755768945739029,0.8888888888888888,0.0102526007227405,0.0162861557685687,0.0085995052023859,1.3,336,52,8,3691,0.0068794753033993,0.0827090025274102,0.0011204413518372,2.04458405649495,0.5600193845709946,0.902462853447637,0.0319313870137284,127,0.00419353156832,False,9
56,fb5ea776091f32ae,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 7444, 'min_child_weight': 0.0016307342405672636, 'min_split_gain': 0.02196677170859289, 'reg_alpha': 0.022381577069520667, 'reg_lambda': 2.3675340057588876, 'subsample': 0.5517405760540268, 'colsample_bytree': 0.5196361183496778, 'learning_rate': 0.026571946342308465, 'max_bin': 63, 'path_smooth': 0.0010560612278484374, 'extra_trees': True, 'feature_k': 5}",5,-1.91137287548058,1.91137287548058,1.729255157425986,-0.1821177180545934,0.2584397875534828,1.0,0.0112135180121566,0.016299490794477,0.0096214667430126,0.7,379,32,5,7444,0.0016307342405672,0.0219667717085928,0.0223815770695206,2.367534005758888,0.5517405760540268,0.5196361183496778,0.0265719463423084,63,0.0010560612278484,True,5
57,3f9b7f8138b1ad1e,"{'num_leaves': 16, 'max_depth': 6, 'min_child_samples': 5582, 'min_child_weight': 0.00037684755269529706, 'min_split_gain': 0.0004635238348800734, 'reg_alpha': 4.683558501059674, 'reg_lambda': 1.990762099564845, 'subsample': 0.5271287670646793, 'colsample_bytree': 0.4454441552535115, 'learning_rate': 0.032408162722798194, 'max_bin': 63, 'path_smooth': 0.022574808224736422, 'extra_trees': True, 'feature_k': 3}",3,-1.9199035202038648,1.9199035202038648,1.8165083622546168,-0.1033951579492478,0.2628822797925292,1.0,0.0108989358709262,0.0161293343845461,0.009327064285648,0.7,449,16,6,5582,0.0003768475526952,0.00046352383488,4.683558501059674,1.990762099564845,0.5271287670646793,0.4454441552535115,0.0324081627227981,63,0.0225748082247364,True,3
58,03315ee81edd3417,"{'num_leaves': 18, 'max_depth': 6, 'min_child_samples': 4616, 'min_child_weight': 0.00013002097257289045, 'min_split_gain': 0.0003338146013697984, 'reg_alpha': 3.860412933725799, 'reg_lambda': 4.70999405494953, 'subsample': 0.5504833959545219, 'colsample_bytree': 0.4789191804291846, 'learning_rate': 0.04686849851830866, 'max_bin': 63, 'path_smooth': 0.019226943926695824, 'extra_trees': True, 'feature_k': 3}",3,-1.917408218787728,1.92754417709512,1.9782239686320755,0.0506797915369559,0.2726379218332284,1.0,0.0106640469855767,0.0161067345047691,0.0090879663271382,0.4,154,18,6,4616,0.0001300209725728,0.0003338146013697,3.860412933725799,4.70999405494953,0.5504833959545219,0.4789191804291846,0.0468684985183086,63,0.0192269439266958,True,3
59,1df2117ec2e2c9b8,"{'num_leaves': 32, 'max_depth': -1, 'min_child_samples': 3680, 'min_child_weight': 0.01809491282124976, 'min_split_gain': 0.0006214974857456728, 'reg_alpha': 0.0014465840642092175, 'reg_lambda': 1.1159649908668556, 'subsample': 0.49647510490531416, 'colsample_bytree': 0.48827061509857095, 'learning_rate': 0.013593332970059196, 'max_bin': 127, 'path_smooth': 0.0028174034537075303, 'extra_trees': True, 'feature_k': 4}",4,-1.8555086144308,1.9105488106799309,2.185749791925584,0.275200981245653,0.2782065841687285,1.0,0.0104435480347658,0.0161711967870772,0.0088715790795368,2.0,1051,32,-1,3680,0.0180949128212497,0.0006214974857456,0.0014465840642092,1.1159649908668556,0.4964751049053141,0.4882706150985709,0.0135933329700591,127,0.0028174034537075,True,4
60,59128de4b18fa33c,"{'num_leaves': 12, 'max_depth': 6, 'min_child_samples': 5739, 'min_child_weight': 0.00372847576918839, 'min_split_gain': 0.0, 'reg_alpha': 1.7542864376454899, 'reg_lambda': 2.546193055149654, 'subsample': 0.6379909749725154, 'colsample_bytree': 0.5917604841285533, 'learning_rate': 0.029091087178926448, 'max_bin': 127, 'path_smooth': 0.08819544854879886, 'extra_trees': False, 'feature_k': 7}",7,-1.8645256644338746,1.888791257627461,2.0101192235953937,0.12132796596793272,0.26114668293538534,0.875,0.010431923821165987,0.01624518297453607,0.00882337084416474,0.9,334,12,6,5739,0.00372847576918839,0.0,1.7542864376454899,2.546193055149654,0.6379909749725154,0.5917604841285533,0.029091087178926448,127,0.08819544854879886,False,7
