fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
1,30.0,0.03333333333333333,21,0.7324679165185842,0.37258575251734627,0.11180567743963053,0.7009464333422389,0.24832724272032525,0.07619064186041101,0.3719755047658276,0.28355827423337554
1,60.0,0.016666666666666666,12,0.729877932457886,0.3693579722520522,0.11221946296939922,0.712201442693027,0.25069771114289097,0.07695158113619056,0.37366668246822055,0.2880043224882307
1,100.0,0.01,5,0.7293922747535583,0.3679554211256718,0.1124140153074373,0.7127063852524713,0.2506806334586229,0.07748327899761888,0.37457231013546455,0.29061056828642023
1,150.0,0.006666666666666667,3,0.7294989382581328,0.36782677328133995,0.1125579526219848,0.7130316590969811,0.2500638458629803,0.07782411184748159,0.37538110850540196,0.29210359482536963
1,220.0,0.004545454545454545,3,0.730213472117202,0.3679718317183094,0.11279407826770851,0.7130810846914241,0.24970114209613525,0.07819352239383877,0.3766710635690347,0.293835522508009
1,330.0,0.0030303030303030303,4,0.7310980341960237,0.36804982122495594,0.11338797621050793,0.7129321399946568,0.2497337227191672,0.0787263558661513,0.3794985583592405,0.29620426746888817
1,500.0,0.002,4,0.7302175735612816,0.36693164898800323,0.11482444895879715,0.712418514560513,0.24987357528197454,0.07959362412988553,0.38543858002393666,0.29975578906368805
1,750.0,0.0013333333333333333,4,0.7286026948512367,0.36527176825291574,0.11765704922063239,0.7116243654822335,0.24969823811843492,0.08307682453316577,0.395576115372496,0.31336876403451447
1,1000.0,0.001,3,0.7255525183814134,0.3606820465258537,0.12152746493430398,0.7089834357467272,0.24738169702001334,0.08782902632608125,0.4079603153066717,0.32992630932907024
2,30.0,0.03333333333333333,22,0.7343098799591785,0.35737690461749755,0.10454759930781556,0.6895284840218614,0.23823308232531112,0.08482550546952282,0.3529359447002576,0.3044213798289281
2,60.0,0.016666666666666666,15,0.7343005192067515,0.3554943111285663,0.10482740450462091,0.6978099096156986,0.24077791595348963,0.08476637693650771,0.35408837435003665,0.303028259203292
2,100.0,0.01,10,0.7342754796414642,0.35398357968557087,0.10509095131712416,0.7012593529982423,0.2425294750603201,0.08460930750243267,0.3553172365128176,0.30188802940871046
2,150.0,0.006666666666666667,7,0.7346461869153971,0.35354802509989475,0.10524194164445759,0.7012815648682655,0.24216906100129718,0.08429085496703487,0.35614833333979734,0.30059137456569185
2,220.0,0.004545454545454545,5,0.7344432035630568,0.35307525168823406,0.10547954844482174,0.7004333115616986,0.24058770644882965,0.08426130085071797,0.35746969045755717,0.30176213913194816
2,330.0,0.0030303030303030303,3,0.7333542956913495,0.3525998571139279,0.10586614376091635,0.6925715102150589,0.2347670510561453,0.0855181115089895,0.35951832021428143,0.3095166908649032
2,500.0,0.002,3,0.7332822017892926,0.3524058971168945,0.10661822362805591,0.6924868649806457,0.23477993822317406,0.08653119402472761,0.36300577937982703,0.3143618483522473
2,750.0,0.0013333333333333333,3,0.7330668686870965,0.35189355394259136,0.10834538564296463,0.6923571956853743,0.2345413143654233,0.08851897388440844,0.36994320008407466,0.32289581313081894
2,1000.0,0.001,2,0.7321489780036101,0.35089020810208243,0.11076250844861565,0.6924262325786901,0.23387197012595057,0.09111971811740834,0.3786375622733426,0.33290130307403276
3,30.0,0.03333333333333333,24,0.7296772797746045,0.34337150800177146,0.1011415671530894,0.6792858446932815,0.09226934525799697,0.03487555396408241,0.34428413130538216,0.15221432497808166
3,60.0,0.016666666666666666,16,0.7301464646029829,0.3419753085341156,0.10134854185951343,0.677314082278481,0.09352758181768928,0.03491989248373467,0.3450882728448912,0.15357445658071375
3,100.0,0.01,10,0.7309207116278486,0.3411843710426113,0.10152613352848418,0.6751856134371957,0.09299071139749317,0.03509095695853473,0.3459174004026943,0.1557877107643844
3,150.0,0.006666666666666667,7,0.7315019998118386,0.34018506073867744,0.10170000637802538,0.6789222249269717,0.08907094034839863,0.035498982941241444,0.3468170833400627,0.15959330400283603
3,220.0,0.004545454545454545,6,0.7311693591007336,0.33937482556986454,0.10192120573721013,0.6785312195715677,0.09032938106048033,0.03647801370451868,0.3480288919248299,0.1671420200551875
3,330.0,0.0030303030303030303,4,0.7295608328353556,0.3384331080868381,0.10221918014356868,0.6775255598831548,0.08803023431907796,0.038537532072290014,0.3496923343492924,0.18024273805455987
3,500.0,0.002,3,0.7293823958263426,0.33821225916269176,0.10272744307341637,0.6771026046738071,0.0882794531643851,0.0398839194138356,0.3522327224312872,0.18802314346707263
3,750.0,0.0013333333333333333,3,0.7290528280385871,0.33763864691980094,0.10390960714630353,0.6763799294060371,0.0882505203951379,0.04225393802932492,0.35733958719616915,0.2001837600865503
3,1000.0,0.001,1,0.7288803164556108,0.33734459274296713,0.10555213757957348,0.6761106377799415,0.08845609734163651,0.04511438360139467,0.3637317018802724,0.213240412918593
4,30.0,0.03333333333333333,25,0.7441234100099503,0.33377784967398993,0.09173824516446412,0.7473641389520577,0.25521060634750614,0.068591841770985,0.3167327746922942,0.25613264352426074
4,60.0,0.016666666666666666,18,0.7444162322100882,0.3327879473383204,0.09188317955075995,0.7446573288014825,0.25598715082698276,0.068630272058797,0.3173676520623903,0.25649657342733617
4,100.0,0.01,12,0.7446768082671238,0.3319690842244983,0.09203292576781497,0.7375764972113112,0.25513390009006587,0.06884254710329858,0.318150035735194,0.25786977203915307
4,150.0,0.006666666666666667,8,0.7448644431296813,0.33078993308020477,0.09221244811416075,0.7307379669951444,0.25395755147165033,0.06880179946237686,0.31913632551063936,0.2574846973282933
4,220.0,0.004545454545454545,6,0.7447124779455488,0.3300213021484949,0.09238128985385649,0.7341657534053717,0.2525932194659507,0.06821521235307497,0.32022115426514386,0.25370072805755506
4,330.0,0.0030303030303030303,5,0.7450961232922487,0.3297916858178636,0.0926007776874205,0.7338367570443383,0.249801009257937,0.06780411581530098,0.3217724841044977,0.2521558542747336
4,500.0,0.002,3,0.7453058802653175,0.32931265392431114,0.09306146468017737,0.7376298479725599,0.24802965984753322,0.06775070571938509,0.32458722728844736,0.25422072371295934
4,750.0,0.0013333333333333333,2,0.742171115435654,0.32761525807430675,0.0940531377561908,0.7426099933385646,0.24584604714153535,0.06927687488644318,0.329633862797964,0.2646776486283966
4,1000.0,0.001,2,0.7417529625280239,0.32694497625269586,0.09524658690813047,0.7425484917665697,0.24594234006939453,0.07057426924958024,0.3348597658474411,0.27132272985604644
