trial_no,param_hash,params,objective_score,mean_valid_ll,std_valid_ll,mean_train_ll,mean_gap,mean_valid_prauc,guardrail_ok,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
11,700a5446d0f334b0,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 2079, 'min_child_weight': 0.0045786579640486645, 'min_split_gain': 0.011481415388655809, 'reg_alpha': 0.17251570726102333, 'reg_lambda': 4.054153574900173, 'subsample': 0.4654089172839697, 'colsample_bytree': 0.6120304335394173, 'learning_rate': 0.008195107921137312, 'max_bin': 63, 'path_smooth': 2.591864498494624, 'extra_trees': False}",0.2718521061688779,0.2698230854376434,0.0081160829249383,0.2552088971434513,0.014614188294192,0.3435792192411047,True,36.0,13,5,2079,0.0045786579640486,0.0114814153886558,0.1725157072610233,4.054153574900173,0.4654089172839697,0.6120304335394173,0.0081951079211373,63,2.591864498494624,False
12,b5e524497fe5f9d8,"{'num_leaves': 6, 'max_depth': 6, 'min_child_samples': 2299, 'min_child_weight': 0.004689175173981012, 'min_split_gain': 0.00014940840554230074, 'reg_alpha': 1.366447141364937, 'reg_lambda': 21.312140994390624, 'subsample': 0.6531934307200352, 'colsample_bytree': 0.8384122307996207, 'learning_rate': 0.007344173433759004, 'max_bin': 63, 'path_smooth': 0.0012326741610799745, 'extra_trees': False}",0.2698782823839801,0.2679472260028032,0.0077242255247079,0.2498291461888639,0.0181180798139392,0.3473237508777951,True,65.7,6,6,2299,0.004689175173981,0.0001494084055423,1.366447141364937,21.312140994390624,0.6531934307200352,0.8384122307996207,0.007344173433759,63,0.0012326741610799,False
13,77e007065b648b59,"{'num_leaves': 27, 'max_depth': -1, 'min_child_samples': 1270, 'min_child_weight': 0.0002863757952026767, 'min_split_gain': 4.416590318748443e-05, 'reg_alpha': 0.6099321139745849, 'reg_lambda': 7.803915372354436, 'subsample': 0.6405106130482412, 'colsample_bytree': 0.5309072534887259, 'learning_rate': 0.021342859108104982, 'max_bin': 127, 'path_smooth': 0.0022418145176583866, 'extra_trees': False}",0.2667888463289805,0.2649069649220391,0.0075275256277653,0.2364093306051837,0.0284976343168553,0.3600582147388739,True,26.2,27,-1,1270,0.0002863757952026,4.416590318748443e-05,0.6099321139745849,7.803915372354436,0.6405106130482412,0.5309072534887259,0.0213428591081049,127,0.0022418145176583,False
14,41eead71cd36b8b7,"{'num_leaves': 4, 'max_depth': 3, 'min_child_samples': 533, 'min_child_weight': 0.08082191418328016, 'min_split_gain': 0.006292576951965629, 'reg_alpha': 1.3031776284459848, 'reg_lambda': 27.150659192692217, 'subsample': 0.6746807510718943, 'colsample_bytree': 0.5133449371070954, 'learning_rate': 0.0062425347197348656, 'max_bin': 127, 'path_smooth': 4.077646622339472, 'extra_trees': False}",0.2672393065503866,0.2653443607608564,0.0075797831581205,0.2458200650437333,0.019524295717123,0.3579582574647391,True,74.2,4,3,533,0.0808219141832801,0.0062925769519656,1.3031776284459848,27.150659192692217,0.6746807510718943,0.5133449371070954,0.0062425347197348,127,4.077646622339472,False
15,fcad1f865dbecffa,"{'num_leaves': 6, 'max_depth': 4, 'min_child_samples': 384, 'min_child_weight': 0.03714008148792371, 'min_split_gain': 0.0020743320413499976, 'reg_alpha': 1.0816284932722808, 'reg_lambda': 27.474254184170306, 'subsample': 0.6660465198875518, 'colsample_bytree': 0.7263853044214659, 'learning_rate': 0.019189690630545233, 'max_bin': 63, 'path_smooth': 0.0021765932828029678, 'extra_trees': True}",0.2673821765958184,0.265387384832533,0.0079791670531414,0.2470853729082026,0.0183020119243304,0.3579671204006433,True,29.0,6,4,384,0.0371400814879237,0.0020743320413499,1.0816284932722808,27.474254184170302,0.6660465198875518,0.7263853044214659,0.0191896906305452,63,0.0021765932828029,True
16,bd6ff6af15365187,"{'num_leaves': 11, 'max_depth': 6, 'min_child_samples': 341, 'min_child_weight': 0.00020427202922274044, 'min_split_gain': 0.00020866271281712076, 'reg_alpha': 0.22417041133332874, 'reg_lambda': 2.19374395493986, 'subsample': 0.9125600591883986, 'colsample_bytree': 0.6986366838202369, 'learning_rate': 0.011113217365318616, 'max_bin': 63, 'path_smooth': 0.23102658895922132, 'extra_trees': False}",0.2666086259947279,0.2640162794479875,0.0081062240468967,0.2283583740978259,0.0356579053501616,0.3643515488210466,True,48.4,11,6,341,0.0002042720292227,0.0002086627128171,0.2241704113333287,2.19374395493986,0.9125600591883986,0.6986366838202369,0.0111132173653186,63,0.2310265889592213,False
17,c17d3ce8de12b931,"{'num_leaves': 56, 'max_depth': -1, 'min_child_samples': 271, 'min_child_weight': 0.0028838654399998, 'min_split_gain': 0.013518886099402097, 'reg_alpha': 0.09179689200646007, 'reg_lambda': 75.10224336900762, 'subsample': 0.7358640261880376, 'colsample_bytree': 0.6340936406341722, 'learning_rate': 0.009245824964666104, 'max_bin': 127, 'path_smooth': 0.12097332285996083, 'extra_trees': False}",0.2705557274449529,0.2662916169604676,0.0085395994598254,0.2149995107651787,0.0512921061952889,0.3579899305909081,True,92.8,56,-1,271,0.0028838654399998,0.013518886099402,0.09179689200646,75.10224336900762,0.7358640261880376,0.6340936406341722,0.0092458249646661,127,0.1209733228599608,False
18,509a86913e799351,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 336, 'min_child_weight': 0.004593126754499354, 'min_split_gain': 0.0384275846002364, 'reg_alpha': 0.0027183349224501083, 'reg_lambda': 22.10447406231447, 'subsample': 0.5906168919195042, 'colsample_bytree': 0.745653580815141, 'learning_rate': 0.026666414080456533, 'max_bin': 63, 'path_smooth': 1.1873806512263125, 'extra_trees': False}",0.2661990109138674,0.2643457111021748,0.0074131992467702,0.2458838176424572,0.0184618934597176,0.3587853002889104,True,22.8,4,2,336,0.0045931267544993,0.0384275846002364,0.0027183349224501,22.10447406231447,0.5906168919195042,0.745653580815141,0.0266664140804565,63,1.1873806512263123,False
19,a22ec12315dcf1e8,"{'num_leaves': 49, 'max_depth': -1, 'min_child_samples': 1549, 'min_child_weight': 0.0012964830748893104, 'min_split_gain': 1.4114003627068444e-05, 'reg_alpha': 2.085254046019695, 'reg_lambda': 41.352611767575176, 'subsample': 0.6085694464113577, 'colsample_bytree': 0.9217396370418469, 'learning_rate': 0.00976984879837264, 'max_bin': 127, 'path_smooth': 0.01056477767674024, 'extra_trees': True}",0.2701003678819875,0.2680621493446086,0.0081528741495156,0.2513390501870746,0.016723099157534,0.3502503641276283,True,64.9,49,-1,1549,0.0012964830748893,1.4114003627068444e-05,2.085254046019695,41.352611767575176,0.6085694464113577,0.9217396370418468,0.0097698487983726,127,0.0105647776767402,True
20,be071918c940751d,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 996, 'min_child_weight': 0.09486951758165588, 'min_split_gain': 0.0, 'reg_alpha': 3.6873050231087663, 'reg_lambda': 31.420713222214147, 'subsample': 0.8953962454392623, 'colsample_bytree': 0.8860679838187179, 'learning_rate': 0.016513090639353075, 'max_bin': 63, 'path_smooth': 0.018353386369238407, 'extra_trees': False}",0.2665328417568605,0.2647188153271366,0.0072561057188954,0.2468748972235153,0.0178439181036212,0.3563888165961655,True,49.7,4,2,996,0.0948695175816558,0.0,3.6873050231087663,31.420713222214147,0.8953962454392623,0.8860679838187179,0.016513090639353,63,0.0183533863692384,False
21,aad1a2ad3117833c,"{'num_leaves': 13, 'max_depth': 6, 'min_child_samples': 1275, 'min_child_weight': 0.003621982465021802, 'min_split_gain': 2.3870783409459368e-05, 'reg_alpha': 0.9440327071423493, 'reg_lambda': 6.023064323026863, 'subsample': 0.6571151037819806, 'colsample_bytree': 0.8648222809404972, 'learning_rate': 0.011674859334665978, 'max_bin': 127, 'path_smooth': 0.24976476203076983, 'extra_trees': False}",0.2670476297949715,0.2651424932566915,0.0076205461531202,0.2383407660652247,0.0268017271914667,0.3584436092391347,True,45.8,13,6,1275,0.0036219824650218,2.3870783409459368e-05,0.9440327071423492,6.023064323026863,0.6571151037819806,0.8648222809404972,0.0116748593346659,127,0.2497647620307698,False
22,cde84bcb8eae902a,"{'num_leaves': 17, 'max_depth': -1, 'min_child_samples': 1602, 'min_child_weight': 0.004110600201098414, 'min_split_gain': 0.012871209314627622, 'reg_alpha': 0.43510017807887097, 'reg_lambda': 4.252090911274058, 'subsample': 0.6122985380162322, 'colsample_bytree': 0.5499923806951328, 'learning_rate': 0.017149195665407208, 'max_bin': 63, 'path_smooth': 0.003071355011352014, 'extra_trees': False}",0.267767067763928,0.2658712436794525,0.0075832963379022,0.2424295779584939,0.0234416657209585,0.3547834718057605,True,27.8,17,-1,1602,0.0041106002010984,0.0128712093146276,0.4351001780788709,4.252090911274058,0.6122985380162322,0.5499923806951328,0.0171491956654072,63,0.003071355011352,False
23,7ac3d8f83d92484a,"{'num_leaves': 15, 'max_depth': 4, 'min_child_samples': 1355, 'min_child_weight': 0.005094874302374793, 'min_split_gain': 6.296549278860482e-05, 'reg_alpha': 0.7889183265747806, 'reg_lambda': 4.7804386253869975, 'subsample': 0.5658733850223368, 'colsample_bytree': 0.916624887074938, 'learning_rate': 0.012960040199698911, 'max_bin': 127, 'path_smooth': 0.09001941398429979, 'extra_trees': False}",0.2677319864868789,0.2657327322486092,0.0079970169530785,0.242570522641946,0.0231622096066632,0.3549308300450282,True,43.3,15,4,1355,0.0050948743023747,6.296549278860482e-05,0.7889183265747806,4.7804386253869975,0.5658733850223368,0.916624887074938,0.0129600401996989,127,0.0900194139842997,False
24,13d90886d4c4780d,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 621, 'min_child_weight': 0.004340657821068099, 'min_split_gain': 0.05003037029082277, 'reg_alpha': 0.7102761997624162, 'reg_lambda': 4.661661628033886, 'subsample': 0.5731442236373445, 'colsample_bytree': 0.682360464666398, 'learning_rate': 0.02288598034484008, 'max_bin': 127, 'path_smooth': 0.2421978106069844, 'extra_trees': False}",0.2664214953650711,0.2644778500210532,0.0077745813760719,0.2423757924489029,0.0221020575721502,0.3596387382396622,True,22.2,8,3,621,0.004340657821068,0.0500303702908227,0.7102761997624162,4.661661628033886,0.5731442236373445,0.682360464666398,0.02288598034484,127,0.2421978106069844,False
25,b2eda36006ca1fa8,"{'num_leaves': 13, 'max_depth': 8, 'min_child_samples': 499, 'min_child_weight': 0.0030217523938668054, 'min_split_gain': 0.013773800774140987, 'reg_alpha': 0.8635980246899884, 'reg_lambda': 8.38664796565653, 'subsample': 0.6072361637353805, 'colsample_bytree': 0.7023144443331467, 'learning_rate': 0.021044869484511064, 'max_bin': 127, 'path_smooth': 0.25848100247744216, 'extra_trees': True}",0.2675286762772109,0.2654864073057447,0.0081690758858649,0.2373712092678487,0.0281151980378959,0.3602861094655876,True,28.6,13,8,499,0.0030217523938668,0.0137738007741409,0.8635980246899884,8.38664796565653,0.6072361637353805,0.7023144443331467,0.021044869484511,127,0.2584810024774421,True
26,263249e5fce464c8,"{'num_leaves': 10, 'max_depth': -1, 'min_child_samples': 1438, 'min_child_weight': 0.0041450829082495585, 'min_split_gain': 0.004052510066533089, 'reg_alpha': 0.4915282932359738, 'reg_lambda': 4.628618838462807, 'subsample': 0.7910143951363225, 'colsample_bytree': 0.8574871126661985, 'learning_rate': 0.011127633490536097, 'max_bin': 63, 'path_smooth': 0.0018460158595086213, 'extra_trees': False}",0.2668399762015145,0.2650079968134764,0.0073279175521523,0.2395640066996049,0.0254439901138715,0.3579627844976123,True,50.7,10,-1,1438,0.0041450829082495,0.004052510066533,0.4915282932359738,4.628618838462807,0.7910143951363225,0.8574871126661985,0.011127633490536,63,0.0018460158595086,False
27,75d0d683704c9d27,"{'num_leaves': 7, 'max_depth': 5, 'min_child_samples': 698, 'min_child_weight': 0.006612728688037164, 'min_split_gain': 0.00017431657960054151, 'reg_alpha': 0.4365397276132765, 'reg_lambda': 3.758770989435315, 'subsample': 0.6038400624841098, 'colsample_bytree': 0.5039005808761942, 'learning_rate': 0.01022976343202298, 'max_bin': 127, 'path_smooth': 0.004995349553745401, 'extra_trees': False}",0.2665991792493365,0.2647165818105744,0.0075303897550485,0.2378973238200283,0.026819257990546,0.3607010978321611,True,42.7,7,5,698,0.0066127286880371,0.0001743165796005,0.4365397276132765,3.758770989435315,0.6038400624841098,0.5039005808761942,0.0102297634320229,127,0.0049953495537454,False
28,52c018e34114f70c,"{'num_leaves': 5, 'max_depth': 4, 'min_child_samples': 582, 'min_child_weight': 0.0046139634552133275, 'min_split_gain': 0.0003754238225290726, 'reg_alpha': 0.8874503753100713, 'reg_lambda': 6.622702928285509, 'subsample': 0.4691512262195653, 'colsample_bytree': 0.49870824881672937, 'learning_rate': 0.012691066357752884, 'max_bin': 127, 'path_smooth': 0.009943752434754663, 'extra_trees': True}",0.2686979172582504,0.2665655735208506,0.0085293749495994,0.2470800375860991,0.0194855359347514,0.3569873317433178,True,43.2,5,4,582,0.0046139634552133,0.000375423822529,0.8874503753100713,6.622702928285509,0.4691512262195653,0.4987082488167293,0.0126910663577528,127,0.0099437524347546,True
29,73df36e85d4c1d09,"{'num_leaves': 7, 'max_depth': 4, 'min_child_samples': 615, 'min_child_weight': 0.0047035331060422455, 'min_split_gain': 0.0, 'reg_alpha': 0.40953385149573956, 'reg_lambda': 6.506687609004726, 'subsample': 0.47288975365167396, 'colsample_bytree': 0.9085605636639258, 'learning_rate': 0.011059243344049797, 'max_bin': 127, 'path_smooth': 4.079552962611262, 'extra_trees': True}",0.2677687712535889,0.2656869129826513,0.0083274330837505,0.2455685037969714,0.0201184091856798,0.3587330787642261,True,46.4,7,4,615,0.0047035331060422,0.0,0.4095338514957395,6.506687609004726,0.4728897536516739,0.9085605636639258,0.0110592433440497,127,4.079552962611262,True
30,28f886955b489eda,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 1120, 'min_child_weight': 0.0030995134191802607, 'min_split_gain': 0.0037147800453125926, 'reg_alpha': 0.5709565296536868, 'reg_lambda': 4.711679527995402, 'subsample': 0.8810310917224018, 'colsample_bytree': 0.6664360302065118, 'learning_rate': 0.012799192653913884, 'max_bin': 127, 'path_smooth': 0.3616205354819772, 'extra_trees': False}",0.2658803323324368,0.2640427329303434,0.0073503976083734,0.2390118551445724,0.025030877785771,0.3602732326725467,True,53.1,8,3,1120,0.0030995134191802,0.0037147800453125,0.5709565296536868,4.711679527995402,0.8810310917224018,0.6664360302065118,0.0127991926539138,127,0.3616205354819772,False
31,35081bfb8fb461e3,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 648, 'min_child_weight': 0.003912610269311006, 'min_split_gain': 0.0004651119248429907, 'reg_alpha': 0.5165994371421333, 'reg_lambda': 3.9440889774681014, 'subsample': 0.6728191745312989, 'colsample_bytree': 0.7741729537290762, 'learning_rate': 0.011962011825494468, 'max_bin': 127, 'path_smooth': 4.627986443771727, 'extra_trees': True}",0.267562558431662,0.2655657201756669,0.0079873530239804,0.2508126432316196,0.0147530769440472,0.3591141405158072,True,50.1,4,2,648,0.003912610269311,0.0004651119248429,0.5165994371421333,3.944088977468101,0.6728191745312989,0.7741729537290762,0.0119620118254944,127,4.627986443771727,True
32,ab0c77f68df70a97,"{'num_leaves': 8, 'max_depth': 6, 'min_child_samples': 987, 'min_child_weight': 0.00605621342334971, 'min_split_gain': 0.02478802668993824, 'reg_alpha': 0.6100845885805267, 'reg_lambda': 5.352908518759555, 'subsample': 0.6320335325965685, 'colsample_bytree': 0.8016723463347623, 'learning_rate': 0.010883676149697088, 'max_bin': 63, 'path_smooth': 0.6014402865348989, 'extra_trees': True}",0.268102305398361,0.2661584113261571,0.0077755762888156,0.2445346145376049,0.0216237967885522,0.3567299188059636,True,49.1,8,6,987,0.0060562134233497,0.0247880266899382,0.6100845885805267,5.352908518759555,0.6320335325965685,0.8016723463347623,0.010883676149697,63,0.6014402865348989,True
33,69f874b79d33e5c8,"{'num_leaves': 6, 'max_depth': 8, 'min_child_samples': 1061, 'min_child_weight': 0.002948174449228583, 'min_split_gain': 2.4009493199539677e-05, 'reg_alpha': 0.9130723886116221, 'reg_lambda': 3.2613145892142543, 'subsample': 0.9316326388052194, 'colsample_bytree': 0.8385944126288951, 'learning_rate': 0.016095528123511338, 'max_bin': 63, 'path_smooth': 1.5151629983760233, 'extra_trees': True}",0.2665748978415309,0.2646665437300425,0.0076334164459537,0.2456818785581441,0.0189846651718983,0.3604166991014416,True,45.1,6,8,1061,0.0029481744492285,2.400949319953968e-05,0.913072388611622,3.2613145892142543,0.9316326388052194,0.8385944126288951,0.0160955281235113,63,1.5151629983760233,True
34,c02649c25362a435,"{'num_leaves': 12, 'max_depth': -1, 'min_child_samples': 1119, 'min_child_weight': 0.0031246341751815835, 'min_split_gain': 2.399920139642578e-05, 'reg_alpha': 0.6508624137596342, 'reg_lambda': 5.011836782467932, 'subsample': 0.7717084099968866, 'colsample_bytree': 0.6867966727080699, 'learning_rate': 0.02095683543945282, 'max_bin': 63, 'path_smooth': 1.5739062720389252, 'extra_trees': True}",0.2676532483425589,0.2656761166068936,0.007908526942661,0.2410608878606772,0.0246152287462164,0.3584769836641115,True,29.8,12,-1,1119,0.0031246341751815,2.399920139642578e-05,0.6508624137596342,5.011836782467932,0.7717084099968866,0.6867966727080699,0.0209568354394528,63,1.5739062720389252,True
35,036626b53d6ee81c,"{'num_leaves': 9, 'max_depth': 4, 'min_child_samples': 679, 'min_child_weight': 0.002874086602268126, 'min_split_gain': 3.0125506262009528e-05, 'reg_alpha': 0.7142342197760359, 'reg_lambda': 4.2972713775156475, 'subsample': 0.8746526687968523, 'colsample_bytree': 0.7687290617860917, 'learning_rate': 0.013628718700182329, 'max_bin': 127, 'path_smooth': 1.122350716841757, 'extra_trees': True}",0.2663247102725525,0.2642933986744795,0.0081252463922918,0.2370220281167672,0.0272713705577122,0.3621941939594493,True,61.4,9,4,679,0.0028740866022681,3.0125506262009528e-05,0.7142342197760359,4.297271377515648,0.8746526687968523,0.7687290617860917,0.0136287187001823,127,1.122350716841757,True
