fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
1,30.0,0.03333333333333333,20,0.748167561367846,0.41342556871177233,0.12996546330526715,0.7950529460562914,0.3328543547936375,0.062442365019592966,0.4173466647960758,0.24145015104638623
1,60.0,0.016666666666666666,13,0.7481831063903774,0.4119858423336679,0.1301712395974279,0.7988630791979433,0.3358011990274797,0.06247858794830846,0.41840538003370803,0.2422451821847103
1,100.0,0.01,8,0.7475015798762408,0.4108562055741486,0.13036167925724126,0.7959894069158681,0.3359684190296715,0.0639041011574759,0.419391719088796,0.2498451325046706
1,150.0,0.006666666666666667,6,0.7471258679589865,0.410608212732814,0.13050429946520367,0.7947593822301711,0.33465965638997314,0.06445020810272208,0.4202246532136185,0.25272140244090696
1,220.0,0.004545454545454545,5,0.7458793252062716,0.4104031354945369,0.13077096614283226,0.7919561962493541,0.33151802467756775,0.06525246984415128,0.4216203980179734,0.2567232325066384
1,330.0,0.0030303030303030303,5,0.7451449721504178,0.41015310806171057,0.13130316945539391,0.7921870195216071,0.33070790335554023,0.06644951415274158,0.42406977463119006,0.26262898583166333
1,500.0,0.002,4,0.7422272178573435,0.40845783184823303,0.13255141396742012,0.7923434836189062,0.32999972429506286,0.06863869675738028,0.4289784896743136,0.27245719873073815
1,750.0,0.0013333333333333333,2,0.7411647608977627,0.407316495749448,0.13483521788510525,0.7937578570925099,0.331279233515561,0.07303371807508098,0.43692805881163427,0.289792314701525
1,1000.0,0.001,1,0.7395057996312049,0.4057588985295637,0.1379533571503146,0.7950591426542043,0.3331517130028614,0.07863454122705667,0.4467607677868777,0.309214803558368
2,30.0,0.03333333333333333,25,0.7660006676095187,0.4054600331914981,0.11636500469694244,0.7418885656746476,0.1966324778026743,0.045241640028203176,0.38024310578095377,0.18211050824700498
2,60.0,0.016666666666666666,14,0.7663142840829091,0.4047213014262674,0.1165071736775792,0.7426146788990827,0.19808464285134333,0.04517642821353805,0.38109061067928557,0.181961949380117
2,100.0,0.01,11,0.7666776104849832,0.4044175324129991,0.1166585896831372,0.7483184157529649,0.19968475568088154,0.04507290928046455,0.38204510780119616,0.18169603825203096
2,150.0,0.006666666666666667,8,0.7672319805037942,0.4045676500779553,0.11677943705844356,0.7538677556500337,0.20099654667635128,0.04497992663344039,0.38289733194962283,0.18220955872003092
2,220.0,0.004545454545454545,6,0.7675081223733267,0.40473535646226344,0.1169757867788808,0.762398746923249,0.20320355034899396,0.045077356656638506,0.3841942741239426,0.18501692653151222
2,330.0,0.0030303030303030303,5,0.7658437574117833,0.40394280516635406,0.11748775024024513,0.7719042291340343,0.20651592618928938,0.046077676337869196,0.38692963230053856,0.19432103734698605
2,500.0,0.002,5,0.7621734893766008,0.40161457594506533,0.11852708603410021,0.7831315730588498,0.2088468678697654,0.05049368978225693,0.3916989430493904,0.2195632050410909
2,750.0,0.0013333333333333333,2,0.7611550868206101,0.4004695434212036,0.1199975885283779,0.7833407921235176,0.20864930813800947,0.05377361027900188,0.39772834139394164,0.23453831017223598
2,1000.0,0.001,2,0.760253108086232,0.39966951867229067,0.121980798845375,0.7833687625867084,0.2084840879037937,0.05764250292176467,0.4050377133281495,0.2501910072611741
3,30.0,0.03333333333333333,28,0.7795043776727111,0.3960612468089358,0.10449865929693235,0.7340815824060973,0.20523842990395114,0.07504098773105233,0.3470140680519359,0.29022528033053174
3,60.0,0.016666666666666666,21,0.780253931074817,0.395746684875723,0.10462958100336037,0.728450333388605,0.20477130240247066,0.0748691412475662,0.3478857035719931,0.2883973243486239
3,100.0,0.01,10,0.7808617843455735,0.39572490814959727,0.1047652162994691,0.7290044856182422,0.20741362742183198,0.07431457608273241,0.3488343977184922,0.28256639675838763
3,150.0,0.006666666666666667,9,0.7812816973518747,0.39550379758882637,0.10489083344690969,0.7360225508373656,0.2095554879046242,0.07357460806284559,0.34970378970719534,0.27575144660762924
3,220.0,0.004545454545454545,10,0.7814893738171549,0.39559302392417034,0.1050554676136172,0.7460805573680354,0.210303820877678,0.07258550292883807,0.350923644059726,0.2682617114237272
3,330.0,0.0030303030303030303,8,0.7796484664151628,0.3942210410228333,0.10549038318841983,0.7552448857563497,0.21157194563078163,0.07145103389414484,0.35351992320699516,0.26246466092872633
3,500.0,0.002,5,0.7789046673943486,0.39293841722693545,0.10614208701180293,0.7595187489367384,0.21262336450998315,0.07125074124447611,0.3572171077623587,0.2644843733042816
3,750.0,0.0013333333333333333,3,0.776739922232613,0.39081785419511567,0.10739305791643483,0.7629721509792056,0.2145027682862015,0.07358889800128043,0.36328440807021345,0.2786496459217931
3,1000.0,0.001,2,0.7760636436983613,0.39009491771224425,0.10876545018008534,0.76298291818574,0.21552626169277592,0.07535049119643118,0.3691376256190763,0.28717057436409843
4,30.0,0.03333333333333333,28,0.7782383903753078,0.38161803506276676,0.0998321500600203,0.7694841067309066,0.23843601619273555,0.061658573764529975,0.33500985278038226,0.23152447564205114
4,60.0,0.016666666666666666,22,0.7796139561928755,0.38174020384912044,0.09992241612926053,0.7728207745544373,0.23981166111312513,0.06163057701843507,0.335667186511946,0.23150679500621552
4,100.0,0.01,16,0.7809451314051316,0.38163011042139094,0.1000869032061287,0.7769805851009535,0.24118235067194516,0.06159070908953109,0.3367485492628038,0.23157535606631693
4,150.0,0.006666666666666667,14,0.7819180925931672,0.38167804660463067,0.10026390314059948,0.7797301104464816,0.2435741824356762,0.06143578392877138,0.337980339812124,0.23154093381789737
4,220.0,0.004545454545454545,10,0.782199367270054,0.3813469979504236,0.10042166043234683,0.781036686197252,0.24304095132125134,0.06130745578210491,0.3390638585758633,0.23226000668442254
4,330.0,0.0030303030303030303,8,0.7819635222868783,0.3805483490181715,0.10066224776044226,0.7813037176163159,0.2416733421898357,0.061453744736864054,0.3406816886592509,0.23505608596783326
4,500.0,0.002,5,0.7796848014271646,0.3785351486025795,0.10116225130443511,0.7785991058122206,0.23962386215687959,0.06218357132882578,0.34366802753486136,0.2411540335288464
4,750.0,0.0013333333333333333,3,0.7784471067262205,0.3771793422629951,0.10195358720685045,0.7790580405446786,0.23949624968946326,0.063726148858651,0.3479013136313877,0.25048029250859793
4,1000.0,0.001,2,0.7778345032673012,0.3765165485485343,0.1029441057234815,0.779552089500439,0.23942300153721935,0.06520539776311056,0.3525748490531368,0.2579082109074779
5,30.0,0.03333333333333333,28,0.7815212657279038,0.3717268979067379,0.09503592582583215,0.7987742806895239,0.25296494809307685,0.049418589789507104,0.32200410433605386,0.19224310610744866
5,60.0,0.016666666666666666,25,0.7828925439988393,0.37197418989622344,0.09510922229699113,0.8033452294188479,0.25756891636526524,0.04943864354232997,0.32256799357267285,0.19281963790800477
5,100.0,0.01,18,0.7842240094783005,0.37203818093941216,0.09525554686820162,0.8085380489891629,0.2622604190339078,0.04944185443430194,0.32354285320043524,0.19366011465594019
5,150.0,0.006666666666666667,14,0.784962703370902,0.37208085345376135,0.09541916466354744,0.8112176389505038,0.2638322913504165,0.04944532213789111,0.3247014326510861,0.19465036295914329
5,220.0,0.004545454545454545,10,0.785324124027915,0.3717104335323562,0.09554009868232098,0.812140542810064,0.26503046476028036,0.049470023874516864,0.3256037888738144,0.19616871925725637
5,330.0,0.0030303030303030303,8,0.7857197433363255,0.3713844219034077,0.09569769586624907,0.811903875404018,0.2690784227656729,0.04964723330897451,0.32685870067494655,0.19900641518156878
5,500.0,0.002,6,0.7836164280468232,0.36929520672368665,0.09611991016843255,0.8062426722225744,0.2713452640780941,0.050211687371796265,0.3294894224804236,0.2045041220614182
5,750.0,0.0013333333333333333,3,0.7826254152045723,0.36804282628928525,0.09676080956583297,0.8060733411496293,0.27331096606695604,0.05163220750546714,0.3332044533340349,0.21416158689314418
5,1000.0,0.001,2,0.7821603936396252,0.3674957280611508,0.09750845937430855,0.8061911797325559,0.2733355024241691,0.05294063845766693,0.3370552397184792,0.22148248202853266
